time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788467534206380,	-0.849767,	2.15896,	-0.0288879,	0.000896043,	-0.00196757,	0.00206166,	-0.0285484,	0.00703431,	-0.0341115,	0.998985,	-0.865521,	2.16444,	0.187242,	0.000655489,	-0.00188377,	0.00536175,	-0.00185268,	0.692541,	0.721273,	-0.0122045,	-0.772046,	2.09992,	-0.107271,	0.000630335,	-0.00145514,	0.00529365,	-0.0280391,	0.00690645,	-0.0648919,	0.997474
1520788467663668140,	-0.850766,	2.15866,	-0.0271554,	0.114377,	-0.0448465,	-1.66199,	-0.0290459,	0.00778231,	-0.0361854,	0.998893,	-0.867976,	2.16357,	0.187279,	-0.0190289,	-0.00675863,	0.000287096,	-0.00279546,	0.691935,	0.721881,	-0.0103484,	-0.772662,	2.09965,	-0.107548,	-0.00476992,	-0.0021063,	-0.00215073,	-0.0285269,	0.00607048,	-0.0647748,	0.997474
1520788467784879522,	-0.852762,	2.1592,	-0.0278316,	0.125733,	-0.0361543,	-1.77777,	-0.027433,	0.00399853,	-0.0369155,	0.998934,	-0.869957,	2.16425,	0.187284,	-0.0163701,	0.00560035,	4.02538e-05,	-0.00242806,	0.692414,	0.721435,	-0.00942363,	-0.773587,	2.09921,	-0.105949,	-0.00765021,	-0.00364354,	0.0132135,	-0.0294986,	0.00678829,	-0.0661471,	0.997351
1520788467891420516,	-0.854763,	2.15912,	-0.0275599,	0.143331,	-0.0483574,	-2.02683,	-0.0278438,	0.00432912,	-0.037343,	0.998905,	-0.870831,	2.16522,	0.187516,	-0.008251,	0.0091596,	0.0021902,	-0.00146137,	0.69276,	0.721099,	-0.00987562,	-0.775495,	2.09991,	-0.106651,	-0.0180009,	0.00664386,	-0.00662214,	-0.0279146,	0.00292611,	-0.0670237,	0.997357
1520788468016807156,	-0.855912,	2.15964,	-0.0274064,	0.119356,	-0.0446259,	-1.71938,	-0.0295309,	0.00434245,	-0.0369376,	0.998872,	-0.871539,	2.16749,	0.188855,	-0.00566267,	0.0181395,	0.0107147,	-0.000800796,	0.694002,	0.719898,	-0.0103598,	-0.77746,	2.09995,	-0.106389,	-0.0157144,	0.000280365,	0.00210102,	-0.0282516,	0.00325019,	-0.0674859,	0.997315
1520788468139207284,	-0.857594,	2.16087,	-0.0255837,	0.1143,	-0.054276,	-1.7577,	-0.0289723,	0.00594718,	-0.0379144,	0.998843,	-0.87619,	2.17043,	0.191762,	-0.0381227,	0.0241552,	0.0238254,	-0.00278193,	0.694041,	0.719855,	-0.0103943,	-0.778645,	2.1006,	-0.106375,	-0.00971188,	0.00532943,	0.000117097,	-0.030393,	0.00307312,	-0.0674144,	0.997257
1520788468265446640,	-0.861085,	2.16278,	-0.0230513,	0.119878,	-0.0607172,	-1.70487,	-0.0296858,	0.00457221,	-0.0371822,	0.998857,	-0.880982,	2.17127,	0.193606,	-0.0380294,	0.00661239,	0.0146384,	-0.00480869,	0.692606,	0.721235,	-0.00969349,	-0.780189,	2.10177,	-0.104542,	-0.01226,	0.00931131,	0.0145439,	-0.0297732,	0.00489622,	-0.0681145,	0.997221
1520788468396461960,	-0.866073,	2.16735,	-0.0206486,	0.113803,	-0.029883,	-1.63553,	-0.0282332,	0.0024993,	-0.0353388,	0.998973,	-0.888483,	2.17326,	0.194514,	-0.0572648,	0.0152068,	0.00692563,	-0.00355117,	0.691822,	0.721983,	-0.0105141,	-0.78356,	2.1038,	-0.102169,	-0.0257329,	0.0154631,	0.0181126,	-0.0307058,	0.00359262,	-0.0674071,	0.997246
1520788468511815642,	-0.873854,	2.16967,	-0.0198956,	0.127209,	-0.0312014,	-1.86443,	-0.0271893,	0.00474958,	-0.0356154,	0.998984,	-0.894784,	2.17457,	0.195538,	-0.0547873,	0.0113597,	0.00890553,	0.00164455,	0.692891,	0.720962,	-0.0106928,	-0.788328,	2.10844,	-0.100022,	-0.0414613,	0.040385,	0.0186704,	-0.0292541,	0.00157841,	-0.0654933,	0.997423
1520788468641207655,	-0.883813,	2.16687,	-0.0183517,	0.0850464,	-0.0596764,	-1.65806,	-0.0284181,	0.00844898,	-0.0390847,	0.998796,	-0.911503,	2.17381,	0.197349,	-0.129605,	-0.00590063,	0.0140363,	0.0028821,	0.691421,	0.722379,	-0.00989687,	-0.795896,	2.11107,	-0.0993891,	-0.0586659,	0.0204025,	0.00490734,	-0.0279904,	0.00379079,	-0.0657659,	0.997435
1520788468765704700,	-0.899388,	2.16687,	-0.0171422,	0.0977054,	-0.055914,	-1.72976,	-0.0258287,	0.00925667,	-0.0401686,	0.998816,	-0.924374,	2.17438,	0.198172,	-0.103795,	0.00460642,	0.00664141,	0.00595133,	0.691139,	0.722634,	-0.00951508,	-0.80574,	2.10891,	-0.0978014,	-0.0793857,	-0.0174248,	0.0128037,	-0.0292865,	0.00740726,	-0.0694515,	0.997128
1520788468892327540,	-0.916057,	2.17371,	-0.0154115,	0.0660039,	-0.00532044,	-1.69511,	-0.027035,	0.010557,	-0.0416802,	0.998709,	-0.948292,	2.17373,	0.200011,	-0.18983,	-0.00509738,	0.014593,	0.00538163,	0.688028,	0.725654,	-0.00375704,	-0.821016,	2.10973,	-0.0966813,	-0.121238,	0.00647307,	0.0088898,	-0.0263438,	0.00815972,	-0.0705578,	0.997126
1520788469022525899,	-0.936406,	2.17537,	-0.0138886,	0.0914301,	0.0126153,	-1.64538,	-0.0215705,	0.00715144,	-0.0434438,	0.998797,	-0.962756,	2.17676,	0.200967,	-0.111263,	0.0232685,	0.00735732,	0.00537152,	0.688791,	0.724921,	-0.00537495,	-0.837193,	2.11715,	-0.0952441,	-0.124438,	0.0571215,	0.0110557,	-0.028352,	0.009461,	-0.0719466,	0.996961
1520788469139562059,	-0.959967,	2.18542,	-0.0132948,	0.0238365,	0.0740335,	-1.8313,	0.0153535,	0.0199889,	-0.043555,	0.998733,	-0.979652,	2.1802,	0.199988,	-0.144407,	0.029393,	-0.00836602,	0.0114606,	0.687629,	0.725878,	-0.0116869,	-0.857123,	2.1198,	-0.0938589,	-0.170339,	0.0225923,	0.0118391,	-0.0221766,	0.00591308,	-0.0737327,	0.997014
1520788469254985252,	-0.971842,	2.17653,	-0.0134723,	0.067915,	-0.0319334,	-1.85618,	-0.0224799,	0.0146837,	-0.0428275,	0.998722,	-0.991642,	2.1833,	0.19965,	-0.104263,	0.0269903,	-0.00294302,	0.0145583,	0.688599,	0.724841,	-0.0150196,	-0.879924,	2.13049,	-0.0937355,	-0.198269,	0.0929689,	0.0010728,	0.0176996,	0.0182592,	-0.0709495,	0.997156
1520788469383107851,	-0.988809,	2.18527,	-0.0134118,	0.0221359,	0.0153934,	-1.66455,	-0.0212391,	0.020271,	-0.0417952,	0.998695,	-1.01377,	2.18339,	0.201966,	-0.172893,	0.000683217,	0.0180909,	0.0120706,	0.685765,	0.727636,	-0.0112718,	-0.891972,	2.12282,	-0.0937316,	-0.0941258,	-0.0599413,	3.0756e-05,	-0.0232821,	0.0133606,	-0.0733968,	0.996941
1520788469491310594,	-1.00437,	2.18164,	-0.0110306,	0.0870264,	-0.0162416,	-1.97219,	-0.0149161,	0.0173584,	-0.0430129,	0.998812,	-1.02611,	2.18177,	0.202911,	-0.114261,	-0.0149571,	0.00875044,	0.0119497,	0.683808,	0.729535,	-0.00654419,	-0.908371,	2.13202,	-0.0939717,	-0.151844,	0.0851811,	-0.00222375,	-0.0219826,	0.0189587,	-0.0720617,	0.996978
1520788469608259067,	-1.01773,	2.18578,	-0.0107429,	0.0722233,	0.0345559,	-1.84184,	-0.0155181,	0.0109236,	-0.0446681,	0.998822,	-1.03651,	2.18375,	0.203013,	-0.0895897,	0.017054,	0.000885093,	0.0136498,	0.685882,	0.727543,	-0.00776276,	-0.923667,	2.1291,	-0.0915917,	-0.131863,	-0.0251664,	0.0205174,	-0.0147221,	0.0160051,	-0.0734146,	0.997064
1520788469728987532,	-1.03143,	2.18174,	-0.00951208,	0.0423231,	-0.0167518,	-1.77104,	-0.0180573,	0.0152504,	-0.0460907,	0.998658,	-1.05723,	2.18035,	0.204844,	-0.172683,	-0.028384,	0.0152574,	0.0111254,	0.681651,	0.731559,	-0.00697093,	-0.936881,	2.13411,	-0.091483,	-0.110116,	0.0418105,	0.000905974,	-0.0162394,	0.00943808,	-0.0750847,	0.997
1520788469850590765,	-1.04746,	2.18592,	-0.00814024,	0.0806919,	0.0460814,	-1.7602,	-0.0131642,	0.0140621,	-0.0438778,	0.998851,	-1.07418,	2.17929,	0.206309,	-0.140141,	-0.00871507,	0.012105,	0.00483376,	0.680273,	0.732924,	-0.00532056,	-0.950302,	2.13068,	-0.0901064,	-0.110918,	-0.0284041,	0.0113769,	-0.0187123,	0.0138476,	-0.0759943,	0.996836
1520788469952252800,	-1.0671,	2.18666,	-0.00712152,	0.0701754,	0.0729154,	-2.11317,	-0.0102759,	0.00713672,	-0.0394936,	0.999141,	-1.09056,	2.1789,	0.206777,	-0.162141,	-0.00389307,	0.00463474,	0.00169038,	0.68002,	0.733182,	-0.00363062,	-0.965953,	2.13548,	-0.0889411,	-0.154961,	0.0475768,	0.0115376,	-0.0134751,	0.0126435,	-0.0736313,	0.997114
1520788470069458419,	-1.08222,	2.18658,	-0.00589943,	0.0712639,	0.0656238,	-1.81775,	-0.00871688,	0.00426973,	-0.0391264,	0.999187,	-1.10614,	2.1779,	0.206137,	-0.13319,	-0.00853356,	-0.00547156,	0.00032572,	0.677985,	0.735056,	-0.00536518,	-0.985248,	2.13709,	-0.0880435,	-0.164917,	0.0137704,	0.00767159,	-0.0103582,	0.00592698,	-0.0698583,	0.997486
1520788470182212067,	-1.09824,	2.18675,	-0.00688194,	0.0705619,	0.0790208,	-1.90195,	-0.00559919,	0.00518566,	-0.0370118,	0.999286,	-1.12803,	2.18141,	0.205645,	-0.195377,	0.0313537,	-0.00439077,	0.000950503,	0.680972,	0.732211,	-0.0120128,	-1.00013,	2.13784,	-0.0868155,	-0.132874,	0.00667085,	0.0109642,	-0.00892458,	0.00300422,	-0.0686284,	0.997598
1520788470284292249,	-1.11603,	2.18215,	-0.00703587,	0.117577,	0.00723747,	-2.08511,	-0.00996046,	0.00771782,	-0.0343447,	0.999331,	-1.14356,	2.18062,	0.207658,	-0.152256,	-0.00773163,	0.0197355,	-0.00188774,	0.678642,	0.734346,	-0.0133107,	-1.01589,	2.1388,	-0.087784,	-0.154509,	0.00936549,	-0.00949444,	-0.00549044,	0.00390566,	-0.0663979,	0.99777
1520788470404443495,	-1.13456,	2.18891,	-0.00509144,	0.0749662,	0.0690807,	-1.77291,	-0.0084977,	0.00665129,	-0.0290545,	0.99952,	-1.16028,	2.18068,	0.210099,	-0.139401,	0.000460334,	0.0203415,	-0.00674306,	0.679636,	0.733421,	-0.0119427,	-1.0336,	2.13536,	-0.0877911,	-0.14755,	-0.0286229,	-5.98498e-05,	-0.00995885,	0.00655733,	-0.0638006,	0.997891
1520788470513531512,	-1.14929,	2.18883,	-0.00144468,	0.100822,	0.074817,	-1.94077,	-0.00818049,	0.00342804,	-0.0274596,	0.999584,	-1.17558,	2.1798,	0.213018,	-0.140371,	-0.00810119,	0.0267797,	-0.00910522,	0.679309,	0.733708,	-0.0113545,	-1.05164,	2.14273,	-0.0861567,	-0.165581,	0.0676351,	0.0149945,	-0.00855769,	0.0056458,	-0.058433,	0.998239
1520788470629760582,	-1.16586,	2.18212,	0.00182632,	0.0837969,	0.0200314,	-1.82062,	-0.00636605,	0.000420541,	-0.0259853,	0.999642,	-1.20035,	2.17453,	0.213265,	-0.213471,	-0.0454278,	0.00212898,	-0.0114357,	0.674124,	0.738433,	-0.0119481,	-1.06611,	2.14326,	-0.0825947,	-0.124725,	0.00455542,	0.0307074,	-0.0081912,	0.00256551,	-0.0566143,	0.998359
1520788470746513349,	-1.18603,	2.1865,	0.00179185,	0.123445,	0.103266,	-1.82304,	-0.0021006,	-0.000280159,	-0.022919,	0.999735,	-1.21935,	2.16791,	0.211122,	-0.163835,	-0.057058,	-0.018472,	-0.0109334,	0.66935,	0.742792,	-0.0105588,	-1.08263,	2.13766,	-0.0791748,	-0.142427,	-0.0482829,	0.0294817,	-0.00628847,	-0.000395801,	-0.0550855,	0.998462
1520788470857186493,	-1.20703,	2.17424,	-0.00141077,	0.11206,	0.0575962,	-1.93212,	0.00385961,	-0.0010505,	-0.0248553,	0.999683,	-1.2399,	2.16546,	0.208596,	-0.186768,	-0.0222084,	-0.0229693,	-0.0077791,	0.67182,	0.740563,	-0.0127709,	-1.10237,	2.14281,	-0.079375,	-0.179431,	0.0467923,	-0.00182013,	-0.00188973,	-0.00107402,	-0.0518265,	0.998654
1520788470955000579,	-1.23442,	2.17976,	-0.00348802,	0.0565004,	0.147331,	-2.18643,	0.00180195,	0.00383625,	-0.0240587,	0.999702,	-1.2599,	2.16235,	0.207047,	-0.206192,	-0.0320888,	-0.0159681,	-0.00214521,	0.670613,	0.741669,	-0.0141768,	-1.12344,	2.13207,	-0.0820452,	-0.217211,	-0.110726,	-0.0275275,	0.00452115,	-0.00201891,	-0.0534853,	0.998556
1520788471074868717,	-1.25701,	2.17736,	-0.00471298,	0.0242925,	0.126089,	-1.77949,	0.00190298,	0.00826144,	-0.025692,	0.999634,	-1.29282,	2.16458,	0.208088,	-0.27663,	0.0187116,	0.00874881,	-0.00148759,	0.674758,	0.737962,	-0.0105752,	-1.15028,	2.1386,	-0.0842713,	-0.225568,	0.0549124,	-0.0187067,	0.00199901,	0.0028911,	-0.0524151,	0.998619
1520788471185637737,	-1.28115,	2.16893,	-0.00343125,	0.106073,	0.0395493,	-1.9229,	0.000307852,	0.0064774,	-0.0297369,	0.999537,	-1.31355,	2.16517,	0.209691,	-0.188504,	0.00542025,	0.0145711,	-0.000585886,	0.6738,	0.738881,	-0.00692098,	-1.17264,	2.13734,	-0.0853764,	-0.203238,	-0.0114743,	-0.0100461,	0.00206279,	0.00723456,	-0.0537929,	0.998524
1520788471292820525,	-1.30511,	2.17713,	-0.000745653,	0.0788679,	0.111772,	-1.96669,	0.00188861,	0.00572249,	-0.0289195,	0.999564,	-1.3296,	2.16787,	0.210251,	-0.149943,	0.0251915,	0.00524019,	0.00272934,	0.67537,	0.737456,	-0.00523199,	-1.19672,	2.13038,	-0.0838211,	-0.225065,	-0.0650885,	0.0145351,	0.000353313,	0.00540707,	-0.0574658,	0.998333
1520788471399292328,	-1.32376,	2.18007,	0.000361493,	0.0550638,	0.115091,	-1.98009,	0.00718699,	0.0118283,	-0.0337852,	0.999333,	-1.34309,	2.1689,	0.210546,	-0.127287,	0.0097401,	0.00277639,	0.00566164,	0.674902,	0.737872,	-0.00449189,	-1.22011,	2.13928,	-0.0815044,	-0.220634,	0.0839893,	0.0218553,	0.00232668,	0.00466998,	-0.0567906,	0.998372
