time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788158658378368,	-0.817325,	2.32565,	-0.10048,	0.010247,	-0.000874419,	-0.0396261,	-0.0477139,	-0.0236213,	0.00306164,	0.998577,	-0.848351,	2.34412,	0.113857,	0.00413345,	0.00276562,	0.00260788,	-0.0518822,	0.706277,	0.705695,	-0.0217976,	-0.766509,	2.2398,	-0.19555,	-0.000939087,	0.000311836,	0.000257159,	-0.0548809,	0.00689487,	-0.0247723,	0.998162
1520788158780724437,	-0.818545,	2.32681,	-0.0991242,	0.244309,	-0.141857,	-1.74575,	-0.0477987,	-0.0234492,	0.00296495,	0.998577,	-0.849461,	2.34535,	0.114211,	-0.00910435,	0.0100451,	0.00289876,	-0.0509854,	0.707906,	0.704113,	-0.0222382,	-0.736377,	2.25677,	-0.182831,	0.246991,	0.139094,	0.104255,	-0.046875,	-0.0236954,	-0.0255407,	0.998293
1520788158884743415,	-0.820587,	2.32783,	-0.0994243,	0.27764,	-0.168403,	-2.05418,	-0.0503239,	-0.021657,	0.00273804,	0.998494,	-0.851396,	2.34482,	0.11517,	-0.0186001,	-0.00501718,	0.0092251,	-0.0512863,	0.706986,	0.705052,	-0.0210224,	-0.737569,	2.25812,	-0.181582,	-0.0114683,	0.0130178,	0.0120105,	-0.0493067,	-0.0233867,	-0.0246732,	0.998205
1520788159002230636,	-0.821787,	2.3277,	-0.0982559,	0.253068,	-0.146403,	-1.82416,	-0.0492439,	-0.022621,	0.00330648,	0.998525,	-0.852772,	2.34292,	0.116662,	-0.0117628,	-0.0162968,	0.0127514,	-0.0516062,	0.705884,	0.706146,	-0.020533,	-0.739561,	2.25919,	-0.181899,	-0.0170237,	0.00911854,	-0.00271324,	-0.050778,	-0.0216329,	-0.0253329,	0.998154
1520788159113671902,	-0.823034,	2.32571,	-0.09687,	0.267916,	-0.155062,	-1.92371,	-0.0495249,	-0.0229839,	0.00311318,	0.998504,	-0.852887,	2.34126,	0.118063,	-0.00103747,	-0.014975,	0.0126198,	-0.0515552,	0.706372,	0.705644,	-0.0211324,	-0.740707,	2.25902,	-0.180686,	-0.0103269,	-0.00155214,	0.0109324,	-0.0482957,	-0.022723,	-0.0253684,	0.998252
1520788159226277130,	-0.823053,	2.32383,	-0.0957698,	0.266375,	-0.155595,	-1.90922,	-0.0478092,	-0.0227545,	0.00281486,	0.998593,	-0.851623,	2.33906,	0.118294,	0.0112855,	-0.0196089,	0.00205914,	-0.0508642,	0.70533,	0.706699,	-0.0223402,	-0.741979,	2.25719,	-0.179279,	-0.0113509,	-0.0163415,	0.0125627,	-0.0486195,	-0.0230716,	-0.0255889,	0.998223
1520788159351281983,	-0.82211,	2.32242,	-0.0946899,	0.236105,	-0.133103,	-1.70387,	-0.04617,	-0.0207951,	0.00378049,	0.99871,	-0.849656,	2.33403,	0.117735,	0.0157393,	-0.0402124,	-0.00446999,	-0.0524337,	0.701008,	0.710764,	-0.0255718,	-0.74206,	2.2555,	-0.178196,	-0.000654262,	-0.0135061,	0.00865845,	-0.0482381,	-0.022745,	-0.0253035,	0.998256
1520788159457361475,	-0.820728,	2.32048,	-0.0955889,	0.272906,	-0.127873,	-2.01249,	-0.0409828,	-0.0207859,	0.00590154,	0.998926,	-0.847655,	2.33073,	0.117302,	0.0188739,	-0.031114,	-0.00408626,	-0.052473,	0.698966,	0.712654,	-0.0285886,	-0.741181,	2.25402,	-0.176868,	0.00830075,	-0.0139675,	0.012533,	-0.0467748,	-0.0207293,	-0.0240804,	0.9984
1520788159572018850,	-0.819784,	2.31806,	-0.0964197,	0.244483,	-0.11119,	-1.87475,	-0.0384187,	-0.0191514,	0.00775923,	0.999048,	-0.846343,	2.32718,	0.117664,	0.0115149,	-0.0311649,	0.00317562,	-0.0489668,	0.699453,	0.712412,	-0.0289274,	-0.739846,	2.25213,	-0.177986,	0.0117094,	-0.0165552,	-0.00981119,	-0.040826,	-0.0207214,	-0.0216999,	0.998716
1520788159674076543,	-0.819719,	2.31395,	-0.0966794,	0.261018,	-0.129687,	-2.1014,	-0.0414154,	-0.014685,	0.00685182,	0.999011,	-0.846137,	2.32145,	0.118637,	0.0020156,	-0.0562043,	0.00954541,	-0.0448366,	0.699036,	0.713161,	-0.0271955,	-0.739002,	2.24984,	-0.178671,	0.00827381,	-0.0224499,	-0.00670974,	-0.0377282,	-0.0191713,	-0.0193899,	0.998916
