time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788372893702190,	-0.904426,	2.21752,	-0.0623999,	-0.00122955,	-0.00143155,	0.00153014,	-0.0566804,	-0.00409192,	-0.0403713,	0.997567,	-0.920729,	2.23982,	0.148887,	-0.00142239,	-0.00116778,	0.00402948,	-0.00400344,	0.715449,	0.698652,	0.00130744,	-0.82399,	2.15863,	-0.140891,	-0.00123311,	-0.000571077,	0.00390622,	-0.0605416,	-0.00686253,	-0.0700232,	0.995683
1520788373005129537,	-0.904283,	2.21739,	-0.0632154,	0.148159,	-0.202104,	-1.91084,	-0.0550327,	-0.00441031,	-0.0399352,	0.997676,	-0.920471,	2.2418,	0.148455,	0.00232275,	0.01778,	-0.00389317,	-0.00436447,	0.717563,	0.69648,	0.00103733,	-0.824608,	2.15832,	-0.142289,	-0.00557049,	-0.00273344,	-0.0126018,	-0.0607922,	-0.00481461,	-0.071251,	0.995593
1520788373117015473,	-0.90358,	2.21841,	-0.0628629,	0.152173,	-0.210666,	-1.90377,	-0.0565838,	-0.00586772,	-0.0404289,	0.997562,	-0.920627,	2.24341,	0.148309,	-0.00140426,	0.0145277,	-0.00131625,	-0.00767629,	0.716869,	0.697165,	-0.000391978,	-0.824483,	2.15823,	-0.143118,	0.00112533,	-0.000847839,	-0.00746646,	-0.0591895,	-0.00512088,	-0.0706581,	0.99573
1520788373230257431,	-0.902708,	2.2204,	-0.0631356,	0.158571,	-0.203651,	-1.87119,	-0.0575726,	-0.00650991,	-0.0353763,	0.997693,	-0.915481,	2.24763,	0.14719,	0.0455408,	0.0373827,	-0.00989928,	-0.00714983,	0.71706,	0.696967,	-0.00333628,	-0.823702,	2.15927,	-0.142676,	0.00691305,	0.0092155,	0.00390963,	-0.0625124,	-0.00668811,	-0.0704789,	0.99553
1520788373330706553,	-0.899744,	2.22255,	-0.0638995,	0.157368,	-0.250782,	-2.1109,	-0.057545,	-0.00311325,	-0.0348479,	0.99773,	-0.908032,	2.254,	0.145995,	0.0744851,	0.0636777,	-0.0119524,	-0.00407343,	0.719757,	0.694132,	-0.0106807,	-0.822858,	2.16105,	-0.143115,	0.00844116,	0.0177344,	-0.00438431,	-0.0622282,	-0.00705171,	-0.0659533,	0.995855
1520788373441227918,	-0.895438,	2.22635,	-0.0654649,	0.114494,	-0.251343,	-1.92236,	-0.0602778,	0.00264522,	-0.0323123,	0.997655,	-0.899691,	2.26018,	0.145289,	0.0758324,	0.0562148,	-0.00642076,	-0.00109548,	0.721979,	0.691648,	-0.0192008,	-0.819913,	2.16289,	-0.1439,	0.0267722,	0.0167847,	-0.00713365,	-0.0619004,	-0.00361417,	-0.0652563,	0.99594
1520788373568654287,	-0.888862,	2.23428,	-0.0649772,	0.0852697,	-0.203937,	-1.65564,	-0.0670953,	0.0108814,	-0.0285156,	0.99728,	-0.894275,	2.26504,	0.145931,	0.0426415,	0.0382708,	0.00505799,	-0.00102477,	0.723283,	0.690154,	-0.0234272,	-0.815596,	2.16641,	-0.145517,	0.0339956,	0.0277165,	-0.0127367,	-0.0647394,	0.00209863,	-0.0629588,	0.995912
1520788373680883981,	-0.883099,	2.23955,	-0.0640159,	0.0997913,	-0.227578,	-1.87453,	-0.0655621,	0.014405,	-0.0253794,	0.997422,	-0.892688,	2.27019,	0.145721,	0.014169,	0.0459368,	-0.00187609,	-0.010838,	0.720699,	0.692619,	-0.0274663,	-0.808912,	2.17358,	-0.14538,	0.0596747,	0.0640353,	0.00122571,	-0.0729477,	0.0106439,	-0.0588741,	0.99554
1520788373802634325,	-0.880429,	2.24375,	-0.0659173,	0.10132,	-0.218535,	-1.74908,	-0.0657684,	0.00979064,	-0.0172249,	0.997638,	-0.893549,	2.27133,	0.144226,	-0.00711635,	0.00946554,	-0.0123562,	-0.0178024,	0.719175,	0.693953,	-0.0300038,	-0.803119,	2.1783,	-0.144512,	0.0478805,	0.0389893,	0.00717047,	-0.0710927,	0.0144057,	-0.0552896,	0.995832
1520788373906717104,	-0.87867,	2.24627,	-0.0673962,	0.143074,	-0.240975,	-2.03483,	-0.0604787,	0.00570715,	-0.0119186,	0.998082,	-0.892008,	2.26956,	0.142219,	0.0148185,	-0.0170461,	-0.0192977,	-0.0174152,	0.716507,	0.696756,	-0.0290737,	-0.800465,	2.18244,	-0.146569,	0.0255178,	0.0398057,	-0.0197725,	-0.071368,	0.00969191,	-0.0472163,	0.996285
