time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788760435794756,	-0.841795,	2.34825,	-0.0744547,	0.000213915,	0.000197235,	-0.000706781,	-0.04369,	0.00279431,	-0.0247626,	0.998734,	-0.854252,	2.36879,	0.129781,	0.00016509,	0.000277751,	9.37248e-05,	-0.0131892,	0.711066,	0.702678,	-0.0213273,	-0.759437,	2.27998,	-0.157387,	0.00017466,	0.000248666,	8.13281e-05,	-0.0440223,	0.00176963,	-0.0534247,	0.997599
1520788760447185419,	-0.841795,	2.34825,	-0.0744547,	1.13244,	-1.86747,	-18.5669,	-0.04369,	0.00279431,	-0.0247626,	0.998734,	-0.854252,	2.36879,	0.129781,	0,	0,	0,	-0.0131892,	0.711066,	0.702678,	-0.0213273,	-0.75946,	2.27993,	-0.157411,	-0.0021293,	-0.00489108,	-0.00213147,	-0.0440792,	0.00176198,	-0.0533462,	0.997601
1520788760462262115,	-0.841795,	2.34825,	-0.0744547,	0.830456,	-1.36948,	-13.6157,	-0.04369,	0.00279431,	-0.0247626,	0.998734,	-0.854252,	2.36879,	0.129781,	0,	0,	0,	-0.0131892,	0.711066,	0.702678,	-0.0213273,	-0.75946,	2.27993,	-0.157411,	0,	0,	0,	-0.0440792,	0.00176198,	-0.0533462,	0.997601
1520788760473882386,	-0.841504,	2.34806,	-0.0749394,	1.1589,	-1.88458,	-18.6109,	-0.0434904,	0.00320489,	-0.0243489,	0.998752,	-0.854395,	2.36854,	0.129565,	-0.0129802,	-0.023346,	-0.0196493,	-0.0131292,	0.710655,	0.703084,	-0.0216862,	-0.759516,	2.27932,	-0.157769,	-0.0050909,	-0.055808,	-0.0326063,	-0.0436425,	0.00196221,	-0.0523692,	0.997672
1520788760484491822,	-0.841547,	2.34809,	-0.074866,	1.28476,	-2.04498,	-20.4431,	-0.0433783,	0.00323523,	-0.0242315,	0.99876,	-0.854395,	2.36854,	0.129565,	0,	0,	0,	-0.0131292,	0.710655,	0.703084,	-0.0216862,	-0.75948,	2.2796,	-0.157599,	0.00364972,	0.0280612,	0.0170344,	-0.0442708,	0.00267555,	-0.0527233,	0.997624
1520788760498270174,	-0.841547,	2.34809,	-0.074866,	0.988274,	-1.57306,	-15.7254,	-0.0433783,	0.00323523,	-0.0242315,	0.99876,	-0.854395,	2.36854,	0.129565,	0,	0,	0,	-0.0131292,	0.710655,	0.703084,	-0.0216862,	-0.75948,	2.2796,	-0.157599,	0,	0,	0,	-0.0442708,	0.00267555,	-0.0527233,	0.997624
1520788760510582042,	-0.841547,	2.34809,	-0.074866,	1.07063,	-1.70415,	-17.0359,	-0.0433783,	0.00323523,	-0.0242315,	0.99876,	-0.854395,	2.36854,	0.129565,	0,	0,	0,	-0.0131292,	0.710655,	0.703084,	-0.0216862,	-0.75948,	2.2796,	-0.157599,	0,	0,	0,	-0.0442708,	0.00267555,	-0.0527233,	0.997624
1520788760521659160,	-0.841547,	2.34809,	-0.074866,	1.16796,	-1.85907,	-18.5846,	-0.0433783,	0.00323523,	-0.0242315,	0.99876,	-0.854395,	2.36854,	0.129565,	0,	0,	0,	-0.0131292,	0.710655,	0.703084,	-0.0216862,	-0.75948,	2.2796,	-0.157599,	0,	0,	0,	-0.0442708,	0.00267555,	-0.0527233,	0.997624
1520788760531840505,	-0.842023,	2.3478,	-0.0749536,	1.23722,	-2.07327,	-20.4518,	-0.0428962,	0.00328489,	-0.0240308,	0.998785,	-0.854536,	2.36878,	0.129184,	-0.0141078,	0.0239831,	-0.0381049,	-0.0129217,	0.71085,	0.7029,	-0.0213653,	-0.759728,	2.27927,	-0.157919,	-0.0247601,	-0.0321584,	-0.0319586,	-0.0435951,	0.00226496,	-0.0522158,	0.997681
1520788760543381854,	-0.842023,	2.3478,	-0.0749536,	1.13757,	-1.90659,	-18.5579,	-0.0428962,	0.00328489,	-0.0240308,	0.998785,	-0.854536,	2.36878,	0.129184,	0,	0,	0,	-0.0129217,	0.71085,	0.7029,	-0.0213653,	-0.759725,	2.27927,	-0.15793,	0.000190882,	2.28686e-05,	-0.00102017,	-0.0435614,	0.0022697,	-0.0522368,	0.997682
