time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520804653300678139,	-0.842514,	2.2273,	-0.246097,	0.0320472,	-0.0615201,	-0.0981275,	-0.016857,	-0.00566384,	-0.00649548,	0.999821,	-0.856259,	2.27802,	-0.0508045,	0.0258112,	-0.0385098,	-0.00951942,	-0.0367497,	0.692456,	0.719773,	-0.0328688,	-0.805355,	2.24756,	-0.302442,	0.000178398,	0.000529183,	0.00037211,	-0.0130103,	-0.0226858,	0.0180331,	0.999495
1520804653317457461,	-0.8423,	2.22724,	-0.24632,	0.872402,	-3.17365,	-12.2197,	-0.0162209,	-0.00495439,	-0.00626276,	0.999837,	-0.856211,	2.27787,	-0.0508194,	0.0029606,	-0.00936864,	-0.000931404,	-0.0362377,	0.69236,	0.719886,	-0.0329896,	-0.762844,	2.16274,	-0.320914,	2.65693,	-5.30111,	-1.15451,	-0.017173,	-0.00770115,	-0.0362529,	0.999165
1520804653330587356,	-0.84227,	2.22716,	-0.246343,	1.07239,	-3.90049,	-15.0403,	-0.0160096,	-0.00487881,	-0.00635149,	0.99984,	-0.856211,	2.27787,	-0.0508194,	0,	0,	0,	-0.0362377,	0.69236,	0.719886,	-0.0329896,	-0.762971,	2.16257,	-0.320983,	-0.00972929,	-0.0131456,	-0.00525841,	-0.0176205,	-0.00746953,	-0.0356906,	0.99918
1520804653343061756,	-0.84227,	2.22716,	-0.246343,	1.16175,	-4.22553,	-16.2936,	-0.0160096,	-0.00487881,	-0.00635149,	0.99984,	-0.856211,	2.27787,	-0.0508194,	0,	0,	0,	-0.0362377,	0.69236,	0.719886,	-0.0329896,	-0.762971,	2.16257,	-0.320983,	0,	0,	0,	-0.0176205,	-0.00746953,	-0.0356906,	0.99918
1520804653357833546,	-0.84227,	2.22716,	-0.246343,	0.995789,	-3.62189,	-13.966,	-0.0160096,	-0.00487881,	-0.00635149,	0.99984,	-0.856211,	2.27787,	-0.0508194,	0,	0,	0,	-0.0362377,	0.69236,	0.719886,	-0.0329896,	-0.762971,	2.16257,	-0.320983,	0,	0,	0,	-0.0176205,	-0.00746953,	-0.0356906,	0.99918
1520804653371222452,	-0.842738,	2.227,	-0.246266,	1.03644,	-3.91254,	-15.0344,	-0.0164749,	-0.00463526,	-0.0073061,	0.999827,	-0.856536,	2.27853,	-0.0507267,	-0.0249806,	0.0514387,	0.00712768,	-0.0358584,	0.693318,	0.719015,	-0.0322874,	-0.76337,	2.16225,	-0.320898,	-0.0307221,	-0.024582,	0.00656218,	-0.0181214,	-0.00729203,	-0.0363052,	0.99915
1520804653383575037,	-0.842738,	2.227,	-0.246266,	1.14983,	-4.29443,	-16.2949,	-0.0164759,	-0.00463533,	-0.00730638,	0.999827,	-0.856536,	2.27853,	-0.0507267,	0,	0,	0,	-0.0358584,	0.693318,	0.719015,	-0.0322874,	-0.763401,	2.16228,	-0.320919,	-0.00255185,	0.00301664,	-0.00176256,	-0.0180538,	-0.00720757,	-0.0364269,	0.999147
1520804653395015039,	-0.842738,	2.227,	-0.246266,	1.25436,	-4.68484,	-17.7763,	-0.0164759,	-0.00463533,	-0.00730638,	0.999827,	-0.856536,	2.27853,	-0.0507267,	0,	0,	0,	-0.0358584,	0.693318,	0.719015,	-0.0322874,	-0.763401,	2.16228,	-0.320919,	0,	0,	0,	-0.0180538,	-0.00720757,	-0.0364269,	0.999147
1520804653404329721,	-0.842738,	2.227,	-0.246266,	1.5331,	-5.72591,	-21.7266,	-0.0164759,	-0.00463533,	-0.00730638,	0.999827,	-0.856536,	2.27853,	-0.0507267,	0,	0,	0,	-0.0358584,	0.693318,	0.719015,	-0.0322874,	-0.763401,	2.16228,	-0.320919,	0,	0,	0,	-0.0180538,	-0.00720757,	-0.0364269,	0.999147
1520804653415057036,	-0.842948,	2.22755,	-0.245986,	1.35885,	-5.09854,	-19.5259,	-0.0175532,	-0.00514898,	-0.00787449,	0.999802,	-0.857243,	2.27913,	-0.0503823,	-0.0706414,	0.0598325,	0.0344428,	-0.0365938,	0.693911,	0.718416,	-0.0320395,	-0.763821,	2.16289,	-0.320629,	-0.0420894,	0.0609608,	0.0289714,	-0.0187097,	-0.00737607,	-0.0374615,	0.999096
1520804653426046480,	-0.843047,	2.22777,	-0.245991,	1.41956,	-5.13592,	-19.5609,	-0.0178083,	-0.005187,	-0.00771211,	0.999798,	-0.857243,	2.27913,	-0.0503823,	0,	0,	0,	-0.0365938,	0.693911,	0.718416,	-0.0320395,	-0.763642,	2.16286,	-0.320686,	0.0179195,	-0.00328512,	-0.0056704,	-0.0190244,	-0.00759113,	-0.0371435,	0.9991
1520804653437199721,	-0.843047,	2.22777,	-0.245991,	1.29051,	-4.66902,	-17.7826,	-0.0178083,	-0.005187,	-0.00771211,	0.999798,	-0.857243,	2.27913,	-0.0503823,	0,	0,	0,	-0.0365938,	0.693911,	0.718416,	-0.0320395,	-0.763642,	2.16286,	-0.320686,	0,	0,	0,	-0.0190244,	-0.00759113,	-0.0371435,	0.9991
1520804653449738684,	-0.843047,	2.22777,	-0.245991,	1.18297,	-4.27993,	-16.3007,	-0.0178083,	-0.005187,	-0.00771211,	0.999798,	-0.857243,	2.27913,	-0.0503823,	0,	0,	0,	-0.0365938,	0.693911,	0.718416,	-0.0320395,	-0.763642,	2.16286,	-0.320686,	0,	0,	0,	-0.0190244,	-0.00759113,	-0.0371435,	0.9991
1520804653462773715,	-0.843047,	2.22777,	-0.245991,	1.09197,	-3.95071,	-15.0468,	-0.0178083,	-0.005187,	-0.00771211,	0.999798,	-0.857243,	2.27913,	-0.0503823,	0,	0,	0,	-0.0365938,	0.693911,	0.718416,	-0.0320395,	-0.763642,	2.16286,	-0.320686,	0,	0,	0,	-0.0190244,	-0.00759113,	-0.0371435,	0.9991
1520804653476843006,	-0.843325,	2.22777,	-0.245567,	0.994092,	-3.66863,	-13.9418,	-0.0176252,	-0.00586444,	-0.00686497,	0.999804,	-0.857798,	2.27908,	-0.0503056,	-0.0396462,	-0.00391673,	0.005475,	-0.0383962,	0.692879,	0.719292,	-0.0326206,	-0.764087,	2.16287,	-0.320289,	-0.0317486,	0.000946417,	0.0283246,	-0.0193679,	-0.00814352,	-0.0361938,	0.999124
1520804653489649334,	-0.843325,	2.22777,	-0.245567,	1.20603,	-4.2755,	-16.2718,	-0.0176252,	-0.00586444,	-0.00686497,	0.999804,	-0.857798,	2.27908,	-0.0503056,	0,	0,	0,	-0.0383962,	0.692879,	0.719292,	-0.0326206,	-0.764069,	2.16291,	-0.32029,	0.00148225,	0.00324358,	-3.9004e-05,	-0.0193289,	-0.00817272,	-0.03619,	0.999125
1520804653498658227,	-0.843325,	2.22777,	-0.245567,	1.60804,	-5.70067,	-21.6958,	-0.0176252,	-0.00586444,	-0.00686497,	0.999804,	-0.857798,	2.27908,	-0.0503056,	0,	0,	0,	-0.0383962,	0.692879,	0.719292,	-0.0326206,	-0.764069,	2.16291,	-0.32029,	0,	0,	0,	-0.0193289,	-0.00817272,	-0.03619,	0.999125
1520804653510438784,	-0.843325,	2.22777,	-0.245567,	1.31567,	-4.66418,	-17.7511,	-0.0176252,	-0.00586444,	-0.00686497,	0.999804,	-0.857798,	2.27908,	-0.0503056,	0,	0,	0,	-0.0383962,	0.692879,	0.719292,	-0.0326206,	-0.764069,	2.16291,	-0.32029,	0,	0,	0,	-0.0193289,	-0.00817272,	-0.03619,	0.999125
1520804653520476038,	-0.843282,	2.22821,	-0.245603,	1.45152,	-5.08692,	-19.5297,	-0.0145258,	-0.00707854,	-0.0050961,	0.999856,	-0.858445,	2.27853,	-0.0501086,	-0.0647331,	-0.0549163,	0.0197033,	-0.0405462,	0.690792,	0.721151,	-0.0332216,	-0.763976,	2.16344,	-0.320204,	0.00924565,	0.0531365,	0.00851189,	-0.0160693,	-0.00928286,	-0.0344869,	0.999233
1520804653533841044,	-0.843282,	2.22821,	-0.245603,	1.16635,	-3.87077,	-15.038,	-0.0145258,	-0.00707854,	-0.0050961,	0.999856,	-0.858445,	2.27853,	-0.0501086,	0,	0,	0,	-0.0405462,	0.690792,	0.721151,	-0.0332216,	-0.763964,	2.16347,	-0.32026,	0.000976742,	0.00196275,	-0.00430858,	-0.0160947,	-0.00938309,	-0.0344493,	0.999233
1520804653547227449,	-0.843282,	2.22821,	-0.245603,	1.16635,	-3.87077,	-15.038,	-0.0145258,	-0.00707854,	-0.0050961,	0.999856,	-0.858445,	2.27853,	-0.0501086,	0,	0,	0,	-0.0405462,	0.690792,	0.721151,	-0.0332216,	-0.763964,	2.16347,	-0.32026,	0,	0,	0,	-0.0160947,	-0.00938309,	-0.0344493,	0.999233
1520804653556531467,	-0.843282,	2.22821,	-0.245603,	1.68472,	-5.59112,	-21.7216,	-0.0145258,	-0.00707854,	-0.0050961,	0.999856,	-0.858445,	2.27853,	-0.0501086,	0,	0,	0,	-0.0405462,	0.690792,	0.721151,	-0.0332216,	-0.763964,	2.16347,	-0.32026,	0,	0,	0,	-0.0160947,	-0.00938309,	-0.0344493,	0.999233
1520804653564842174,	-0.84315,	2.22899,	-0.245748,	1.91192,	-6.19269,	-24.4549,	-0.0119382,	-0.00746114,	-0.00350441,	0.999895,	-0.858191,	2.27787,	-0.0500192,	0.0317377,	-0.0827338,	0.0111761,	-0.0415219,	0.688407,	0.723294,	-0.0348839,	-0.763775,	2.16421,	-0.320351,	0.0235606,	0.0931294,	-0.0113712,	-0.0135214,	-0.0100044,	-0.0328735,	0.999318
