time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520804468416892772,	-0.836182,	2.24649,	-0.183672,	1.46661e-05,	9.21637e-07,	-3.56908e-05,	-0.0328071,	-0.00974257,	-0.0147584,	0.999305,	-0.851307,	2.30362,	0.0092656,	1.3268e-05,	6.20222e-06,	-1.78569e-05,	-0.0345144,	0.704915,	0.708005,	-0.0251577,	-0.756523,	2.18072,	-0.260609,	1.28994e-05,	5.1651e-06,	-1.75818e-05,	-0.0341037,	-0.0115965,	-0.0437963,	0.998391
1520804468429594884,	-0.836184,	2.24649,	-0.183672,	1.26028,	-4.76054,	-16.0781,	-0.0329387,	-0.00972606,	-0.0146613,	0.999303,	-0.851307,	2.30362,	0.0092656,	0,	0,	0,	-0.0345144,	0.704915,	0.708005,	-0.0251577,	-0.756523,	2.18072,	-0.260609,	0,	0,	0,	-0.0341037,	-0.0115965,	-0.0437963,	0.998391
1520804468443145814,	-0.836184,	2.24649,	-0.183672,	1.16334,	-4.39434,	-14.8414,	-0.0329387,	-0.00972606,	-0.0146613,	0.999303,	-0.851307,	2.30362,	0.0092656,	0,	0,	0,	-0.0345144,	0.704915,	0.708005,	-0.0251577,	-0.756523,	2.18072,	-0.260609,	0,	0,	0,	-0.0341037,	-0.0115965,	-0.0437963,	0.998391
1520804468454366500,	-0.836184,	2.24649,	-0.183672,	1.37485,	-5.19331,	-17.5398,	-0.0329387,	-0.00972606,	-0.0146613,	0.999303,	-0.851307,	2.30362,	0.0092656,	0,	0,	0,	-0.0345144,	0.704915,	0.708005,	-0.0251577,	-0.756523,	2.18072,	-0.260609,	0,	0,	0,	-0.0341037,	-0.0115965,	-0.0437963,	0.998391
1520804468466754779,	-0.836277,	2.24584,	-0.184065,	1.25256,	-4.8146,	-16.1109,	-0.0330475,	-0.00951896,	-0.0146011,	0.999302,	-0.851148,	2.30385,	0.00865654,	0.0132497,	0.0190978,	-0.0507544,	-0.0338585,	0.705141,	0.707793,	-0.0256809,	-0.756587,	2.18009,	-0.260894,	-0.00534348,	-0.0531053,	-0.0237606,	-0.0346268,	-0.0114521,	-0.0437214,	0.998378
1520804468477306002,	-0.83628,	2.24582,	-0.184129,	1.48679,	-5.8028,	-19.2786,	-0.0332077,	-0.00945432,	-0.0145404,	0.999298,	-0.851148,	2.30385,	0.00865654,	0,	0,	0,	-0.0338585,	0.705141,	0.707793,	-0.0256809,	-0.756599,	2.18011,	-0.261111,	-0.00119817,	0.00216865,	-0.0216753,	-0.0344921,	-0.0113188,	-0.0436587,	0.998387
1520804468489806809,	-0.83628,	2.24582,	-0.184129,	1.23899,	-4.83566,	-16.0655,	-0.0332077,	-0.00945432,	-0.0145404,	0.999298,	-0.851148,	2.30385,	0.00865654,	0,	0,	0,	-0.0338585,	0.705141,	0.707793,	-0.0256809,	-0.756599,	2.18011,	-0.261111,	0,	0,	0,	-0.0344921,	-0.0113188,	-0.0436587,	0.998387
1520804468499314455,	-0.83628,	2.24582,	-0.184129,	1.65199,	-6.44755,	-21.4206,	-0.0332077,	-0.00945432,	-0.0145404,	0.999298,	-0.851148,	2.30385,	0.00865654,	0,	0,	0,	-0.0338585,	0.705141,	0.707793,	-0.0256809,	-0.756599,	2.18011,	-0.261111,	0,	0,	0,	-0.0344921,	-0.0113188,	-0.0436587,	0.998387
1520804468512076166,	-0.83628,	2.24582,	-0.184129,	1.35163,	-5.27527,	-17.526,	-0.0332077,	-0.00945432,	-0.0145404,	0.999298,	-0.851148,	2.30385,	0.00865654,	0,	0,	0,	-0.0338585,	0.705141,	0.707793,	-0.0256809,	-0.756599,	2.18011,	-0.261111,	0,	0,	0,	-0.0344921,	-0.0113188,	-0.0436587,	0.998387
1520804468524098593,	-0.836403,	2.24645,	-0.18491,	1.22878,	-4.78332,	-16.1306,	-0.0326882,	-0.00828006,	-0.0146274,	0.999324,	-0.850772,	2.30303,	0.00792841,	0.0313857,	-0.0678092,	-0.0606777,	-0.0328559,	0.704742,	0.708223,	-0.0260555,	-0.756688,	2.18058,	-0.261796,	-0.00741632,	0.0394912,	-0.0570431,	-0.0348883,	-0.0103249,	-0.0434489,	0.998393
