time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788467327398447,	-0.849583,	2.16213,	-0.0200826,	0.000944528,	-0.00187318,	0.00221997,	-0.0187731,	0.00622559,	-0.037822,	0.999089,	-0.863576,	2.16485,	0.186827,	0.000730405,	-0.0018315,	0.00538605,	-0.0025193,	0.692704,	0.721064,	-0.0148518,	-0.772356,	2.10276,	-0.0987738,	0.000624177,	-0.00161454,	0.00534988,	-0.0198871,	0.00464157,	-0.0659084,	0.997617
1520788467340288043,	-0.849623,	2.16214,	-0.0200778,	1.16278,	-0.226131,	-17.2421,	-0.0186942,	0.00620348,	-0.0378476,	0.999089,	-0.863576,	2.16485,	0.186827,	0,	0,	0,	-0.0025193,	0.692704,	0.721064,	-0.0148518,	-0.772384,	2.10269,	-0.0987313,	-0.00235241,	-0.0052268,	0.00354422,	-0.0196173,	0.00458089,	-0.0658328,	0.997627
1520788467352229102,	-0.849623,	2.16214,	-0.0200778,	1.26848,	-0.246689,	-18.8096,	-0.0186942,	0.00620348,	-0.0378476,	0.999089,	-0.863576,	2.16485,	0.186827,	0,	0,	0,	-0.0025193,	0.692704,	0.721064,	-0.0148518,	-0.772384,	2.10269,	-0.0987313,	0,	0,	0,	-0.0196173,	0.00458089,	-0.0658328,	0.997627
1520788467362474071,	-0.849623,	2.16214,	-0.0200778,	1.39533,	-0.271357,	-20.6905,	-0.0186942,	0.00620348,	-0.0378476,	0.999089,	-0.863576,	2.16485,	0.186827,	0,	0,	0,	-0.0025193,	0.692704,	0.721064,	-0.0148518,	-0.772384,	2.10269,	-0.0987313,	0,	0,	0,	-0.0196173,	0.00458089,	-0.0658328,	0.997627
1520788467371715990,	-0.849623,	2.16214,	-0.0200778,	1.55037,	-0.301508,	-22.9895,	-0.0186942,	0.00620348,	-0.0378476,	0.999089,	-0.863576,	2.16485,	0.186827,	0,	0,	0,	-0.0025193,	0.692704,	0.721064,	-0.0148518,	-0.772384,	2.10269,	-0.0987313,	0,	0,	0,	-0.0196173,	0.00458089,	-0.0658328,	0.997627
1520788467382067179,	-0.849782,	2.16245,	-0.0202367,	1.37941,	-0.2406,	-20.7064,	-0.0178358,	0.00595389,	-0.0379738,	0.999102,	-0.86399,	2.16499,	0.186945,	-0.0413541,	0.0133758,	0.0118014,	-0.0024477,	0.692681,	0.721091,	-0.0146419,	-0.772572,	2.10298,	-0.0988384,	-0.0187972,	0.0285357,	-0.010712,	-0.0186235,	0.00462638,	-0.0658735,	0.997643
1520788467392757727,	-0.849782,	2.16245,	-0.0202367,	1.42076,	-0.253976,	-20.7182,	-0.0178358,	0.00595389,	-0.0379738,	0.999102,	-0.86399,	2.16499,	0.186945,	0,	0,	0,	-0.0024477,	0.692681,	0.721091,	-0.0146419,	-0.772571,	2.10298,	-0.0988246,	4.86605e-05,	-0.000173429,	0.00138384,	-0.0186201,	0.00462843,	-0.0658737,	0.997643
1520788467402290333,	-0.849782,	2.16245,	-0.0202367,	1.57863,	-0.282196,	-23.0202,	-0.0178358,	0.00595389,	-0.0379738,	0.999102,	-0.86399,	2.16499,	0.186945,	0,	0,	0,	-0.0024477,	0.692681,	0.721091,	-0.0146419,	-0.772571,	2.10298,	-0.0988246,	0,	0,	0,	-0.0186201,	0.00462843,	-0.0658737,	0.997643
1520788467411736740,	-0.849782,	2.16245,	-0.0202367,	1.57863,	-0.282196,	-23.0202,	-0.0178358,	0.00595389,	-0.0379738,	0.999102,	-0.86399,	2.16499,	0.186945,	0,	0,	0,	-0.0024477,	0.692681,	0.721091,	-0.0146419,	-0.772571,	2.10298,	-0.0988246,	0,	0,	0,	-0.0186201,	0.00462843,	-0.0658737,	0.997643
1520788467424922509,	-0.850105,	2.16168,	-0.0201852,	1.06806,	-0.254145,	-15.9331,	-0.0191879,	0.00623438,	-0.0379008,	0.999078,	-0.864175,	2.16487,	0.187109,	-0.0142711,	-0.00872625,	0.0125644,	-0.00217049,	0.692694,	0.721085,	-0.0143993,	-0.772585,	2.1028,	-0.0981884,	-0.00103822,	-0.0134599,	0.048934,	-0.0191384,	0.00538767,	-0.0658946,	0.997628
1520788467436211629,	-0.850173,	2.16178,	-0.020159,	1.27295,	-0.281289,	-18.8425,	-0.0190862,	0.00620051,	-0.0379095,	0.99908,	-0.864175,	2.16487,	0.187109,	0,	0,	0,	-0.00217049,	0.692694,	0.721085,	-0.0143993,	-0.772838,	2.10237,	-0.0982962,	-0.0230457,	-0.039251,	-0.00980205,	-0.0198901,	0.00530817,	-0.0659204,	0.997613
1520788467444442401,	-0.850173,	2.16178,	-0.020159,	1.75031,	-0.386773,	-25.9085,	-0.0190862,	0.00620051,	-0.0379095,	0.99908,	-0.864175,	2.16487,	0.187109,	0,	0,	0,	-0.00217049,	0.692694,	0.721085,	-0.0143993,	-0.772838,	2.10237,	-0.0982962,	0,	0,	0,	-0.0198901,	0.00530817,	-0.0659204,	0.997613
1520788467452453650,	-0.850173,	2.16178,	-0.020159,	1.75031,	-0.386773,	-25.9085,	-0.0190862,	0.00620051,	-0.0379095,	0.99908,	-0.864175,	2.16487,	0.187109,	0,	0,	0,	-0.00217049,	0.692694,	0.721085,	-0.0143993,	-0.772838,	2.10237,	-0.0982962,	0,	0,	0,	-0.0198901,	0.00530817,	-0.0659204,	0.997613
1520788467463464295,	-0.850173,	2.16178,	-0.020159,	1.27295,	-0.281289,	-18.8425,	-0.0190862,	0.00620051,	-0.0379095,	0.99908,	-0.864175,	2.16487,	0.187109,	0,	0,	0,	-0.00217049,	0.692694,	0.721085,	-0.0143993,	-0.772838,	2.10237,	-0.0982962,	0,	0,	0,	-0.0198901,	0.00530817,	-0.0659204,	0.997613
1520788467473468854,	-0.850561,	2.16251,	-0.0200156,	1.36144,	-0.236016,	-20.7124,	-0.0187698,	0.00584999,	-0.0387057,	0.999057,	-0.864448,	2.16472,	0.18712,	-0.0272354,	-0.0151932,	0.0011194,	-0.00173983,	0.692737,	0.721063,	-0.0134548,	-0.773123,	2.10273,	-0.0984569,	-0.0284723,	0.0356762,	-0.0160665,	-0.0193064,	0.00454508,	-0.0660626,	0.997618
1520788467482615412,	-0.85056,	2.16247,	-0.0199884,	1.54304,	-0.249772,	-23.012,	-0.0187554,	0.00584147,	-0.038703,	0.999058,	-0.864448,	2.16472,	0.18712,	0,	0,	0,	-0.00173983,	0.692737,	0.721063,	-0.0134548,	-0.773212,	2.10302,	-0.0984815,	-0.00983941,	0.032328,	-0.00272787,	-0.0194983,	0.00446087,	-0.0665155,	0.997585
1520788467493406919,	-0.85056,	2.16247,	-0.0199884,	1.38874,	-0.224795,	-20.7108,	-0.0187554,	0.00584147,	-0.038703,	0.999058,	-0.864448,	2.16472,	0.18712,	0,	0,	0,	-0.00173983,	0.692737,	0.721063,	-0.0134548,	-0.773212,	2.10302,	-0.0984815,	0,	0,	0,	-0.0194983,	0.00446087,	-0.0665155,	0.997585
1520788467502993827,	-0.85056,	2.16247,	-0.0199884,	1.54304,	-0.249772,	-23.012,	-0.0187554,	0.00584147,	-0.038703,	0.999058,	-0.864448,	2.16472,	0.18712,	0,	0,	0,	-0.00173983,	0.692737,	0.721063,	-0.0134548,	-0.773212,	2.10302,	-0.0984815,	0,	0,	0,	-0.0194983,	0.00446087,	-0.0665155,	0.997585
1520788467510261063,	-0.85056,	2.16247,	-0.0199884,	1.98391,	-0.321135,	-29.5869,	-0.0187554,	0.00584147,	-0.038703,	0.999058,	-0.864448,	2.16472,	0.18712,	0,	0,	0,	-0.00173983,	0.692737,	0.721063,	-0.0134548,	-0.773212,	2.10302,	-0.0984815,	0,	0,	0,	-0.0194983,	0.00446087,	-0.0665155,	0.997585
1520788467518161535,	-0.85056,	2.16247,	-0.0199884,	1.98391,	-0.321135,	-29.5869,	-0.0187554,	0.00584147,	-0.038703,	0.999058,	-0.864448,	2.16472,	0.18712,	0,	0,	0,	-0.00173983,	0.692737,	0.721063,	-0.0134548,	-0.773212,	2.10302,	-0.0984815,	0,	0,	0,	-0.0194983,	0.00446087,	-0.0665155,	0.997585
1520788467529635671,	-0.851163,	2.16127,	-0.0199648,	1.20774,	-0.313806,	-18.8259,	-0.0191881,	0.00542254,	-0.0394091,	0.999024,	-0.865521,	2.16444,	0.187242,	-0.0975657,	-0.0252886,	0.0110892,	-0.00185268,	0.692541,	0.721273,	-0.0122045,	-0.773795,	2.10183,	-0.0985283,	-0.0529904,	-0.108311,	-0.004258,	-0.019986,	0.0041768,	-0.0672219,	0.997529
