time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788158570625958,	-0.817525,	2.32929,	-0.0921328,	0.0103751,	-0.000158262,	-0.0386051,	-0.0357099,	-0.0262558,	0.000348442,	0.999017,	-0.847912,	2.34291,	0.113065,	0.00428916,	0.0025681,	0.00249204,	-0.0525584,	0.706038,	0.705935,	-0.0200884,	-0.771134,	2.24666,	-0.18488,	-0.000290157,	-1.78275e-05,	0.000135713,	-0.0441993,	0.00205747,	-0.0265428,	0.998668
1520788158584866241,	-0.817525,	2.32929,	-0.0921328,	2.17051,	-0.972337,	-14.657,	-0.0357099,	-0.0262558,	0.000348442,	0.999017,	-0.847912,	2.34291,	0.113065,	0,	0,	0,	-0.0525584,	0.706038,	0.705935,	-0.0200884,	-0.736906,	2.26105,	-0.174183,	2.44487,	1.02787,	0.764067,	-0.0368351,	-0.0265599,	-0.0286297,	0.998558
1520788158595835119,	-0.817975,	2.33072,	-0.0920953,	2.99373,	-1.21889,	-20.516,	-0.0358809,	-0.0260285,	0.000382894,	0.999017,	-0.848177,	2.34353,	0.113415,	-0.0265169,	0.0627187,	0.0349772,	-0.0524933,	0.706217,	0.705736,	-0.020941,	-0.736796,	2.26096,	-0.174109,	0.0110012,	-0.00855287,	0.00740125,	-0.0375174,	-0.0265898,	-0.0284321,	0.998537
1520788158614093273,	-0.818001,	2.33073,	-0.0919381,	1.67648,	-0.711505,	-11.4085,	-0.0360794,	-0.0259927,	0.000617264,	0.999011,	-0.848177,	2.34353,	0.113415,	0,	0,	0,	-0.0524933,	0.706217,	0.705736,	-0.020941,	-0.737042,	2.26159,	-0.174017,	-0.0136391,	0.0350316,	0.00510533,	-0.0374121,	-0.0264322,	-0.0288405,	0.998534
1520788158624421508,	-0.818001,	2.33073,	-0.0919381,	3.01766,	-1.28071,	-20.5353,	-0.0360794,	-0.0259927,	0.000617264,	0.999011,	-0.848177,	2.34353,	0.113415,	0,	0,	0,	-0.0524933,	0.706217,	0.705736,	-0.020941,	-0.737042,	2.26159,	-0.174017,	0,	0,	0,	-0.0374121,	-0.0264322,	-0.0288405,	0.998534
1520788158639473699,	-0.818001,	2.33073,	-0.0919381,	2.01177,	-0.853806,	-13.6902,	-0.0360794,	-0.0259927,	0.000617264,	0.999011,	-0.848177,	2.34353,	0.113415,	0,	0,	0,	-0.0524933,	0.706217,	0.705736,	-0.020941,	-0.737042,	2.26159,	-0.174017,	0,	0,	0,	-0.0374121,	-0.0264322,	-0.0288405,	0.998534
1520788158651950137,	-0.818477,	2.33049,	-0.091403,	2.475,	-1.08686,	-17.0681,	-0.0365809,	-0.0252834,	0.00113375,	0.99901,	-0.848351,	2.34412,	0.113857,	-0.0144452,	0.04882,	0.0368727,	-0.0518822,	0.706277,	0.705695,	-0.0217976,	-0.737282,	2.26196,	-0.173664,	-0.0200337,	0.0309101,	0.0294193,	-0.0371674,	-0.02587,	-0.0278936,	0.998585
1520788158664984715,	-0.818477,	2.33049,	-0.091403,	2.29795,	-1.04832,	-15.7892,	-0.0365809,	-0.0252834,	0.00113375,	0.99901,	-0.848351,	2.34412,	0.113857,	0,	0,	0,	-0.0518822,	0.706277,	0.705695,	-0.0217976,	-0.737424,	2.26173,	-0.173616,	-0.0109528,	-0.017951,	0.00371718,	-0.03762,	-0.0257911,	-0.0280406,	0.998566
1520788158678076812,	-0.818477,	2.33049,	-0.091403,	2.29795,	-1.04832,	-15.7892,	-0.0365809,	-0.0252834,	0.00113375,	0.99901,	-0.848351,	2.34412,	0.113857,	0,	0,	0,	-0.0518822,	0.706277,	0.705695,	-0.0217976,	-0.737424,	2.26173,	-0.173616,	0,	0,	0,	-0.03762,	-0.0257911,	-0.0280406,	0.998566
1520788158690428458,	-0.818477,	2.33049,	-0.091403,	2.48945,	-1.13568,	-17.105,	-0.0365809,	-0.0252834,	0.00113375,	0.99901,	-0.848351,	2.34412,	0.113857,	0,	0,	0,	-0.0518822,	0.706277,	0.705695,	-0.0217976,	-0.737424,	2.26173,	-0.173616,	0,	0,	0,	-0.03762,	-0.0257911,	-0.0280406,	0.998566
