time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788372724576698,	-0.904608,	2.22127,	-0.0539966,	-0.0012341,	-0.00138989,	0.00163271,	-0.0501706,	-0.00673449,	-0.0458182,	0.997666,	-0.920951,	2.24059,	0.149792,	-0.00142779,	-0.00116098,	0.00404803,	-0.00407832,	0.71636,	0.697717,	0.00178039,	-0.824741,	2.16218,	-0.133482,	-0.00123829,	-0.000657425,	0.00391155,	-0.0506809,	-0.00789552,	-0.0728359,	0.996024
1520788372735982868,	-0.904668,	2.22137,	-0.0539977,	1.48022,	-1.74675,	-18.5263,	-0.0501508,	-0.00672621,	-0.045756,	0.99767,	-0.920951,	2.24059,	0.149792,	0,	0,	0,	-0.00407832,	0.71636,	0.697717,	0.00178039,	-0.82473,	2.16218,	-0.133651,	0.000985728,	9.31431e-05,	-0.0153271,	-0.0508399,	-0.00778595,	-0.0727857,	0.996021
1520788372747776372,	-0.904668,	2.22137,	-0.0539977,	1.48022,	-1.74675,	-18.5263,	-0.0501508,	-0.00672621,	-0.045756,	0.99767,	-0.920951,	2.24059,	0.149792,	0,	0,	0,	-0.00407832,	0.71636,	0.697717,	0.00178039,	-0.82473,	2.16218,	-0.133651,	0,	0,	0,	-0.0508399,	-0.00778595,	-0.0727857,	0.996021
1520788372759708540,	-0.904668,	2.22137,	-0.0539977,	1.48022,	-1.74675,	-18.5263,	-0.0501508,	-0.00672621,	-0.045756,	0.99767,	-0.920951,	2.24059,	0.149792,	0,	0,	0,	-0.00407832,	0.71636,	0.697717,	0.00178039,	-0.82473,	2.16218,	-0.133651,	0,	0,	0,	-0.0508399,	-0.00778595,	-0.0727857,	0.996021
1520788372772841855,	-0.904928,	2.2214,	-0.0543968,	1.23254,	-1.47562,	-15.7068,	-0.0496389,	-0.00609807,	-0.0469416,	0.997645,	-0.921165,	2.24052,	0.149313,	-0.0164555,	-0.00497995,	-0.0368356,	-0.00377501,	0.716658,	0.697412,	0.00189689,	-0.824945,	2.1624,	-0.133998,	-0.0164778,	0.0171067,	-0.0267623,	-0.0511726,	-0.00731283,	-0.0733207,	0.995968
1520788372783758920,	-0.904895,	2.22128,	-0.0544733,	1.62695,	-1.92435,	-20.3786,	-0.0497356,	-0.00605638,	-0.0467851,	0.997648,	-0.921165,	2.24052,	0.149313,	0,	0,	0,	-0.00377501,	0.716658,	0.697412,	0.00189689,	-0.824923,	2.16231,	-0.134018,	0.00220287,	-0.00887987,	-0.00199681,	-0.0503507,	-0.0072458,	-0.0738618,	0.99597
1520788372795905072,	-0.904895,	2.22128,	-0.0544733,	1.35579,	-1.60362,	-16.9822,	-0.0497356,	-0.00605638,	-0.0467851,	0.997648,	-0.921165,	2.24052,	0.149313,	0,	0,	0,	-0.00377501,	0.716658,	0.697412,	0.00189689,	-0.824923,	2.16231,	-0.134018,	0,	0,	0,	-0.0503507,	-0.0072458,	-0.0738618,	0.99597
1520788372808924479,	-0.904895,	2.22128,	-0.0544733,	1.2515,	-1.48027,	-15.6758,	-0.0497356,	-0.00605638,	-0.0467851,	0.997648,	-0.921165,	2.24052,	0.149313,	0,	0,	0,	-0.00377501,	0.716658,	0.697412,	0.00189689,	-0.824923,	2.16231,	-0.134018,	0,	0,	0,	-0.0503507,	-0.0072458,	-0.0738618,	0.99597
1520788372820221523,	-0.904895,	2.22128,	-0.0544733,	1.47905,	-1.74941,	-18.526,	-0.0497356,	-0.00605638,	-0.0467851,	0.997648,	-0.921165,	2.24052,	0.149313,	0,	0,	0,	-0.00377501,	0.716658,	0.697412,	0.00189689,	-0.824923,	2.16231,	-0.134018,	0,	0,	0,	-0.0503507,	-0.0072458,	-0.0738618,	0.99597
1520788372830611625,	-0.904959,	2.22096,	-0.0549615,	1.62056,	-1.95586,	-20.4274,	-0.0495728,	-0.00613567,	-0.0459726,	0.997693,	-0.921178,	2.24018,	0.148935,	-0.00131428,	-0.033769,	-0.0377658,	-0.00401419,	0.716352,	0.697726,	0.00168745,	-0.825079,	2.16203,	-0.134549,	-0.0156267,	-0.0284231,	-0.0530741,	-0.0507193,	-0.00743806,	-0.0730596,	0.996009
1520788372840528896,	-0.904959,	2.22096,	-0.0549615,	1.80208,	-2.13566,	-22.6552,	-0.0495728,	-0.00613567,	-0.0459726,	0.997693,	-0.921178,	2.24018,	0.148935,	0,	0,	0,	-0.00401419,	0.716352,	0.697726,	0.00168745,	-0.825066,	2.16198,	-0.134554,	0.00142332,	-0.0049616,	-0.000483146,	-0.050574,	-0.00740582,	-0.0730228,	0.99602
1520788372851441604,	-0.904959,	2.22096,	-0.0549615,	1.62188,	-1.9221,	-20.3897,	-0.0495728,	-0.00613567,	-0.0459726,	0.997693,	-0.921178,	2.24018,	0.148935,	0,	0,	0,	-0.00401419,	0.716352,	0.697726,	0.00168745,	-0.825066,	2.16198,	-0.134554,	0,	0,	0,	-0.050574,	-0.00740582,	-0.0730228,	0.99602
