time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793640414910490,	-0.768394,	2.02076,	-0.00228626,	0.000467097,	-0.00284942,	-0.00268244,	-0.0416574,	0.0408186,	-0.0119795,	0.998226,	-0.75967,	2.08001,	0.199666,	0.000607822,	-0.00189356,	0.00057544,	-0.00731399,	0.69941,	0.710997,	-0.0724964,	-0.696105,	1.96168,	-0.0779568,	0.000280495,	-0.00178272,	0.000814258,	-0.041973,	0.0406115,	-0.0415015,	0.99743
1520793640547964883,	-0.767302,	2.02146,	-0.0025776,	-0.0573844,	-0.440259,	-1.52063,	-0.0423521,	0.0421366,	-0.00757486,	0.998185,	-0.761463,	2.0794,	0.202216,	-0.0134765,	-0.00462485,	0.0191705,	-0.00971752,	0.697814,	0.712634,	-0.0715119,	-0.695649,	1.9618,	-0.0777975,	0.00342973,	0.000866831,	0.00119815,	-0.0428042,	0.0406706,	-0.0383537,	0.997518
1520793640678200094,	-0.76937,	2.02229,	0.000417146,	-0.0608225,	-0.439295,	-1.5523,	-0.0426089,	0.0381911,	-0.00602793,	0.998343,	-0.774457,	2.07995,	0.2056,	-0.0999539,	0.00428132,	0.0260331,	-0.0180741,	0.69803,	0.712795,	-0.0659525,	-0.694781,	1.96228,	-0.0779464,	0.0066707,	0.00367809,	-0.00114576,	-0.0436455,	0.0420971,	-0.0360498,	0.997509
1520793640806550472,	-0.7769,	2.02242,	0.00291933,	-0.0190898,	-0.449519,	-1.58344,	-0.0391523,	0.0291046,	0.000287744,	0.998809,	-0.791778,	2.08095,	0.205204,	-0.135319,	0.00777724,	-0.00309506,	-0.0230635,	0.700359,	0.710503,	-0.0644183,	-0.696783,	1.9632,	-0.0750919,	-0.0156371,	0.00720197,	0.0223008,	-0.0442936,	0.0382593,	-0.0344307,	0.997692
1520793640922723591,	-0.790114,	2.02088,	0.00252368,	0.0143413,	-0.517807,	-1.74724,	-0.0414729,	0.0254494,	-0.00297316,	0.998811,	-0.805106,	2.08019,	0.206864,	-0.114897,	-0.00656828,	0.0143067,	-0.0208687,	0.703934,	0.707843,	-0.0547764,	-0.704146,	1.96375,	-0.0727026,	-0.0634759,	0.00474549,	0.0205977,	-0.0405073,	0.0293383,	-0.0278358,	0.99836
1520793641045603297,	-0.803175,	2.02245,	0.00495618,	0.0158268,	-0.473261,	-1.65498,	-0.0469632,	0.0191458,	-0.0115122,	0.998647,	-0.820913,	2.07803,	0.210931,	-0.129566,	-0.017674,	0.0333356,	-0.0242817,	0.705589,	0.706848,	-0.0438187,	-0.717137,	1.96302,	-0.0730407,	-0.10648,	-0.00599534,	-0.00277133,	-0.0432136,	0.0256674,	-0.0314707,	0.99824
1520793641162700911,	-0.817428,	2.01699,	0.0102121,	0.0297864,	-0.521744,	-1.71554,	-0.0473504,	0.00498872,	-0.0122595,	0.998791,	-0.843246,	2.07733,	0.219381,	-0.190883,	-0.00596544,	0.0722255,	-0.0360362,	0.707605,	0.705173,	-0.0269855,	-0.72991,	1.96524,	-0.0707575,	-0.10917,	0.0189965,	0.0195149,	-0.050452,	0.0193585,	-0.0405247,	0.997716
1520793641291603912,	-0.828101,	2.01859,	0.0170459,	0.118317,	-0.458971,	-1.58074,	-0.0501255,	-0.00902241,	-0.0195288,	0.998511,	-0.84991,	2.0745,	0.222025,	-0.0520675,	-0.0221538,	0.0206576,	-0.0404307,	0.701753,	0.710901,	-0.022981,	-0.74407,	1.96089,	-0.0655028,	-0.110625,	-0.0340056,	0.0410521,	-0.051294,	0.00532073,	-0.0418816,	0.997791
1520793641393593624,	-0.833469,	2.01873,	0.0202643,	0.162786,	-0.552145,	-1.99763,	-0.0406407,	-0.015093,	-0.0190616,	0.998878,	-0.850718,	2.07432,	0.22248,	-0.00799215,	-0.0017423,	0.0045013,	-0.0442083,	0.700338,	0.712096,	-0.0221927,	-0.754456,	1.96291,	-0.0589734,	-0.102833,	0.0199934,	0.064647,	-0.0554586,	-0.00861384,	-0.0490741,	0.997217
1520793641507179382,	-0.832092,	2.01867,	0.0192178,	0.164833,	-0.49254,	-1.79878,	-0.0371155,	-0.0183703,	-0.0182988,	0.998975,	-0.839351,	2.07229,	0.216098,	0.100586,	-0.0179835,	-0.0564739,	-0.0436522,	0.693692,	0.718462,	-0.0264302,	-0.759747,	1.96326,	-0.0559001,	-0.0468201,	0.00312331,	0.0271975,	-0.0442204,	-0.0148871,	-0.0484805,	0.997734
