time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793333421708650,	-0.8325,	2.15012,	-0.0261408,	0.00143627,	-0.0190668,	-0.0299112,	-0.0231852,	0.0113602,	0.0375329,	0.998962,	-0.841724,	2.21317,	0.173132,	0.000365809,	-0.0117497,	-0.00678564,	-0.058993,	0.682944,	0.723047,	-0.0854991,	-0.736906,	2.17582,	-0.0559985,	-0.000132675,	0.000406069,	4.62657e-05,	-0.047566,	-0.0346234,	-0.0659287,	0.996088
1520793333541397646,	-0.831687,	2.15657,	-0.0312283,	0.0843425,	-0.475688,	-1.71731,	-0.0215969,	0.0157189,	0.0436844,	0.998688,	-0.838659,	2.2224,	0.169779,	0.0257518,	0.0775017,	-0.0281711,	-0.0576966,	0.684157,	0.721743,	-0.0876771,	-0.755319,	2.08905,	-0.105591,	-0.154725,	-0.72915,	-0.416741,	-0.0201782,	0.0122106,	0.0117935,	0.999652
1520793333652269296,	-0.829203,	2.16781,	-0.0352403,	0.0859645,	-0.496223,	-1.86382,	-0.0240327,	0.0179761,	0.0455776,	0.99851,	-0.838611,	2.23691,	0.168455,	0.000438441,	0.13194,	-0.0120372,	-0.0624246,	0.685903,	0.718404,	-0.0976543,	-0.754359,	2.0952,	-0.110755,	0.00871913,	0.0558636,	-0.0469502,	-0.0177554,	0.0166779,	0.0185173,	0.999532
1520793333772187414,	-0.829735,	2.17725,	-0.0346092,	0.0745918,	-0.501352,	-1.70642,	-0.0260627,	0.0207105,	0.0536101,	0.998007,	-0.841993,	2.24168,	0.171259,	-0.0284196,	0.0401163,	0.0235628,	-0.0678502,	0.683175,	0.720338,	-0.0988952,	-0.751671,	2.10587,	-0.114969,	0.0225888,	0.0896874,	-0.0354116,	-0.0198063,	0.0189679,	0.0204623,	0.999414
1520793333887287483,	-0.831215,	2.18441,	-0.0332103,	0.0937208,	-0.498001,	-1.778,	-0.0230453,	0.0165837,	0.0591366,	0.997846,	-0.843922,	2.24955,	0.175936,	-0.0167704,	0.0683992,	0.0406682,	-0.0682667,	0.685442,	0.718589,	-0.0955918,	-0.751867,	2.11488,	-0.114642,	-0.00170203,	0.0783533,	0.00284818,	-0.0248809,	0.0220786,	0.0299674,	0.998997
1520793333997792626,	-0.832568,	2.19229,	-0.0276134,	0.103213,	-0.520559,	-1.85045,	-0.0267518,	0.0128143,	0.0569696,	0.997935,	-0.845398,	2.25889,	0.179994,	-0.0134238,	0.0849319,	0.0368885,	-0.0698119,	0.687671,	0.716556,	-0.0937184,	-0.753203,	2.12191,	-0.113591,	-0.0121467,	0.0639247,	0.00955273,	-0.0188202,	0.0180104,	0.0355326,	0.999029
1520793334102493252,	-0.832356,	2.20241,	-0.023553,	0.125406,	-0.543097,	-1.95718,	-0.0269923,	0.0120468,	0.0572539,	0.997922,	-0.845538,	2.2712,	0.18668,	-0.00134404,	0.118381,	0.0642932,	-0.0692164,	0.685662,	0.718393,	-0.0947995,	-0.754375,	2.12965,	-0.108514,	-0.0112665,	0.0744349,	0.0488173,	-0.0246429,	0.014308,	0.0328388,	0.999054
1520793334218036539,	-0.832842,	2.21134,	-0.0178045,	0.110403,	-0.520598,	-1.77813,	-0.0291651,	0.0123676,	0.0584991,	0.997785,	-0.844884,	2.28113,	0.191116,	0.00569073,	0.0862984,	0.0385725,	-0.0639602,	0.689047,	0.714954,	-0.0998237,	-0.753858,	2.13921,	-0.105018,	0.00449942,	0.0831182,	0.0303974,	-0.0252072,	0.013658,	0.0333202,	0.999033
1520793334332209943,	-0.835664,	2.22038,	-0.0124011,	0.0808694,	-0.532884,	-1.78524,	-0.0305892,	0.0216302,	0.0584,	0.99759,	-0.844163,	2.28819,	0.194903,	0.0063198,	0.0619827,	0.0332219,	-0.0556678,	0.692608,	0.712079,	-0.100689,	-0.75404,	2.14765,	-0.0996749,	-0.00160266,	0.0739861,	0.0468707,	-0.0270789,	0.0140299,	0.0354937,	0.998904
1520793334442821142,	-0.838048,	2.22515,	-0.00888869,	0.0555899,	-0.573172,	-1.85266,	-0.0360141,	0.0294034,	0.0514675,	0.997592,	-0.847669,	2.28677,	0.19747,	-0.0318678,	-0.0129848,	0.0233325,	-0.0460622,	0.690938,	0.715473,	-0.0926371,	-0.756551,	2.15641,	-0.0948854,	-0.0228224,	0.0796594,	0.0435402,	-0.0293569,	0.0233319,	0.0349144,	0.998687
1520793334564571946,	-0.844263,	2.22697,	-0.00579202,	0.0281444,	-0.494201,	-1.67985,	-0.0303036,	0.0306769,	0.0377871,	0.998355,	-0.851442,	2.28395,	0.197334,	-0.0311854,	-0.0232398,	-0.00112158,	-0.0347795,	0.687042,	0.721091,	-0.0824081,	-0.758771,	2.16104,	-0.091693,	-0.0183509,	0.0382659,	0.0263836,	-0.0351285,	0.0310024,	0.0263422,	0.998554
1520793334665240579,	-0.848464,	2.22602,	-0.0062079,	0.0297773,	-0.579384,	-2.03542,	-0.0272282,	0.0312404,	0.0272999,	0.998768,	-0.847548,	2.28669,	0.196411,	0.0389423,	0.0273743,	-0.00923375,	-0.0232744,	0.687365,	0.721583,	-0.0794051,	-0.764812,	2.16305,	-0.0887217,	-0.0604056,	0.020145,	0.0297134,	-0.0269428,	0.0316688,	0.0113831,	0.99907
1520793334779138126,	-0.848153,	2.22974,	-0.00748801,	-0.00535949,	-0.503999,	-1.80442,	-0.0257004,	0.0370215,	0.0161327,	0.998854,	-0.839132,	2.29748,	0.194787,	0.0744772,	0.0955175,	-0.0143703,	-0.0122609,	0.696605,	0.713269,	-0.0764083,	-0.769013,	2.16248,	-0.0891758,	-0.0371814,	-0.0050788,	-0.00401849,	-0.0245146,	0.0319147,	2.47121e-05,	0.99919
1520793334894445512,	-0.841772,	2.23309,	-0.00793171,	-0.0229555,	-0.559946,	-1.76277,	-0.0362053,	0.0418365,	0.00637288,	0.998448,	-0.834224,	2.30226,	0.192478,	0.0426804,	0.0415274,	-0.0200782,	-0.0109766,	0.696658,	0.713717,	-0.0717971,	-0.768712,	2.16618,	-0.0905158,	0.00261865,	0.032155,	-0.0116527,	-0.0219068,	0.0372211,	-0.0126825,	0.998986
1520793335024333774,	-0.835329,	2.24068,	-0.0091378,	-0.00856867,	-0.477408,	-1.56291,	-0.0316667,	0.0390887,	0.00351017,	0.998728,	-0.832505,	2.30545,	0.187696,	0.0133232,	0.0247474,	-0.0370732,	-0.0187547,	0.689898,	0.720933,	-0.062811,	-0.76242,	2.16907,	-0.0910347,	0.0487745,	0.0224512,	-0.0040223,	-0.0345717,	0.041937,	-0.0235693,	0.998244
1520793335156466848,	-0.829278,	2.24843,	-0.0154394,	0.0244459,	-0.431985,	-1.5389,	-0.0248026,	0.0281948,	0.000311408,	0.999295,	-0.826137,	2.30346,	0.180002,	0.0482419,	-0.0151306,	-0.0582823,	-0.0184355,	0.681576,	0.730081,	-0.0457818,	-0.755795,	2.1757,	-0.0924839,	0.0501871,	0.0501825,	-0.0109789,	-0.0291713,	0.0390276,	-0.0254521,	0.998488
1520793335299230971,	-0.821625,	2.24874,	-0.0232719,	0.0317775,	-0.38533,	-1.43151,	-0.0171988,	0.0194537,	-0.0102248,	0.999611,	-0.819252,	2.29063,	0.173201,	0.0484867,	-0.0903517,	-0.0478962,	-0.0172483,	0.677074,	0.734595,	-0.0405503,	-0.74969,	2.18276,	-0.0988276,	0.0429973,	0.049767,	-0.0446736,	-0.02043,	0.0278482,	-0.0288475,	0.998987
1520793335435027880,	-0.812208,	2.23361,	-0.0323845,	0.0521744,	-0.422353,	-1.52286,	-0.00335016,	0.016079,	-0.0150698,	0.999752,	-0.819235,	2.21587,	0.160289,	0.000126641,	-0.553771,	-0.095649,	-0.0196115,	0.669556,	0.741419,	-0.0400978,	-0.742208,	2.18257,	-0.106402,	0.0554203,	-0.00141792,	-0.0561034,	-0.0106474,	0.0185463,	-0.0398707,	0.998976
1520793335548861764,	-0.815998,	2.16004,	-0.0468993,	0.0286413,	-0.494059,	-1.83352,	0.00466894,	0.0149879,	-0.0115781,	0.99981,	-0.826881,	2.1158,	0.150422,	-0.0676656,	-0.885515,	-0.087318,	-0.0136614,	0.672828,	0.73886,	-0.0346588,	-0.733391,	2.16753,	-0.114664,	0.0780319,	-0.133093,	-0.0731212,	0.0048607,	0.0146224,	-0.0448396,	0.998875
1520793335668076570,	-0.820405,	2.03613,	-0.0586949,	0.0544235,	-0.669509,	-1.75728,	-0.00275455,	0.0153128,	-0.0293798,	0.999447,	-0.837634,	1.88869,	0.143028,	-0.0903644,	-1.90854,	-0.0621334,	-0.0109133,	0.678687,	0.733401,	-0.0372468,	-0.738989,	2.09741,	-0.125992,	-0.0470482,	-0.589298,	-0.0951878,	0.0133345,	0.0133776,	-0.0407387,	0.998991
1520793335796452078,	-0.841905,	1.85306,	-0.0638688,	-0.0333646,	-0.278349,	-1.61638,	-0.00844855,	0.0197673,	-0.0136986,	0.999675,	-0.833061,	1.7145,	0.146323,	0.0357317,	-1.36083,	0.0257405,	-0.000212026,	0.666853,	0.744268,	-0.0370479,	-0.74649,	1.97908,	-0.132847,	-0.0586036,	-0.924435,	-0.0535566,	0.00276328,	0.013283,	-0.0589209,	0.99817
1520793335914431232,	-0.841641,	1.64263,	-0.0612145,	-0.0733393,	-0.614307,	-1.77382,	0.000442685,	0.0287977,	-0.017126,	0.999438,	-0.839517,	1.567,	0.143436,	-0.0551843,	-1.26064,	-0.0246671,	-0.0149652,	0.6721,	0.739092,	-0.0424266,	-0.772156,	1.80462,	-0.131221,	-0.219368,	-1.49107,	0.013892,	-0.00429263,	0.0182739,	-0.0427197,	0.998911
