time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793344213794681,	-0.857932,	2.26997,	-0.0586023,	0.00910183,	-0.0640771,	-0.0908287,	-0.0449248,	-0.00460208,	0.0213489,	0.998752,	-0.873471,	2.33128,	0.143134,	0.00188134,	-0.0355896,	0.00291468,	-0.0553824,	0.701436,	0.708586,	-0.0531522,	-0.771238,	2.26489,	-0.154177,	0.000331008,	-0.000791994,	-0.000145342,	-0.0207762,	-0.00860135,	-0.00177461,	0.999746
1520793344329423484,	-0.854878,	2.26411,	-0.0584634,	0.161679,	-0.584082,	-1.75302,	-0.0425246,	-0.00406235,	0.0193971,	0.998899,	-0.870809,	2.32678,	0.143519,	0.0231452,	-0.0391145,	0.00335108,	-0.0564551,	0.699532,	0.710271,	-0.0546134,	-0.777048,	2.20447,	-0.141268,	-0.0505194,	-0.525398,	0.112257,	-0.039736,	-0.00424927,	-0.00832683,	0.999166
1520793344430166332,	-0.8518,	2.26167,	-0.0590258,	0.190089,	-0.651146,	-2.02545,	-0.0390362,	-0.0040748,	0.021786,	0.998992,	-0.868106,	2.32386,	0.144493,	0.0270293,	-0.0292367,	0.00974258,	-0.0557359,	0.700081,	0.709728,	-0.0553704,	-0.774265,	2.19895,	-0.140978,	0.0278252,	-0.05516,	0.0028999,	-0.0401915,	-0.00362807,	-0.00877174,	0.999147
1520793344522966500,	-0.849563,	2.25759,	-0.0576909,	0.201555,	-0.720257,	-2.19765,	-0.040323,	-0.00320245,	0.0205744,	0.99897,	-0.866123,	2.32059,	0.145453,	0.021554,	-0.03547,	0.0104366,	-0.0544175,	0.700689,	0.709279,	-0.0547386,	-0.771359,	2.1966,	-0.141463,	0.0315926,	-0.0255306,	-0.00527241,	-0.0367627,	-0.00359038,	-0.00579383,	0.999301
1520793344622695627,	-0.848092,	2.25415,	-0.0561486,	0.182128,	-0.671102,	-2.03638,	-0.0426363,	-0.00292204,	0.0189756,	0.998906,	-0.867515,	2.31793,	0.146861,	-0.0140571,	-0.0268793,	0.014216,	-0.0563559,	0.699804,	0.710194,	-0.05218,	-0.76928,	2.1926,	-0.140003,	0.0209997,	-0.0403643,	0.0147435,	-0.0383038,	-0.0027338,	-0.00696287,	0.999238
1520793344720807627,	-0.848119,	2.2522,	-0.0561535,	0.197919,	-0.670757,	-2.07157,	-0.0389685,	-0.00724246,	0.0180874,	0.99905,	-0.871957,	2.31616,	0.1494,	-0.0453315,	-0.0180838,	0.0259091,	-0.0585301,	0.699012,	0.71129,	-0.0449727,	-0.767918,	2.18923,	-0.138402,	0.0138989,	-0.0344188,	0.0163428,	-0.0390727,	-0.00249607,	-0.00865113,	0.999196
1520793344809467182,	-0.850048,	2.25192,	-0.053865,	0.248968,	-0.729973,	-2.30983,	-0.0390015,	-0.0133798,	0.0151145,	0.999035,	-0.877599,	2.31182,	0.152141,	-0.0641105,	-0.0493027,	0.0311511,	-0.0612748,	0.697543,	0.712629,	-0.0428728,	-0.768089,	2.18752,	-0.138277,	-0.00194455,	-0.0193886,	0.00142263,	-0.0358419,	-0.006923,	-0.0101712,	0.999282
1520793344906920751,	-0.854036,	2.24944,	-0.0505627,	0.242917,	-0.643141,	-2.08973,	-0.035566,	-0.015853,	0.015289,	0.999125,	-0.880206,	2.30663,	0.152853,	-0.0268767,	-0.0535637,	0.00733425,	-0.0623388,	0.698958,	0.710682,	-0.0500223,	-0.770016,	2.18741,	-0.136075,	-0.0198676,	-0.00119873,	0.0227012,	-0.0363841,	-0.0131049,	-0.0137797,	0.999157
1520793345001706515,	-0.857638,	2.2434,	-0.0495111,	0.240082,	-0.672572,	-2.1528,	-0.0375903,	-0.0119837,	0.020946,	0.999002,	-0.881152,	2.30231,	0.151654,	-0.0100662,	-0.0459519,	-0.0127549,	-0.0639357,	0.700008,	0.709059,	-0.0559979,	-0.773884,	2.18506,	-0.132837,	-0.0411449,	-0.0250009,	0.0344417,	-0.0333692,	-0.0155308,	-0.0129136,	0.999239
1520793345103384575,	-0.86141,	2.23329,	-0.0525333,	0.195466,	-0.683323,	-2.02165,	-0.0407637,	-0.00509851,	0.0304546,	0.998692,	-0.884968,	2.28154,	0.147281,	-0.0377817,	-0.205613,	-0.0432935,	-0.0657239,	0.694264,	0.713643,	-0.0662767,	-0.777723,	2.17911,	-0.131533,	-0.038013,	-0.0589356,	0.0129065,	-0.035362,	-0.0112763,	-0.00683619,	0.999288
