time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793640209317719,	-0.768723,	2.02174,	0.00574702,	0.000473479,	-0.00278523,	-0.00253396,	-0.0294895,	0.0390363,	-0.0139557,	0.998705,	-0.761148,	2.07825,	0.199494,	0.000596038,	-0.00187094,	0.00060065,	-0.00464108,	0.698475,	0.71241,	-0.0677016,	-0.696177,	1.96239,	-0.0692036,	0.000252236,	-0.00191513,	0.000724648,	-0.0294742,	0.0384883,	-0.0438182,	0.997863
1520793640220692177,	-0.768723,	2.02174,	0.00574702,	-0.688658,	-5.13738,	-17.6133,	-0.0294895,	0.0390363,	-0.0139557,	0.998705,	-0.761148,	2.07825,	0.199494,	0,	0,	0,	-0.00464108,	0.698475,	0.71241,	-0.0677016,	-0.696177,	1.96239,	-0.0692036,	0,	0,	0,	-0.0294742,	0.0384883,	-0.0438182,	0.997863
1520793640229937569,	-0.768723,	2.02174,	0.00574702,	-0.841693,	-6.27902,	-21.5274,	-0.0294895,	0.0390363,	-0.0139557,	0.998705,	-0.761148,	2.07825,	0.199494,	0,	0,	0,	-0.00464108,	0.698475,	0.71241,	-0.0677016,	-0.696177,	1.96239,	-0.0692036,	0,	0,	0,	-0.0294742,	0.0384883,	-0.0438182,	0.997863
1520793640238448759,	-0.768723,	2.02174,	0.00574702,	-0.946905,	-7.0639,	-24.2184,	-0.0294895,	0.0390363,	-0.0139557,	0.998705,	-0.761148,	2.07825,	0.199494,	0,	0,	0,	-0.00464108,	0.698475,	0.71241,	-0.0677016,	-0.696177,	1.96239,	-0.0692036,	0,	0,	0,	-0.0294742,	0.0384883,	-0.0438182,	0.997863
1520793640246593997,	-0.768723,	2.02174,	0.00574702,	-0.946905,	-7.0639,	-24.2184,	-0.0294895,	0.0390363,	-0.0139557,	0.998705,	-0.761148,	2.07825,	0.199494,	0,	0,	0,	-0.00464108,	0.698475,	0.71241,	-0.0677016,	-0.696177,	1.96239,	-0.0692036,	0,	0,	0,	-0.0294742,	0.0384883,	-0.0438182,	0.997863
1520793640256161526,	-0.768567,	2.02189,	0.00541696,	-0.824305,	-6.26187,	-21.5641,	-0.0291838,	0.0397301,	-0.0140042,	0.998686,	-0.760827,	2.07855,	0.199142,	0.0356389,	0.0337602,	-0.0391222,	-0.00483151,	0.698507,	0.712284,	-0.0686688,	-0.696157,	1.96271,	-0.0692999,	0.00228021,	0.0349118,	-0.0106974,	-0.0292832,	0.0389634,	-0.0433462,	0.99787
1520793640269065280,	-0.768567,	2.02189,	0.00541696,	-0.644958,	-4.72172,	-16.1437,	-0.0291838,	0.0397301,	-0.0140042,	0.998686,	-0.760827,	2.07855,	0.199142,	0,	0,	0,	-0.00483151,	0.698507,	0.712284,	-0.0686688,	-0.696139,	1.96265,	-0.0693144,	0.00149836,	-0.00492899,	-0.00121403,	-0.0292234,	0.0389979,	-0.0435916,	0.99786
1520793640281946858,	-0.768567,	2.02189,	0.00541696,	-0.644958,	-4.72172,	-16.1437,	-0.0291838,	0.0397301,	-0.0140042,	0.998686,	-0.760827,	2.07855,	0.199142,	0,	0,	0,	-0.00483151,	0.698507,	0.712284,	-0.0686688,	-0.696139,	1.96265,	-0.0693144,	0,	0,	0,	-0.0292234,	0.0389979,	-0.0435916,	0.99786
1520793640292386059,	-0.768567,	2.02189,	0.00541696,	-0.773949,	-5.66607,	-19.3725,	-0.0291838,	0.0397301,	-0.0140042,	0.998686,	-0.760827,	2.07855,	0.199142,	0,	0,	0,	-0.00483151,	0.698507,	0.712284,	-0.0686688,	-0.696139,	1.96265,	-0.0693144,	0,	0,	0,	-0.0292234,	0.0389979,	-0.0435916,	0.99786
1520793640304007291,	-0.768475,	2.02167,	0.00528758,	-0.695271,	-5.17121,	-17.6231,	-0.0292954,	0.0397283,	-0.0123783,	0.998704,	-0.760641,	2.07961,	0.199129,	0.0168747,	0.0963502,	-0.00112207,	-0.00563939,	0.699344,	0.711328,	-0.0699874,	-0.695753,	1.9624,	-0.0697097,	0.0351115,	-0.0229456,	-0.0359305,	-0.0290691,	0.0392257,	-0.0425966,	0.997899
1520793640314871223,	-0.768414,	2.02178,	0.00527134,	-0.777242,	-5.78353,	-19.3858,	-0.0294884,	0.0398023,	-0.0122127,	0.998698,	-0.760641,	2.07961,	0.199129,	0,	0,	0,	-0.00563939,	0.699344,	0.711328,	-0.0699874,	-0.695748,	1.96235,	-0.0698865,	0.000422038,	-0.00497326,	-0.0176794,	-0.0292547,	0.0391,	-0.0423415,	0.997909
1520793640326921267,	-0.768414,	2.02178,	0.00527134,	-0.647702,	-4.81961,	-16.1548,	-0.0294884,	0.0398023,	-0.0122127,	0.998698,	-0.760641,	2.07961,	0.199129,	0,	0,	0,	-0.00563939,	0.699344,	0.711328,	-0.0699874,	-0.695748,	1.96235,	-0.0698865,	0,	0,	0,	-0.0292547,	0.0391,	-0.0423415,	0.997909
1520793640348773840,	-0.768414,	2.02178,	0.00527134,	-0.370115,	-2.75406,	-9.23134,	-0.0294884,	0.0398023,	-0.0122127,	0.998698,	-0.760641,	2.07961,	0.199129,	0,	0,	0,	-0.00563939,	0.699344,	0.711328,	-0.0699874,	-0.695748,	1.96235,	-0.0698865,	0,	0,	0,	-0.0292547,	0.0391,	-0.0423415,	0.997909
1520793640361534421,	-0.768034,	2.02214,	0.00542904,	-0.616022,	-4.78934,	-16.1417,	-0.0305398,	0.0404561,	-0.0110742,	0.998653,	-0.759915,	2.07986,	0.199343,	0.0605301,	0.0202197,	0.0178359,	-0.00627459,	0.699252,	0.711264,	-0.0714959,	-0.694932,	1.96239,	-0.0690989,	0.0680413,	0.00405776,	0.0656342,	-0.0290259,	0.0383354,	-0.0413344,	0.997988
1520793640374706771,	-0.768034,	2.02214,	0.00542904,	-0.62451,	-4.43959,	-14.9165,	-0.0305398,	0.0404561,	-0.0110742,	0.998653,	-0.759915,	2.07986,	0.199343,	0,	0,	0,	-0.00627459,	0.699252,	0.711264,	-0.0714959,	-0.69502,	1.96248,	-0.069182,	-0.00680325,	0.00688888,	-0.00639769,	-0.0293705,	0.0385942,	-0.0412477,	0.997971
1520793640390855387,	-0.768034,	2.02214,	0.00542904,	-0.507414,	-3.60717,	-12.1196,	-0.0305398,	0.0404561,	-0.0110742,	0.998653,	-0.759915,	2.07986,	0.199343,	0,	0,	0,	-0.00627459,	0.699252,	0.711264,	-0.0714959,	-0.69502,	1.96248,	-0.069182,	0,	0,	0,	-0.0293705,	0.0385942,	-0.0412477,	0.997971
1520793640401457309,	-0.767789,	2.02206,	0.00566268,	-0.787379,	-5.78001,	-19.3681,	-0.030805,	0.0406974,	-0.00908094,	0.998655,	-0.75967,	2.08001,	0.199666,	0.0244809,	0.0157606,	0.0322744,	-0.00731399,	0.69941,	0.710997,	-0.0724964,	-0.695195,	1.96286,	-0.0699027,	-0.0175169,	0.0371667,	-0.0720704,	-0.030253,	0.0410725,	-0.0397066,	0.997908
