time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793333323616220,	-0.832739,	2.15164,	-0.0178402,	0.00142674,	-0.0191355,	-0.0293222,	-0.00940311,	0.00978754,	0.0364081,	0.999245,	-0.843974,	2.20587,	0.177136,	0.000106027,	-0.0127607,	-0.00640273,	-0.0581989,	0.683043,	0.723745,	-0.0791078,	-0.738674,	2.17873,	-0.0458799,	-4.85206e-06,	-3.27974e-06,	5.4735e-05,	-0.0403826,	-0.0334803,	-0.0617404,	0.996713
1520793333334114603,	-0.832739,	2.15164,	-0.0178402,	1.12353,	-5.42303,	-19.4976,	-0.00940311,	0.00978754,	0.0364081,	0.999245,	-0.843974,	2.20587,	0.177136,	0,	0,	0,	-0.0581989,	0.683043,	0.723745,	-0.0791078,	-0.755623,	2.09107,	-0.0971887,	-1.69483,	-8.76617,	-5.13088,	-0.00948453,	0.0104573,	0.00652554,	0.999879
1520793333344566119,	-0.832739,	2.15164,	-0.0178402,	1.12353,	-5.42303,	-19.4976,	-0.00940311,	0.00978754,	0.0364081,	0.999245,	-0.843974,	2.20587,	0.177136,	0,	0,	0,	-0.0581989,	0.683043,	0.723745,	-0.0791078,	-0.755623,	2.09107,	-0.0971887,	0,	0,	0,	-0.00948453,	0.0104573,	0.00652554,	0.999879
1520793333355411473,	-0.83283,	2.1543,	-0.0194649,	1.11438,	-5.15677,	-19.66,	-0.0068258,	0.0114824,	0.0393046,	0.999138,	-0.843032,	2.20953,	0.175101,	0.0941958,	0.366042,	-0.203461,	-0.058861,	0.682865,	0.723481,	-0.0824922,	-0.755329,	2.09209,	-0.0984202,	0.0293996,	0.101909,	-0.12315,	-0.00929867,	0.0111992,	0.00772746,	0.999864
1520793333366084306,	-0.832833,	2.15431,	-0.0195236,	1.01995,	-5.52192,	-19.4625,	-0.00682113,	0.0115121,	0.0393125,	0.999137,	-0.843032,	2.20953,	0.175101,	0,	0,	0,	-0.058861,	0.682865,	0.723481,	-0.0824922,	-0.7555,	2.0926,	-0.0985058,	-0.0171795,	0.0509151,	-0.00856097,	-0.00842729,	0.0115508,	0.00853937,	0.999861
1520793333377279257,	-0.832833,	2.15431,	-0.0195236,	0.927224,	-5.01993,	-17.6931,	-0.00682113,	0.0115121,	0.0393125,	0.999137,	-0.843032,	2.20953,	0.175101,	0,	0,	0,	-0.058861,	0.682865,	0.723481,	-0.0824922,	-0.7555,	2.0926,	-0.0985058,	0,	0,	0,	-0.00842729,	0.0115508,	0.00853937,	0.999861
1520793333388151015,	-0.832833,	2.15431,	-0.0195236,	1.01995,	-5.52192,	-19.4625,	-0.00682113,	0.0115121,	0.0393125,	0.999137,	-0.843032,	2.20953,	0.175101,	0,	0,	0,	-0.058861,	0.682865,	0.723481,	-0.0824922,	-0.7555,	2.0926,	-0.0985058,	0,	0,	0,	-0.00842729,	0.0115508,	0.00853937,	0.999861
1520793333400047266,	-0.832833,	2.15431,	-0.0195236,	0.927224,	-5.01993,	-17.6931,	-0.00682113,	0.0115121,	0.0393125,	0.999137,	-0.843032,	2.20953,	0.175101,	0,	0,	0,	-0.058861,	0.682865,	0.723481,	-0.0824922,	-0.7555,	2.0926,	-0.0985058,	0,	0,	0,	-0.00842729,	0.0115508,	0.00853937,	0.999861
1520793333407789843,	-0.831956,	2.15758,	-0.0217266,	1.58231,	-7.42083,	-28.1182,	-0.00824376,	0.0134153,	0.0415308,	0.999013,	-0.841724,	2.21317,	0.173132,	0.186893,	0.521081,	-0.281318,	-0.058993,	0.682944,	0.723047,	-0.0854991,	-0.755051,	2.0952,	-0.100451,	0.0641985,	0.371219,	-0.277836,	-0.00793686,	0.0137036,	0.0117567,	0.999805
1520793333418767377,	-0.831956,	2.15758,	-0.0217266,	0.976793,	-5.55933,	-19.4858,	-0.00824376,	0.0134153,	0.0415308,	0.999013,	-0.841724,	2.21317,	0.173132,	0,	0,	0,	-0.058993,	0.682944,	0.723047,	-0.0854991,	-0.755003,	2.0953,	-0.100486,	0.00478072,	0.0106438,	-0.00351643,	-0.00807748,	0.0137142,	0.0117035,	0.999805
1520793333430063913,	-0.831956,	2.15758,	-0.0217266,	0.887994,	-5.05394,	-17.7144,	-0.00824376,	0.0134153,	0.0415308,	0.999013,	-0.841724,	2.21317,	0.173132,	0,	0,	0,	-0.058993,	0.682944,	0.723047,	-0.0854991,	-0.755003,	2.0953,	-0.100486,	0,	0,	0,	-0.00807748,	0.0137142,	0.0117035,	0.999805
1520793333439517848,	-0.831956,	2.15758,	-0.0217266,	1.08533,	-6.17704,	-21.6509,	-0.00824376,	0.0134153,	0.0415308,	0.999013,	-0.841724,	2.21317,	0.173132,	0,	0,	0,	-0.058993,	0.682944,	0.723047,	-0.0854991,	-0.755003,	2.0953,	-0.100486,	0,	0,	0,	-0.00807748,	0.0137142,	0.0117035,	0.999805
