time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520793344150691854,	-0.858322,	2.27234,	-0.0495403,	0.0092609,	-0.0653786,	-0.0899187,	-0.0303076,	-0.00837183,	0.0180069,	0.999343,	-0.87721,	2.33559,	0.143381,	0.000149247,	-0.0348645,	0.00314521,	-0.057336,	0.702078,	0.70784,	-0.0525504,	-0.77115,	2.26827,	-0.138635,	5.67123e-05,	-0.000216901,	0.000341259,	-0.0379084,	-0.0124171,	-0.000516017,	0.999204
1520793344161308223,	-0.857333,	2.26997,	-0.0500584,	1.9877,	-6.56283,	-19.344,	-0.029822,	-0.0071434,	0.0177378,	0.999372,	-0.875344,	2.33343,	0.143052,	0.186597,	-0.216294,	-0.0329466,	-0.0563855,	0.7018,	0.708152,	-0.0530812,	-0.776906,	2.20574,	-0.132393,	-0.575594,	-6.25343,	0.624281,	-0.0317635,	-0.00715895,	-0.0111818,	0.999407
1520793344168769033,	-0.857333,	2.26997,	-0.0500584,	2.573,	-9.06648,	-27.5872,	-0.029822,	-0.0071434,	0.0177378,	0.999372,	-0.875344,	2.33343,	0.143052,	0,	0,	0,	-0.0563855,	0.7018,	0.708152,	-0.0530812,	-0.776902,	2.20573,	-0.132393,	0.000580051,	-0.00192727,	-2.28281e-05,	-0.0317549,	-0.00715751,	-0.0111872,	0.999407
1520793344178315540,	-0.857333,	2.26997,	-0.0500584,	2.00123,	-7.0517,	-21.4567,	-0.029822,	-0.0071434,	0.0177378,	0.999372,	-0.875344,	2.33343,	0.143052,	0,	0,	0,	-0.0563855,	0.7018,	0.708152,	-0.0530812,	-0.776902,	2.20573,	-0.132393,	0,	0,	0,	-0.0317549,	-0.00715751,	-0.0111872,	0.999407
1520793344188825051,	-0.857333,	2.26997,	-0.0500584,	1.8011,	-6.34653,	-19.311,	-0.029822,	-0.0071434,	0.0177378,	0.999372,	-0.875344,	2.33343,	0.143052,	0,	0,	0,	-0.0563855,	0.7018,	0.708152,	-0.0530812,	-0.776902,	2.20573,	-0.132393,	0,	0,	0,	-0.0317549,	-0.00715751,	-0.0111872,	0.999407
1520793344199572754,	-0.857333,	2.26997,	-0.0500584,	1.8011,	-6.34653,	-19.311,	-0.029822,	-0.0071434,	0.0177378,	0.999372,	-0.875344,	2.33343,	0.143052,	0,	0,	0,	-0.0563855,	0.7018,	0.708152,	-0.0530812,	-0.776902,	2.20573,	-0.132393,	0,	0,	0,	-0.0317549,	-0.00715751,	-0.0111872,	0.999407
1520793344207547275,	-0.855928,	2.26831,	-0.0503427,	2.7737,	-9.30344,	-27.6278,	-0.0295122,	-0.00622173,	0.0180551,	0.999382,	-0.873471,	2.33128,	0.143134,	0.267612,	-0.307393,	0.011691,	-0.0553824,	0.701436,	0.708586,	-0.0531522,	-0.775323,	2.2027,	-0.132537,	0.225581,	-0.432707,	-0.0205932,	-0.0303398,	-0.00631274,	-0.0115301,	0.999453
1520793344215332653,	-0.855928,	2.26831,	-0.0503427,	2.50609,	-8.99604,	-27.6395,	-0.0295122,	-0.00622173,	0.0180551,	0.999382,	-0.873471,	2.33128,	0.143134,	0,	0,	0,	-0.0553824,	0.701436,	0.708586,	-0.0531522,	-0.775293,	2.20277,	-0.132535,	0.00419078,	0.0100979,	0.000240471,	-0.0304231,	-0.00629012,	-0.0114844,	0.999451
1520793344222634172,	-0.855928,	2.26831,	-0.0503427,	2.50609,	-8.99604,	-27.6395,	-0.0295122,	-0.00622173,	0.0180551,	0.999382,	-0.873471,	2.33128,	0.143134,	0,	0,	0,	-0.0553824,	0.701436,	0.708586,	-0.0531522,	-0.775293,	2.20277,	-0.132535,	0,	0,	0,	-0.0304231,	-0.00629012,	-0.0114844,	0.999451
1520793344230545764,	-0.855928,	2.26831,	-0.0503427,	2.50609,	-8.99604,	-27.6395,	-0.0295122,	-0.00622173,	0.0180551,	0.999382,	-0.873471,	2.33128,	0.143134,	0,	0,	0,	-0.0553824,	0.701436,	0.708586,	-0.0531522,	-0.775293,	2.20277,	-0.132535,	0,	0,	0,	-0.0304231,	-0.00629012,	-0.0114844,	0.999451
1520793344238370060,	-0.855928,	2.26831,	-0.0503427,	2.50609,	-8.99604,	-27.6395,	-0.0295122,	-0.00622173,	0.0180551,	0.999382,	-0.873471,	2.33128,	0.143134,	0,	0,	0,	-0.0553824,	0.701436,	0.708586,	-0.0531522,	-0.775293,	2.20277,	-0.132535,	0,	0,	0,	-0.0304231,	-0.00629012,	-0.0114844,	0.999451
1520793344246441780,	-0.855928,	2.26831,	-0.0503427,	2.19283,	-7.87154,	-24.1845,	-0.0295122,	-0.00622173,	0.0180551,	0.999382,	-0.873471,	2.33128,	0.143134,	0,	0,	0,	-0.0553824,	0.701436,	0.708586,	-0.0531522,	-0.775293,	2.20277,	-0.132535,	0,	0,	0,	-0.0304231,	-0.00629012,	-0.0114844,	0.999451
1520793344254442108,	-0.853995,	2.26556,	-0.0503328,	2.78223,	-9.38778,	-27.638,	-0.0283788,	-0.00585463,	0.0173707,	0.999429,	-0.872288,	2.32924,	0.143189,	0.169005,	-0.291433,	0.00790658,	-0.05601,	0.701145,	0.70877,	-0.053883,	-0.773769,	2.20129,	-0.132556,	0.217735,	-0.211183,	-0.00296888,	-0.0296921,	-0.00580518,	-0.0120063,	0.99947
1520793344261306338,	-0.853996,	2.26557,	-0.0503108,	3.04854,	-10.6122,	-32.2499,	-0.0283788,	-0.00586668,	0.0173626,	0.999429,	-0.872288,	2.32924,	0.143189,	0,	0,	0,	-0.05601,	0.701145,	0.70877,	-0.053883,	-0.773769,	2.20129,	-0.132556,	0,	0,	0,	-0.0296921,	-0.00580518,	-0.0120063,	0.99947
1520793344270538471,	-0.853996,	2.26557,	-0.0503108,	2.03236,	-7.07481,	-21.5,	-0.0283788,	-0.00586668,	0.0173626,	0.999429,	-0.872288,	2.32924,	0.143189,	0,	0,	0,	-0.05601,	0.701145,	0.70877,	-0.053883,	-0.773769,	2.20129,	-0.132556,	0,	0,	0,	-0.0296921,	-0.00580518,	-0.0120063,	0.99947
1520793344278775786,	-0.853996,	2.26557,	-0.0503108,	2.28641,	-7.95916,	-24.1875,	-0.0283788,	-0.00586668,	0.0173626,	0.999429,	-0.872288,	2.32924,	0.143189,	0,	0,	0,	-0.05601,	0.701145,	0.70877,	-0.053883,	-0.773769,	2.20129,	-0.132556,	0,	0,	0,	-0.0296921,	-0.00580518,	-0.0120063,	0.99947
1520793344285358313,	-0.853996,	2.26557,	-0.0503108,	3.04854,	-10.6122,	-32.2499,	-0.0283788,	-0.00586668,	0.0173626,	0.999429,	-0.872288,	2.32924,	0.143189,	0,	0,	0,	-0.05601,	0.701145,	0.70877,	-0.053883,	-0.773769,	2.20129,	-0.132556,	0,	0,	0,	-0.0296921,	-0.00580518,	-0.0120063,	0.99947
1520793344291984827,	-0.853996,	2.26557,	-0.0503108,	3.04854,	-10.6122,	-32.2499,	-0.0283788,	-0.00586668,	0.0173626,	0.999429,	-0.872288,	2.32924,	0.143189,	0,	0,	0,	-0.05601,	0.701145,	0.70877,	-0.053883,	-0.773769,	2.20129,	-0.132556,	0,	0,	0,	-0.0296921,	-0.00580518,	-0.0120063,	0.99947
1520793344299626144,	-0.853996,	2.26557,	-0.0503108,	2.61304,	-9.09618,	-27.6428,	-0.0283788,	-0.00586668,	0.0173626,	0.999429,	-0.872288,	2.32924,	0.143189,	0,	0,	0,	-0.05601,	0.701145,	0.70877,	-0.053883,	-0.773769,	2.20129,	-0.132556,	0,	0,	0,	-0.0296921,	-0.00580518,	-0.0120063,	0.99947
1520793344307438336,	-0.85318,	2.2646,	-0.0502948,	2.7297,	-9.23448,	-27.6405,	-0.0273438,	-0.00557118,	0.0185434,	0.999439,	-0.870809,	2.32678,	0.143519,	0.211237,	-0.351163,	0.047147,	-0.0564551,	0.699532,	0.710271,	-0.0546134,	-0.772861,	2.19926,	-0.131997,	0.12976,	-0.290463,	0.0798922,	-0.0293386,	-0.00488957,	-0.0115617,	0.999491
1520793344314608436,	-0.85318,	2.2646,	-0.0502948,	2.51847,	-8.88331,	-27.6877,	-0.0273438,	-0.00557118,	0.0185434,	0.999439,	-0.870809,	2.32678,	0.143519,	0,	0,	0,	-0.0564551,	0.699532,	0.710271,	-0.0546134,	-0.772824,	2.19928,	-0.132046,	0.00527846,	0.00358018,	-0.00699726,	-0.029188,	-0.00498323,	-0.0114173,	0.999496
1520793344322303287,	-0.85318,	2.2646,	-0.0502948,	2.51847,	-8.88331,	-27.6877,	-0.0273438,	-0.00557118,	0.0185434,	0.999439,	-0.870809,	2.32678,	0.143519,	0,	0,	0,	-0.0564551,	0.699532,	0.710271,	-0.0546134,	-0.772824,	2.19928,	-0.132046,	0,	0,	0,	-0.029188,	-0.00498323,	-0.0114173,	0.999496
1520793344329906751,	-0.85318,	2.2646,	-0.0502948,	2.51847,	-8.88331,	-27.6877,	-0.0273438,	-0.00557118,	0.0185434,	0.999439,	-0.870809,	2.32678,	0.143519,	0,	0,	0,	-0.0564551,	0.699532,	0.710271,	-0.0546134,	-0.772824,	2.19928,	-0.132046,	0,	0,	0,	-0.029188,	-0.00498323,	-0.0114173,	0.999496
1520793344344059353,	-0.85318,	2.2646,	-0.0502948,	1.25923,	-4.44166,	-13.8438,	-0.0273438,	-0.00557118,	0.0185434,	0.999439,	-0.870809,	2.32678,	0.143519,	0,	0,	0,	-0.0564551,	0.699532,	0.710271,	-0.0546134,	-0.772824,	2.19928,	-0.132046,	0,	0,	0,	-0.029188,	-0.00498323,	-0.0114173,	0.999496
1520793344352216429,	-0.851417,	2.26226,	-0.0500512,	2.42403,	-8.06518,	-24.1963,	-0.0249192,	-0.00536348,	0.0192578,	0.99949,	-0.869404,	2.32494,	0.143957,	0.175611,	-0.230455,	0.0547676,	-0.0567428,	0.699238,	0.710474,	-0.0554347,	-0.771927,	2.19832,	-0.132145,	0.11213,	-0.120335,	-0.0124615,	-0.028337,	-0.00562962,	-0.0102915,	0.99953
1520793344366235405,	-0.851423,	2.26226,	-0.0500166,	1.28437,	-4.47675,	-13.8553,	-0.024976,	-0.00537611,	0.0192618,	0.999488,	-0.869404,	2.32494,	0.143957,	0,	0,	0,	-0.0567428,	0.699238,	0.710474,	-0.0554347,	-0.771027,	2.19718,	-0.131741,	0.0642862,	-0.0814368,	0.0288685,	-0.0263433,	-0.00547241,	-0.0102144,	0.999586
1520793344376551096,	-0.851423,	2.26226,	-0.0500166,	1.79812,	-6.26745,	-19.3974,	-0.024976,	-0.00537611,	0.0192618,	0.999488,	-0.869404,	2.32494,	0.143957,	0,	0,	0,	-0.0567428,	0.699238,	0.710474,	-0.0554347,	-0.771027,	2.19718,	-0.131741,	0,	0,	0,	-0.0263433,	-0.00547241,	-0.0102144,	0.999586
1520793344388021276,	-0.851423,	2.26226,	-0.0500166,	1.63466,	-5.69768,	-17.634,	-0.024976,	-0.00537611,	0.0192618,	0.999488,	-0.869404,	2.32494,	0.143957,	0,	0,	0,	-0.0567428,	0.699238,	0.710474,	-0.0554347,	-0.771027,	2.19718,	-0.131741,	0,	0,	0,	-0.0263433,	-0.00547241,	-0.0102144,	0.999586
1520793344398785339,	-0.851423,	2.26226,	-0.0500166,	1.79812,	-6.26745,	-19.3974,	-0.024976,	-0.00537611,	0.0192618,	0.999488,	-0.869404,	2.32494,	0.143957,	0,	0,	0,	-0.0567428,	0.699238,	0.710474,	-0.0554347,	-0.771027,	2.19718,	-0.131741,	0,	0,	0,	-0.0263433,	-0.00547241,	-0.0102144,	0.999586
1520793344409161826,	-0.850449,	2.26072,	-0.0494088,	1.89554,	-6.42172,	-19.3366,	-0.0264978,	-0.00509785,	0.0199367,	0.999437,	-0.868106,	2.32386,	0.144493,	0.129805,	-0.108003,	0.0536118,	-0.0557359,	0.700081,	0.709728,	-0.0553704,	-0.770543,	2.19518,	-0.131411,	0.0484365,	-0.200059,	0.0330276,	-0.0272571,	-0.00522037,	-0.0095576,	0.999569
1520793344419178702,	-0.850449,	2.26072,	-0.0494088,	1.76573,	-6.31371,	-19.3902,	-0.0264978,	-0.00509785,	0.0199367,	0.999437,	-0.868106,	2.32386,	0.144493,	0,	0,	0,	-0.0557359,	0.700081,	0.709728,	-0.0553704,	-0.770451,	2.19526,	-0.131395,	0.00910732,	0.00838779,	0.00163602,	-0.0273802,	-0.00517684,	-0.00955626,	0.999566
1520793344429368502,	-0.850449,	2.26072,	-0.0494088,	1.76573,	-6.31371,	-19.3902,	-0.0264978,	-0.00509785,	0.0199367,	0.999437,	-0.868106,	2.32386,	0.144493,	0,	0,	0,	-0.0557359,	0.700081,	0.709728,	-0.0553704,	-0.770451,	2.19526,	-0.131395,	0,	0,	0,	-0.0273802,	-0.00517684,	-0.00955626,	0.999566
1520793344439918572,	-0.850449,	2.26072,	-0.0494088,	1.76573,	-6.31371,	-19.3902,	-0.0264978,	-0.00509785,	0.0199367,	0.999437,	-0.868106,	2.32386,	0.144493,	0,	0,	0,	-0.0557359,	0.700081,	0.709728,	-0.0553704,	-0.770451,	2.19526,	-0.131395,	0,	0,	0,	-0.0273802,	-0.00517684,	-0.00955626,	0.999566
1520793344450848029,	-0.850449,	2.26072,	-0.0494088,	1.76573,	-6.31371,	-19.3902,	-0.0264978,	-0.00509785,	0.0199367,	0.999437,	-0.868106,	2.32386,	0.144493,	0,	0,	0,	-0.0557359,	0.700081,	0.709728,	-0.0553704,	-0.770451,	2.19526,	-0.131395,	0,	0,	0,	-0.0273802,	-0.00517684,	-0.00955626,	0.999566
1520793344461554252,	-0.849496,	2.2591,	-0.0488438,	1.86103,	-6.47551,	-19.3337,	-0.027433,	-0.00424625,	0.0186768,	0.99944,	-0.866984,	2.32227,	0.14513,	0.112229,	-0.159123,	0.0637064,	-0.0545281,	0.700799,	0.709144,	-0.0549723,	-0.769616,	2.19457,	-0.131008,	0.0835836,	-0.0697082,	0.0386507,	-0.028537,	-0.00448216,	-0.0102798,	0.99953
1520793344472426727,	-0.849496,	2.2591,	-0.0488438,	1.7488,	-6.31638,	-19.3974,	-0.027433,	-0.00424625,	0.0186768,	0.99944,	-0.866984,	2.32227,	0.14513,	0,	0,	0,	-0.0545281,	0.700799,	0.709144,	-0.0549723,	-0.769616,	2.19457,	-0.131008,	0,	0,	0,	-0.028537,	-0.00448216,	-0.0102798,	0.99953
1520793344482451749,	-0.849496,	2.2591,	-0.0488438,	1.7488,	-6.31638,	-19.3974,	-0.027433,	-0.00424625,	0.0186768,	0.99944,	-0.866984,	2.32227,	0.14513,	0,	0,	0,	-0.0545281,	0.700799,	0.709144,	-0.0549723,	-0.769616,	2.19457,	-0.131008,	0,	0,	0,	-0.028537,	-0.00448216,	-0.0102798,	0.99953
1520793344494127718,	-0.849496,	2.2591,	-0.0488438,	1.58982,	-5.74217,	-17.634,	-0.027433,	-0.00424625,	0.0186768,	0.99944,	-0.866984,	2.32227,	0.14513,	0,	0,	0,	-0.0545281,	0.700799,	0.709144,	-0.0549723,	-0.769616,	2.19457,	-0.131008,	0,	0,	0,	-0.028537,	-0.00448216,	-0.0102798,	0.99953
1520793344503013970,	-0.848617,	2.25715,	-0.0480155,	2.29581,	-8.13968,	-24.1432,	-0.0286535,	-0.0042932,	0.017292,	0.999431,	-0.866123,	2.32059,	0.145453,	0.107585,	-0.209002,	0.0403884,	-0.0544175,	0.700689,	0.709279,	-0.0547386,	-0.768334,	2.19198,	-0.130151,	0.160228,	-0.323018,	0.107101,	-0.0300933,	-0.00384473,	-0.0121897,	0.999465
1520793344513899750,	-0.848618,	2.25715,	-0.047979,	1.75049,	-6.34435,	-19.3432,	-0.0286541,	-0.00431373,	0.0172938,	0.99943,	-0.866123,	2.32059,	0.145453,	0,	0,	0,	-0.0544175,	0.700689,	0.709279,	-0.0547386,	-0.768387,	2.19199,	-0.129884,	-0.00536167,	0.00123331,	0.0267366,	-0.0298937,	-0.0041394,	-0.0121494,	0.999471
1520793344524938448,	-0.848618,	2.25715,	-0.047979,	1.59136,	-5.76759,	-17.5848,	-0.0286541,	-0.00431373,	0.0172938,	0.99943,	-0.866123,	2.32059,	0.145453,	0,	0,	0,	-0.0544175,	0.700689,	0.709279,	-0.0547386,	-0.768387,	2.19199,	-0.129884,	0,	0,	0,	-0.0298937,	-0.0041394,	-0.0121494,	0.999471
