time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352344377022013,	-0.735293,	2.50867,	-0.419621,	-0.00162083,	-0.000137886,	0.000901981,	0.0197839,	0.0128999,	-0.0191506,	0.999538,	-0.830878,	2.61899,	-0.128708,	-0.00164429,	-0.000424633,	0.000944683,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344423389215,	-0.735804,	2.50944,	-0.418999,	-0.0111101,	0.0168956,	0.0135179,	0.0190491,	0.0122463,	-0.0185169,	0.999572,	-0.831306,	2.61964,	-0.128078,	-0.00929466,	0.0141666,	0.013705,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344469338705,	-0.736351,	2.51015,	-0.418743,	-0.0121584,	0.0156602,	0.0056959,	0.0172241,	0.0107492,	-0.0166647,	0.999655,	-0.832156,	2.62024,	-0.127585,	-0.0188848,	0.0133213,	0.0109426,	-0.0982184,	0.664783,	0.733644,	-0.100912
1520352344515462928,	-0.736825,	2.51056,	-0.417916,	-0.010307,	0.00901659,	0.0179707,	0.0197628,	0.011145,	-0.0177704,	0.999585,	-0.832888,	2.62107,	-0.127297,	-0.0159305,	0.0180632,	0.00626574,	-0.0985353,	0.665133,	0.733337,	-0.100529
1520352344563426937,	-0.737157,	2.51103,	-0.417572,	-0.00705029,	0.0100244,	0.00731891,	0.0191056,	0.0107891,	-0.0170167,	0.999614,	-0.834058,	2.6221,	-0.126747,	-0.0248895,	0.0218789,	0.0117131,	-0.099074,	0.665764,	0.732745,	-0.100132
1520352344609967228,	-0.737505,	2.51157,	-0.416798,	-0.00757971,	0.0116286,	0.0168291,	0.0185826,	0.00998853,	-0.0174032,	0.999626,	-0.834058,	2.6221,	-0.126747,	0,	0,	0,	-0.099074,	0.665764,	0.732745,	-0.100132
1520352344655664466,	-0.73789,	2.51091,	-0.41616,	-0.00854044,	-0.0147155,	0.0141897,	0.0104241,	0.0117464,	-0.015976,	0.999749,	-0.834263,	2.62159,	-0.12276,	-0.0045432,	-0.011491,	0.0885839,	-0.0981602,	0.671648,	0.727348,	-0.101085
1520352344707305368,	-0.738471,	2.51062,	-0.415683,	-0.0114073,	-0.00566319,	0.00933915,	0.0187291,	0.00880678,	-0.0173828,	0.999635,	-0.834582,	2.62007,	-0.124961,	-0.00625977,	-0.0297926,	-0.0431569,	-0.0971266,	0.675609,	0.723751,	-0.101502
1520352344753525489,	-0.739026,	2.51176,	-0.415726,	-0.0120568,	0.0248428,	-0.000924661,	0.0180661,	0.008402,	-0.0176748,	0.999645,	-0.834589,	2.61851,	-0.128671,	-0.000164149,	-0.0338781,	-0.0806468,	-0.0961028,	0.678556,	0.721188,	-0.101059
1520352344806002685,	-0.739731,	2.51175,	-0.416455,	-0.0135636,	-0.0001419,	-0.0140291,	0.0163832,	0.00929595,	-0.0204621,	0.999613,	-0.83515,	2.61921,	-0.129495,	-0.0107848,	0.0134186,	-0.015847,	-0.0966877,	0.677497,	0.7222,	-0.100383
1520352344856273455,	-0.740182,	2.51179,	-0.416211,	-0.0090209,	0.000702868,	0.00488649,	0.0179498,	0.00728044,	-0.0189458,	0.999633,	-0.835496,	2.61955,	-0.129943,	-0.00692502,	0.00685867,	-0.00895051,	-0.0967625,	0.674769,	0.724796,	-0.0999764
1520352344913530828,	-0.740766,	2.51157,	-0.416814,	-0.0102333,	-0.0037565,	-0.0105751,	0.0182947,	0.00732235,	-0.0209071,	0.999587,	-0.835701,	2.62019,	-0.128677,	-0.00359661,	0.0112684,	0.0221963,	-0.0974864,	0.670306,	0.728588,	-0.101713
1520352344959884047,	-0.741035,	2.51209,	-0.415825,	-0.0058653,	0.0112185,	0.0215033,	0.0196906,	0.010088,	-0.0188586,	0.999577,	-0.835701,	2.62019,	-0.128677,	0,	0,	0,	-0.0974864,	0.670306,	0.728588,	-0.101713
1520352345010631767,	-0.741456,	2.5125,	-0.416996,	-0.00840769,	0.0082934,	-0.023434,	0.0174453,	0.0104231,	-0.0166943,	0.999654,	-0.835296,	2.62081,	-0.128333,	0.00811765,	0.0124323,	0.00688858,	-0.0965114,	0.668697,	0.73009,	-0.102466
1520352345054750820,	-0.741522,	2.51314,	-0.416723,	-0.00151679,	0.0144341,	0.00621896,	0.0245995,	0.0112304,	-0.0171054,	0.999488,	-0.835238,	2.62163,	-0.128556,	0.00131892,	0.0184651,	-0.00507309,	-0.0952923,	0.667665,	0.731115,	-0.103022
1520352345117943251,	-0.741665,	2.5124,	-0.41824,	-0.00226519,	-0.0117097,	-0.0240896,	0.0292812,	0.0140313,	-0.021244,	0.999247,	-0.83457,	2.62307,	-0.128879,	0.0105886,	0.0228879,	-0.00512828,	-0.0935875,	0.664553,	0.733863,	-0.105149
1520352345182274077,	-0.741851,	2.51461,	-0.417236,	-0.00290565,	0.0345331,	0.0156912,	0.0223819,	0.0142811,	-0.0184486,	0.999477,	-0.83406,	2.62263,	-0.128669,	0.00797494,	-0.00685937,	0.00329252,	-0.0932503,	0.661615,	0.736404,	-0.106198
1520352345249194266,	-0.742733,	2.51438,	-0.415416,	-0.0133583,	-0.00352103,	0.0275738,	0.0136312,	0.0235415,	-0.0132285,	0.999542,	-0.834451,	2.62278,	-0.128682,	-0.00592436,	0.0023219,	-0.000209744,	-0.0933862,	0.658864,	0.738772,	-0.106736
1520352345299733266,	-0.742286,	2.51624,	-0.418804,	0.00894001,	0.0372725,	-0.0677564,	0.0188281,	0.0192536,	-0.0235227,	0.999361,	-0.835169,	2.62312,	-0.12869,	-0.0143568,	0.00684571,	-0.000155016,	-0.0940378,	0.656419,	0.740789,	-0.107251
1520352345346093870,	-0.742509,	2.51848,	-0.417388,	-0.00484862,	0.0486533,	0.0307847,	0.0274728,	0.0182315,	-0.00818198,	0.999423,	-0.835715,	2.62254,	-0.128617,	-0.0118738,	-0.0127143,	0.00158995,	-0.0946333,	0.652436,	0.74415,	-0.107762
1520352345394012578,	-0.743736,	2.51846,	-0.417976,	-0.0261192,	-0.000402593,	-0.0125028,	0.0327487,	0.0184764,	-0.0139555,	0.999195,	-0.837141,	2.62087,	-0.128685,	-0.0303307,	-0.0355699,	-0.00144398,	-0.095855,	0.648008,	0.747929,	-0.107236
1520352345447504623,	-0.744506,	2.52014,	-0.419825,	-0.0145109,	0.0316555,	-0.0348895,	0.0322931,	0.0181625,	-0.0115701,	0.999246,	-0.83845,	2.61901,	-0.128944,	-0.0247087,	-0.0350559,	-0.00488682,	-0.0975629,	0.643676,	0.751543,	-0.106516
1520352345503794279,	-0.745172,	2.52027,	-0.41877,	-0.0118996,	0.00232728,	0.0188426,	0.0424479,	0.0181255,	-0.0106443,	0.998878,	-0.839911,	2.61677,	-0.128704,	-0.0260921,	-0.0400214,	0.00427839,	-0.0992508,	0.639107,	0.75533,	-0.105682
