time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352367595724400,	-0.752809,	2.54216,	-0.445745,	-0.00479452,	0.00191942,	0.00220484,	0.0118767,	0.0124401,	0.0136855,	0.999758,	-0.858946,	2.67871,	-0.156993,	-0.00387894,	0.00101321,	0.00162846,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367640539960,	-0.75378,	2.54217,	-0.445933,	-0.0220651,	0.000339115,	-0.00426027,	0.0159801,	0.0128568,	0.0118458,	0.999719,	-0.859696,	2.67843,	-0.156269,	-0.0170497,	-0.00628468,	0.0164555,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367686096523,	-0.754156,	2.54214,	-0.445432,	-0.00835013,	-0.000777881,	0.0111297,	0.0162446,	0.0120396,	0.0105037,	0.99974,	-0.860313,	2.67865,	-0.155914,	-0.0137099,	0.00472097,	0.00788294,	-0.112225,	0.663336,	0.730521,	-0.117175
1520352367734016633,	-0.754481,	2.54232,	-0.445099,	-0.00692884,	0.00380878,	0.00707143,	0.0159718,	0.0116689,	0.00969706,	0.999757,	-0.860546,	2.67879,	-0.155681,	-0.00494644,	0.00312542,	0.00496003,	-0.111995,	0.663391,	0.730537,	-0.116985
1520352367780338347,	-0.755007,	2.5416,	-0.444316,	-0.0114224,	-0.0154959,	0.0170199,	0.016106,	0.0116752,	0.0107577,	0.999744,	-0.860556,	2.67902,	-0.155701,	-0.000222405,	0.00487675,	-0.000435022,	-0.111775,	0.663252,	0.730616,	-0.117488
1520352367827424846,	-0.755287,	2.54261,	-0.444038,	-0.00595356,	0.0213356,	0.00591418,	0.0127878,	0.0111135,	0.0114012,	0.999791,	-0.860523,	2.67924,	-0.155708,	0.000697608,	0.00478532,	-0.000150633,	-0.111741,	0.663277,	0.730488,	-0.118173
1520352367872720148,	-0.755342,	2.54275,	-0.444364,	-0.00123473,	0.00317443,	-0.00724252,	0.0166059,	0.0123428,	0.0113681,	0.999721,	-0.86034,	2.67937,	-0.156061,	0.00407647,	0.00282965,	-0.00783778,	-0.111919,	0.663413,	0.730302,	-0.118394
1520352367926290193,	-0.755615,	2.54194,	-0.443566,	-0.0051566,	-0.0152813,	0.0150722,	0.00907023,	0.0136261,	0.0106214,	0.99981,	-0.860005,	2.67927,	-0.156332,	0.00631755,	-0.00181529,	-0.00510685,	-0.11178,	0.662675,	0.730962,	-0.118585
1520352367987764213,	-0.755376,	2.5421,	-0.444872,	0.00392912,	0.00263801,	-0.0214121,	0.000312794,	0.0144342,	0.00219823,	0.999893,	-0.859808,	2.67894,	-0.156635,	0.00322372,	-0.00540216,	-0.00496703,	-0.111524,	0.662118,	0.731478,	-0.11875
1520352368037961670,	-0.755541,	2.54276,	-0.445,	-0.00330067,	0.0131788,	-0.00255758,	0.0165744,	0.0128023,	0.0113772,	0.999716,	-0.860047,	2.67874,	-0.15735,	-0.00477705,	-0.00406426,	-0.0142951,	-0.112341,	0.662026,	0.731301,	-0.119583
1520352368084516041,	-0.755391,	2.54299,	-0.445627,	0.00326351,	0.00508027,	-0.0136493,	0.0144317,	0.0132768,	0.0116785,	0.999739,	-0.859259,	2.6776,	-0.158206,	0.0171293,	-0.024722,	-0.0186169,	-0.111126,	0.660738,	0.732724,	-0.119134
1520352368130253471,	-0.755149,	2.54319,	-0.446289,	0.00536465,	0.00442331,	-0.0147059,	0.014563,	0.0134238,	0.0118947,	0.999733,	-0.858821,	2.67764,	-0.158619,	0.00974452,	0.000824095,	-0.00917015,	-0.110342,	0.660568,	0.732976,	-0.119246
1520352368177461997,	-0.755356,	2.54277,	-0.446853,	-0.00439552,	-0.00910003,	-0.0119972,	0.0194829,	0.0140017,	0.0112489,	0.999649,	-0.858524,	2.67823,	-0.159327,	0.00631533,	0.0125824,	-0.0150749,	-0.108953,	0.660995,	0.732826,	-0.119084
1520352368230252839,	-0.755137,	2.54268,	-0.447106,	0.00420419,	-0.00167736,	-0.00486079,	0.0191788,	0.0149487,	0.00934364,	0.999661,	-0.858499,	2.67877,	-0.159496,	0.00048111,	0.0103774,	-0.00325337,	-0.108159,	0.661585,	0.732347,	-0.119478
1520352368279372934,	-0.755226,	2.54277,	-0.447859,	-0.00181938,	0.00177528,	-0.0153768,	0.019413,	0.0155473,	0.00946501,	0.999646,	-0.85839,	2.67923,	-0.15921,	0.00222461,	0.00926806,	0.00585023,	-0.107306,	0.662072,	0.732048,	-0.119381
1520352368341254483,	-0.755406,	2.54308,	-0.447953,	-0.00294812,	0.00514974,	-0.00153273,	0.0192243,	0.0162405,	0.00819413,	0.99965,	-0.858532,	2.67968,	-0.158802,	-0.0023357,	0.00738191,	0.00668258,	-0.107676,	0.662312,	0.731664,	-0.120069
1520352368395887548,	-0.755622,	2.54337,	-0.447661,	-0.00400469,	0.00534157,	0.00540301,	0.0179863,	0.0168593,	0.00941025,	0.999652,	-0.858626,	2.67971,	-0.158521,	-0.00173964,	0.000631395,	0.00520035,	-0.107688,	0.661656,	0.732263,	-0.120024
1520352368447574662,	-0.755453,	2.54384,	-0.447083,	0.00331914,	0.00928321,	0.0113346,	0.0178452,	0.0168199,	0.00801518,	0.999667,	-0.858751,	2.67979,	-0.158134,	-0.00243927,	0.0016198,	0.00758187,	-0.108564,	0.661342,	0.732372,	-0.120301
1520352368495100188,	-0.755113,	2.54428,	-0.446046,	0.00723007,	0.00927933,	0.0220575,	0.0254366,	0.0138998,	0.0150846,	0.999466,	-0.858385,	2.67962,	-0.158095,	0.00779094,	-0.00360595,	0.000838615,	-0.108275,	0.660379,	0.733203,	-0.120787
1520352368543835828,	-0.755981,	2.54489,	-0.446916,	-0.01807,	0.0127869,	-0.018109,	0.0196423,	0.0168746,	0.0106427,	0.999608,	-0.858166,	2.6795,	-0.158476,	0.0045485,	-0.00255693,	-0.00793558,	-0.107892,	0.659876,	0.733582,	-0.121575
1520352368599595541,	-0.755933,	2.54473,	-0.446712,	0.000864014,	-0.00290125,	0.0036945,	0.022923,	0.018718,	0.00963863,	0.999516,	-0.857527,	2.67975,	-0.158579,	0.0116302,	0.00457446,	-0.00187839,	-0.10656,	0.659842,	0.73368,	-0.12234
1520352368653865668,	-0.756083,	2.54487,	-0.44839,	-0.00276495,	0.00256016,	-0.0310629,	0.0213831,	0.0168087,	0.00644562,	0.999609,	-0.857087,	2.68058,	-0.158875,	0.00813187,	0.0152796,	-0.00548206,	-0.105459,	0.660131,	0.733389,	-0.123475
1520352368705892798,	-0.756077,	2.54468,	-0.44742,	0.000114068,	-0.00357283,	0.0186433,	0.0135004,	0.0185314,	0.0121133,	0.999664,	-0.856356,	2.68057,	-0.159165,	0.0140715,	-0.000164275,	-0.00557361,	-0.104587,	0.659834,	0.733434,	-0.125517
1520352368749650639,	-0.755968,	2.54525,	-0.447895,	0.00253306,	0.0130604,	-0.0110414,	0.0210492,	0.0228277,	0.0088985,	0.999478,	-0.855146,	2.68054,	-0.159235,	0.0281257,	-0.000584498,	-0.00162556,	-0.103244,	0.658536,	0.734417,	-0.127682
1520352368801203498,	-0.756068,	2.54512,	-0.448387,	-0.00196329,	-0.00239624,	-0.00965519,	0.0195515,	0.0238773,	0.0119088,	0.999453,	-0.854138,	2.68041,	-0.15949,	0.0197758,	-0.00264801,	-0.00500399,	-0.10226,	0.658105,	0.734516,	-0.130105
1520352368858722877,	-0.755809,	2.54567,	-0.447954,	0.00453511,	0.00954421,	0.00760707,	0.0224763,	0.0270718,	0.0130402,	0.999296,	-0.852921,	2.68065,	-0.159582,	0.0213411,	0.00414751,	-0.00160706,	-0.100048,	0.657854,	0.734637,	-0.132386
1520352368920053209,	-0.75588,	2.54611,	-0.447635,	-0.00116623,	0.00728535,	0.00522693,	0.0304039,	0.0292532,	0.012426,	0.999032,	-0.851893,	2.6805,	-0.159658,	0.0168657,	-0.00239641,	-0.00124381,	-0.0941938,	0.659895,	0.733015,	-0.135482
1520352368964820916,	-0.756541,	2.545,	-0.448015,	-0.0150196,	-0.0252218,	-0.00863745,	0.021071,	0.0332901,	0.0117013,	0.999155,	-0.850656,	2.6795,	-0.15986,	0.0281104,	-0.0226063,	-0.0045905,	-0.0921202,	0.658419,	0.733922,	-0.139128
1520352369027341171,	-0.757632,	2.54401,	-0.447167,	-0.0175884,	-0.016061,	0.0136764,	0.017004,	0.0382853,	0.0124958,	0.999044,	-0.848866,	2.6786,	-0.160252,	0.0288681,	-0.0146281,	-0.00633108,	-0.0901049,	0.656726,	0.734848,	-0.143497
1520352369073753078,	-0.758256,	2.54433,	-0.448302,	-0.0135756,	0.00702906,	-0.0246624,	0.0244307,	0.0404107,	0.0130618,	0.998799,	-0.846874,	2.67824,	-0.160449,	0.0433003,	-0.00777092,	-0.00428364,	-0.0870647,	0.655837,	0.735332,	-0.146916
1520352369120149678,	-0.758483,	2.54392,	-0.448318,	-0.0049313,	-0.0088839,	-0.000350304,	0.0228752,	0.04651,	0.0154049,	0.998537,	-0.84456,	2.67778,	-0.160107,	0.0503054,	-0.010089,	0.00744296,	-0.0834387,	0.655324,	0.735578,	-0.150046
1520352369184402872,	-0.75857,	2.54347,	-0.448464,	-0.00135113,	-0.00698994,	-0.0022811,	0.0197363,	0.0501083,	0.0154747,	0.998429,	-0.841449,	2.677,	-0.159985,	0.0486119,	-0.0121535,	0.00190576,	-0.0781008,	0.654976,	0.735558,	-0.154468
1520352369240081828,	-0.758682,	2.54223,	-0.447873,	-0.00205192,	-0.022598,	0.0107472,	0.0239096,	0.0549413,	0.0161767,	0.998072,	-0.837878,	2.67729,	-0.160333,	0.0649149,	0.00536121,	-0.00632132,	-0.0732097,	0.655232,	0.73442,	-0.161052
1520352369293811710,	-0.758508,	2.54076,	-0.447271,	0.00330091,	-0.0278294,	0.0113448,	0.0233662,	0.0638524,	0.0170573,	0.99754,	-0.834561,	2.67789,	-0.160176,	0.0625943,	0.011198,	0.00295517,	-0.0680658,	0.654716,	0.733975,	-0.167317
1520352369344479147,	-0.758241,	2.5411,	-0.446851,	0.00534016,	0.00692999,	0.00840184,	0.0154817,	0.0726272,	0.0183638,	0.99707,	-0.831228,	2.6792,	-0.159496,	0.0666574,	0.0263121,	0.0135928,	-0.0636722,	0.65522,	0.732523,	-0.173329
1520352369393049104,	-0.757839,	2.54057,	-0.446241,	0.00835735,	-0.0110452,	0.0127109,	0.020269,	0.0814154,	0.0197302,	0.996279,	-0.828277,	2.68057,	-0.15874,	0.0614823,	0.0284161,	0.0157519,	-0.058595,	0.656464,	0.730599,	-0.178457
1520352369438412735,	-0.757701,	2.54051,	-0.444341,	0.00307994,	-0.00136442,	0.0422186,	0.0134661,	0.0885982,	0.0200813,	0.995774,	-0.826121,	2.68175,	-0.157451,	0.0478995,	0.0263866,	0.0286452,	-0.0546857,	0.657753,	0.728549,	-0.183268
1520352369482360444,	-0.75771,	2.54013,	-0.442962,	-0.000207542,	-0.00894608,	0.0320705,	0.0142103,	0.0948523,	0.0213692,	0.995161,	-0.823644,	2.68215,	-0.156651,	0.0576206,	0.00930375,	0.0186026,	-0.0504623,	0.657548,	0.727893,	-0.187763
1520352369530166578,	-0.757781,	2.54025,	-0.44239,	-0.00151537,	0.00273906,	0.0121821,	0.0160556,	0.10115,	0.0191063,	0.994558,	-0.821124,	2.68179,	-0.154957,	0.0536232,	-0.00780454,	0.0360485,	-0.045838,	0.654374,	0.729459,	-0.193862
1520352369576814002,	-0.757915,	2.54011,	-0.441007,	-0.00290718,	-0.00315148,	0.0300552,	0.00757817,	0.106148,	0.0236162,	0.994041,	-0.818206,	2.6812,	-0.154848,	0.0634308,	-0.0127801,	0.00236578,	-0.0403609,	0.652116,	0.730614,	-0.19829
1520352369621182466,	-0.758119,	2.54046,	-0.439571,	-0.00464138,	0.0079619,	0.0326456,	0.0121913,	0.111341,	0.0252051,	0.993388,	-0.815424,	2.68101,	-0.154303,	0.0632124,	-0.00420126,	0.012392,	-0.0346555,	0.650233,	0.730648,	-0.205302
1520352369666144547,	-0.75838,	2.53993,	-0.438461,	-0.00593482,	-0.0120939,	0.0252329,	0.0079153,	0.117956,	0.0248173,	0.992677,	-0.811668,	2.68102,	-0.154935,	0.0853804,	0.000177942,	-0.0143744,	-0.0274367,	0.649155,	0.729988,	-0.212045
1520352369713714533,	-0.758755,	2.53927,	-0.4376,	-0.00798686,	-0.0140552,	0.0183135,	0.00953967,	0.125914,	0.0272571,	0.991621,	-0.807099,	2.68141,	-0.154857,	0.0971958,	0.00828469,	0.00167289,	-0.0185234,	0.647329,	0.729782,	-0.219183
