time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352399459420386,	-0.785068,	2.59693,	-0.414299,	-0.00432407,	0.00433979,	0.00389261,	-0.0139081,	-0.0108043,	-0.00817297,	0.999811,	-0.898611,	2.73623,	-0.124201,	-0.00647495,	0.00274417,	0.00401086,	-0.122014,	0.679581,	0.715604,	-0.105793
1520352399506988470,	-0.785177,	2.59714,	-0.414619,	-0.00230571,	0.00450025,	-0.00681657,	-0.0121629,	-0.010755,	-0.00806053,	0.999836,	-0.898859,	2.73652,	-0.124581,	-0.00526445,	0.00610973,	-0.00808273,	-0.12207,	0.679926,	0.715207,	-0.106199
1520352399564413570,	-0.785284,	2.59678,	-0.414608,	-0.00188941,	-0.00627985,	0.000198932,	-0.0116322,	-0.0107482,	-0.00816877,	0.999841,	-0.898353,	2.73745,	-0.125783,	0.00887358,	0.0163069,	-0.0211016,	-0.121104,	0.679287,	0.715949,	-0.106394
1520352399616287280,	-0.785352,	2.5974,	-0.41495,	-0.00132857,	0.012056,	-0.00671029,	-0.0114848,	-0.0104475,	-0.00790585,	0.999848,	-0.897547,	2.73732,	-0.126787,	0.0157932,	-0.00253987,	-0.0196753,	-0.121183,	0.678044,	0.716871,	-0.108013
1520352399658474685,	-0.785101,	2.59773,	-0.415563,	0.00596895,	0.00792464,	-0.0145985,	-0.0117423,	-0.0098018,	-0.00856392,	0.999846,	-0.897547,	2.73732,	-0.126787,	0,	0,	0,	-0.121183,	0.678044,	0.716871,	-0.108013
1520352399711545700,	-0.784617,	2.59754,	-0.416481,	0.00914315,	-0.00362289,	-0.0173068,	0.00329666,	-0.00807928,	-0.00968732,	0.999915,	-0.896088,	2.73877,	-0.128604,	0.0275457,	0.0274032,	-0.0342807,	-0.121776,	0.67703,	0.717092,	-0.112163
1520352399769791530,	-0.784746,	2.59855,	-0.417498,	-0.00222621,	0.0173532,	-0.017544,	-0.0101685,	-0.00777739,	-0.00582021,	0.999901,	-0.895337,	2.73999,	-0.129119,	0.0129388,	0.0211416,	-0.00888715,	-0.122255,	0.677168,	0.716453,	-0.114857
1520352399828358566,	-0.784366,	2.59861,	-0.419043,	0.00655396,	0.00117621,	-0.0266383,	-0.014431,	-0.006095,	-0.00455473,	0.999867,	-0.894554,	2.74088,	-0.1295,	0.0134986,	0.015338,	-0.00656954,	-0.123035,	0.677121,	0.716071,	-0.116674
1520352399879791736,	-0.783797,	2.59988,	-0.419948,	0.0111512,	0.0248835,	-0.0177476,	-0.0143031,	-0.00607442,	0.000791925,	0.999879,	-0.89426,	2.74091,	-0.129188,	0.00576561,	0.000465291,	0.00612089,	-0.123445,	0.676091,	0.716808,	-0.117681
1520352399931543209,	-0.782797,	2.6009,	-0.419086,	0.0196035,	0.019902,	0.0169034,	-0.000853987,	-0.00517222,	0.00486507,	0.999974,	-0.894221,	2.7401,	-0.128685,	0.000758899,	-0.0158561,	0.00987216,	-0.125112,	0.674598,	0.717636,	-0.11943
1520352399986584240,	-0.782861,	2.60125,	-0.421054,	-0.00115816,	0.00632183,	-0.0357709,	-0.0109269,	-0.00594929,	0.000748796,	0.999922,	-0.89426,	2.73944,	-0.128472,	-0.000702334,	-0.0118959,	0.00385695,	-0.127548,	0.673113,	0.71806,	-0.12264
1520352400036495916,	-0.782192,	2.60053,	-0.419235,	0.0136573,	-0.0146483,	0.0371133,	-0.00735941,	-0.00321902,	0.00745643,	0.99994,	-0.894843,	2.73883,	-0.128123,	-0.0118994,	-0.012519,	0.00712932,	-0.13132,	0.671485,	0.718045,	-0.12757
1520352400091512943,	-0.78263,	2.60133,	-0.419148,	-0.00797518,	0.0145928,	0.00159327,	-0.00349825,	-0.00187954,	0.0150115,	0.999879,	-0.895153,	2.73835,	-0.127406,	-0.00563937,	-0.00882029,	0.0130358,	-0.135311,	0.669731,	0.718144,	-0.131982
1520352400146349672,	-0.782846,	2.59991,	-0.418665,	-0.0039933,	-0.0263641,	0.00893032,	-0.00470799,	-0.00196292,	0.0207382,	0.999772,	-0.895381,	2.73712,	-0.127031,	-0.00421725,	-0.0227392,	0.00694731,	-0.13934,	0.668061,	0.718337,	-0.135172
1520352400195793864,	-0.782408,	2.60023,	-0.418952,	0.00894475,	0.00661445,	-0.00584909,	0.00965829,	-0.00218776,	0.0243997,	0.999653,	-0.895885,	2.73671,	-0.126317,	-0.0102815,	-0.0084006,	0.0145637,	-0.144379,	0.667371,	0.717387,	-0.138297
1520352400261153301,	-0.782606,	2.60031,	-0.418522,	-0.00305098,	0.00114741,	0.00661746,	0.0126393,	-0.00390614,	0.0291733,	0.999487,	-0.896642,	2.73577,	-0.125873,	-0.0116549,	-0.01436,	0.00683085,	-0.14926,	0.66559,	0.717391,	-0.141643
1520352400333617164,	-0.782056,	2.59998,	-0.417447,	0.00764365,	-0.00454625,	0.014922,	0.00613388,	-0.00185729,	0.037661,	0.99927,	-0.897381,	2.73361,	-0.125886,	-0.0102612,	-0.0300132,	-0.000177445,	-0.158935,	0.661429,	0.717001,	-0.152189
1520352400383565878,	-0.781986,	2.59882,	-0.417055,	0.00142179,	-0.0235852,	0.00800721,	0.00764271,	-0.00213352,	0.0486656,	0.998784,	-0.897287,	2.73335,	-0.126262,	0.00192865,	-0.00525968,	-0.00767458,	-0.163141,	0.660449,	0.715562,	-0.158626
1520352400430287261,	-0.782195,	2.59769,	-0.417553,	-0.00453404,	-0.024689,	-0.0108351,	0.0146528,	-0.00215172,	0.0606796,	0.998047,	-0.897642,	2.73305,	-0.126418,	-0.00773533,	-0.00657338,	-0.00339543,	-0.166512,	0.659862,	0.714031,	-0.164366
1520352400477799001,	-0.782212,	2.59733,	-0.416876,	-0.000367538,	-0.00760956,	0.0144147,	0.00473732,	0.00185299,	0.0733668,	0.997292,	-0.897872,	2.73306,	-0.126475,	-0.0048921,	0.000190234,	-0.00120257,	-0.170485,	0.659676,	0.711979,	-0.169849
1520352400525624821,	-0.782125,	2.59897,	-0.417392,	0.00183785,	0.0348339,	-0.0109851,	0.0045249,	0.00145867,	0.078006,	0.996942,	-0.898657,	2.73273,	-0.125452,	-0.0166978,	-0.00700867,	0.0217618,	-0.174389,	0.658047,	0.711573,	-0.173855
1520352400572450963,	-0.782491,	2.59745,	-0.418304,	-0.00795548,	-0.0329381,	-0.0198237,	0.0111557,	0.00131948,	0.0823666,	0.996539,	-0.899094,	2.73168,	-0.124759,	-0.00950297,	-0.0227575,	0.0150655,	-0.17953,	0.655002,	0.711966,	-0.178453
1520352400618228664,	-0.782385,	2.59828,	-0.416761,	0.00236279,	0.0183317,	0.0343014,	0.00404882,	0.00268782,	0.0930182,	0.995653,	-0.899271,	2.72976,	-0.121319,	-0.00392985,	-0.042877,	0.0764464,	-0.184544,	0.657028,	0.706999,	-0.185501
1520352400664542508,	-0.782814,	2.59845,	-0.416494,	-0.00933503,	0.00370702,	0.00578487,	0.00559248,	0.0023809,	0.0983536,	0.995133,	-0.899554,	2.72803,	-0.124215,	-0.0061453,	-0.037443,	-0.0629594,	-0.189853,	0.654545,	0.706517,	-0.190681
1520352400728643434,	-0.782353,	2.59802,	-0.415376,	0.00721166,	-0.00671668,	0.0174827,	0.000545072,	0.00168633,	0.113969,	0.993483,	-0.900475,	2.72671,	-0.124814,	-0.0143986,	-0.0206095,	-0.00936099,	-0.196459,	0.651338,	0.705901,	-0.197147
1520352400787427725,	-0.782648,	2.59818,	-0.415426,	-0.00508967,	0.00273322,	-0.000869739,	0.00948754,	0.00342474,	0.116597,	0.993128,	-0.901341,	2.72382,	-0.123266,	-0.0149222,	-0.049894,	0.0266981,	-0.202748,	0.645921,	0.707786,	-0.201785
1520352400838777460,	-0.782814,	2.59723,	-0.414818,	-0.00324588,	-0.0185159,	0.0119286,	0.00468628,	0.00283216,	0.131215,	0.991339,	-0.902901,	2.72246,	-0.121505,	-0.030598,	-0.0266198,	0.0345263,	-0.210042,	0.641941,	0.70742,	-0.208209
1520352400890069091,	-0.783382,	2.59745,	-0.413946,	-0.0111374,	0.00433406,	0.0170819,	0.00727326,	0.0021693,	0.144373,	0.989494,	-0.903509,	2.72122,	-0.12112,	-0.0119111,	-0.0243026,	0.00754479,	-0.215702,	0.637954,	0.707955,	-0.21281
1520352400938250350,	-0.783857,	2.59521,	-0.413582,	-0.00990985,	-0.046642,	0.00759858,	0.0162375,	0.000950704,	0.150335,	0.988501,	-0.903646,	2.71891,	-0.119734,	-0.00284925,	-0.0482492,	0.0288713,	-0.221169,	0.633492,	0.708818,	-0.217598
1520352400993504858,	-0.783943,	2.59595,	-0.412045,	-0.00155719,	0.0133605,	0.0279333,	0.0098181,	-0.00108416,	0.163572,	0.986482,	-0.903729,	2.7166,	-0.119108,	-0.00150909,	-0.0419284,	0.0113921,	-0.22621,	0.629949,	0.70912,	-0.221678
1520352401050361095,	-0.784411,	2.59453,	-0.411176,	-0.00835286,	-0.02527,	0.0155197,	0.00456649,	0.00243203,	0.169875,	0.985452,	-0.903576,	2.71452,	-0.11812,	0.00271755,	-0.0370862,	0.0176399,	-0.23169,	0.625362,	0.710036,	-0.226031
1520352401098259900,	-0.784133,	2.59448,	-0.410813,	0.00590215,	-0.00121143,	0.00773384,	0.00908238,	0.00130656,	0.179017,	0.983803,	-0.904103,	2.7131,	-0.117933,	-0.0112128,	-0.0302495,	0.00397955,	-0.236533,	0.622123,	0.709968,	-0.230132
1520352401155700201,	-0.783869,	2.59247,	-0.411791,	0.0046414,	-0.0352112,	-0.0171551,	0.0303002,	0.00314714,	0.184596,	0.982342,	-0.904073,	2.71061,	-0.11589,	0.00052813,	-0.0437355,	0.0358308,	-0.242691,	0.61532,	0.712339,	-0.234638
1520352401200471278,	-0.784601,	2.59339,	-0.410333,	-0.0166325,	0.0209049,	0.0331184,	0.00900986,	0.00309647,	0.192749,	0.981202,	-0.904057,	2.70774,	-0.115797,	0.000377069,	-0.0652002,	0.00212947,	-0.247683,	0.609105,	0.714363,	-0.239437
1520352401247332591,	-0.784433,	2.59195,	-0.411516,	0.00364741,	-0.031379,	-0.025697,	0.0170671,	0.00413227,	0.200848,	0.979465,	-0.903589,	2.70311,	-0.111046,	0.0101653,	-0.100674,	0.103288,	-0.25269,	0.596091,	0.722026,	-0.243929
1520352401294139287,	-0.784844,	2.59137,	-0.410862,	-0.00894842,	-0.0124783,	0.0142017,	0.0128206,	0.0023959,	0.208283,	0.977982,	-0.903949,	2.70087,	-0.112852,	-0.00781495,	-0.0487874,	-0.0392799,	-0.255897,	0.590079,	0.723835,	-0.249774
1520352401337516932,	-0.78534,	2.59036,	-0.411195,	-0.0115332,	-0.02358,	-0.00774658,	0.00926295,	0.00324354,	0.215142,	0.976533,	-0.902993,	2.69712,	-0.109715,	0.022224,	-0.0870482,	0.0729691,	-0.253686,	0.576982,	0.732706,	-0.256664
1520352401387677166,	-0.785377,	2.58939,	-0.411324,	-0.000723486,	-0.0194287,	-0.00257588,	0.00975636,	0.00562683,	0.221702,	0.975049,	-0.903708,	2.69423,	-0.114457,	-0.0143063,	-0.0578937,	-0.0948403,	-0.260938,	0.574578,	0.730979,	-0.259695
1520352401441578260,	-0.785517,	2.58981,	-0.411564,	-0.002655,	0.00803131,	-0.00453046,	0.0114655,	0.00337208,	0.227096,	0.973799,	-0.90312,	2.69016,	-0.115029,	0.0111055,	-0.0766834,	-0.010792,	-0.268943,	0.56721,	0.73318,	-0.261515
1520352401485180588,	-0.785563,	2.58912,	-0.412166,	-0.00106606,	-0.0160034,	-0.0139871,	0.0122843,	0.00700729,	0.237657,	0.971246,	-0.903833,	2.68767,	-0.113884,	-0.0165959,	-0.0579155,	0.026618,	-0.274551,	0.56588,	0.730825,	-0.265135
1520352401536799468,	-0.786122,	2.58807,	-0.412277,	-0.0109679,	-0.0206148,	-0.00218547,	0.00937325,	0.00271385,	0.241042,	0.970466,	-0.902644,	2.68292,	-0.114192,	0.0233125,	-0.0931574,	-0.00603366,	-0.283427,	0.560188,	0.731475,	-0.26609
1520352401593017770,	-0.786401,	2.58852,	-0.412231,	-0.0049697,	0.00806616,	0.000828736,	0.00979712,	0.0029635,	0.249323,	0.968366,	-0.904611,	2.68147,	-0.113638,	-0.0351135,	-0.0259383,	0.00989657,	-0.290087,	0.56115,	0.72686,	-0.269509
1520352401644799718,	-0.786626,	2.58693,	-0.411781,	-0.00440863,	-0.0311963,	0.00881556,	0.011099,	0.00256294,	0.253725,	0.967209,	-0.903701,	2.67809,	-0.111876,	0.0178306,	-0.0662314,	0.0345414,	-0.301169,	0.554996,	0.72748,	-0.26842
