time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520351910210201829,	-0.905202,	2.06341,	-0.16453,	0.013508,	0.018463,	0.00248452,	-0.0228637,	0.0120479,	-0.128189,	0.991413,	-0.985753,	2.16195,	0.111802,	0.0119635,	0.0271159,	0.00290256,	-0.00927042,	0.696667,	0.717184,	-0.0146655
1520351910255817969,	-0.905108,	2.06337,	-0.165085,	0.00210028,	-0.00076623,	-0.0123193,	-0.026395,	0.0116578,	-0.129197,	0.991199,	-0.985752,	2.16154,	0.111942,	1.65879e-05,	-0.00916648,	0.0031248,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910304213908,	-0.904591,	2.06313,	-0.164728,	0.0107693,	-0.00513866,	0.00743229,	-0.0233788,	0.0137104,	-0.130277,	0.991107,	-0.985683,	2.16089,	0.112315,	0.0014505,	-0.013362,	0.00775936,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910350758344,	-0.904683,	2.06255,	-0.164156,	-0.00200211,	-0.0124262,	0.0124322,	-0.0236842,	0.0113589,	-0.129195,	0.991271,	-0.985723,	2.16042,	0.112597,	-0.000873123,	-0.0102115,	0.00613691,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910395273478,	-0.90464,	2.06232,	-0.164602,	0.000975322,	-0.00520001,	-0.0101271,	-0.0223033,	0.0127561,	-0.129789,	0.991209,	-0.985809,	2.16066,	0.112962,	-0.00194928,	0.00544266,	0.00829653,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910448307099,	-0.90443,	2.06243,	-0.163648,	0.0039544,	0.0019652,	0.0179877,	-0.0221102,	0.0129777,	-0.128212,	0.991415,	-0.98588,	2.16151,	0.11333,	-0.00134909,	0.0159221,	0.00693714,	-0.012004,	0.697592,	0.716195,	-0.0168985
1520351910495290932,	-0.904509,	2.06204,	-0.163487,	-0.00171746,	-0.00838941,	0.00350114,	-0.0246082,	0.0121925,	-0.127565,	0.99145,	-0.98592,	2.16104,	0.113837,	-0.000863188,	-0.0101527,	0.0110329,	-0.012673,	0.698059,	0.715703,	-0.0179582
1520351910542954096,	-0.904574,	2.06201,	-0.16299,	-0.00138764,	-0.000678193,	0.0105872,	-0.0268318,	0.0124582,	-0.126697,	0.9915,	-0.986427,	2.16025,	0.114315,	-0.0107864,	-0.0167677,	0.010158,	-0.0139977,	0.697962,	0.71575,	-0.0188306
1520351910585697384,	-0.90488,	2.06083,	-0.162657,	-0.00726937,	-0.0282015,	0.00791757,	-0.025367,	0.0120145,	-0.12473,	0.991794,	-0.987708,	2.15931,	0.114735,	-0.0305025,	-0.022427,	0.00999638,	-0.0159892,	0.697965,	0.715667,	-0.0202645
1520351910634735670,	-0.904969,	2.06065,	-0.161429,	-0.00181743,	-0.00360931,	0.0250541,	-0.028147,	0.0105408,	-0.123298,	0.991914,	-0.989182,	2.15817,	0.115008,	-0.0300782,	-0.0232262,	0.00557814,	-0.0177372,	0.697979,	0.715553,	-0.0222347
1520351910691482981,	-0.905776,	2.05996,	-0.161221,	-0.0144207,	-0.0122386,	0.0037189,	-0.0271003,	0.0115311,	-0.121899,	0.992105,	-0.991417,	2.15671,	0.114943,	-0.0399156,	-0.0260932,	-0.0011523,	-0.0196486,	0.699207,	0.714271,	-0.023244
1520351910737548240,	-0.907165,	2.05806,	-0.161384,	-0.0301892,	-0.041341,	-0.0035364,	-0.0274216,	0.0115741,	-0.11878,	0.992474,	-0.994852,	2.15415,	0.114669,	-0.0746716,	-0.0556844,	-0.00596805,	-0.0222867,	0.698612,	0.714775,	-0.0232671
1520351910781258363,	-0.9098,	2.05535,	-0.160914,	-0.0612849,	-0.0631297,	0.0109198,	-0.0264216,	0.0115623,	-0.11602,	0.992828,	-0.998355,	2.14878,	0.11474,	-0.0814552,	-0.124859,	0.00165032,	-0.0231595,	0.694834,	0.718489,	-0.0210313
1520351910828540442,	-0.91143,	2.05351,	-0.161651,	-0.0346731,	-0.0391148,	-0.0156726,	-0.0256461,	0.00867112,	-0.116524,	0.992819,	-1.00298,	2.14441,	0.11486,	-0.0984347,	-0.0929505,	0.0025508,	-0.0247658,	0.692075,	0.72114,	-0.0194173
1520351910881693980,	-0.91395,	2.0531,	-0.162231,	-0.0475457,	-0.00775372,	-0.0109483,	-0.0224483,	0.00718165,	-0.116108,	0.992957,	-1.00817,	2.13944,	0.11579,	-0.0978844,	-0.0937714,	0.0175571,	-0.0257549,	0.68942,	0.723681,	-0.0179664
1520351910928850823,	-0.917943,	2.04759,	-0.161415,	-0.0849575,	-0.117273,	0.0173721,	-0.0170008,	0.00518174,	-0.115947,	0.993096,	-1.01345,	2.13438,	0.117565,	-0.112291,	-0.107595,	0.0377502,	-0.0258605,	0.686812,	0.7262,	-0.0159566
1520351910982111962,	-0.921975,	2.04818,	-0.161375,	-0.0760748,	0.0112357,	0.000746609,	-0.0145241,	0.00406291,	-0.115644,	0.993176,	-1.0197,	2.13169,	0.119401,	-0.11792,	-0.0508784,	0.0346509,	-0.029495,	0.688601,	0.724348,	-0.0166932
1520351911033594754,	-0.927088,	2.04139,	-0.159761,	-0.100254,	-0.133199,	0.0316477,	-0.00999036,	0.00298961,	-0.116446,	0.993142,	-1.02622,	2.12746,	0.122458,	-0.127999,	-0.0829122,	0.0599346,	-0.0352319,	0.687633,	0.724949,	-0.0191763
1520351911081643695,	-0.931949,	2.04219,	-0.157432,	-0.101267,	0.0166098,	0.0485155,	-0.0140129,	0.000134967,	-0.114297,	0.993348,	-1.03281,	2.12222,	0.126448,	-0.137185,	-0.109215,	0.0831337,	-0.0412124,	0.685599,	0.726529,	-0.0202663
1520351911128415965,	-0.937594,	2.03435,	-0.153746,	-0.122728,	-0.170308,	0.0801321,	-0.0106415,	-0.00219057,	-0.108088,	0.994082,	-1.03888,	2.11617,	0.130923,	-0.131886,	-0.131571,	0.0972851,	-0.0467062,	0.682871,	0.728743,	-0.0209761
1520351911173536541,	-0.941974,	2.03464,	-0.150346,	-0.0973403,	0.00641168,	0.0755553,	-0.0113857,	-0.00549696,	-0.104212,	0.994475,	-1.04512,	2.11102,	0.135507,	-0.138661,	-0.1143,	0.101871,	-0.0535513,	0.682085,	0.728898,	-0.0244907
