time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352040328497242,	-0.729712,	2.37601,	-0.169095,	-0.00232987,	0.00284912,	5.06639e-06,	0.0731622,	0.0106661,	0.0245208,	0.996962,	-0.838762,	2.51244,	0.130909,	-0.00271123,	0.00265289,	0.000216253,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040376970071,	-0.730266,	2.3765,	-0.166693,	-0.0115457,	0.0101771,	0.0500456,	0.0602013,	0.0112294,	0.0255328,	0.997796,	-0.839609,	2.51359,	0.131087,	-0.0176405,	0.0239607,	0.00370268,	-0.133309,	0.654683,	0.730826,	-0.139688
1520352040420203222,	-0.730127,	2.37579,	-0.166906,	0.00323655,	-0.0165808,	-0.00496962,	0.0731069,	0.0122539,	0.0217945,	0.997011,	-0.840245,	2.51369,	0.131329,	-0.0147896,	0.00232811,	0.00561706,	-0.133856,	0.655371,	0.730082,	-0.139829
1520352040456533286,	-0.728496,	2.37035,	-0.169702,	0.0452987,	-0.150978,	-0.077654,	0.103909,	0.012905,	0.0121505,	0.994429,	-0.840245,	2.51369,	0.131329,	0,	0,	0,	-0.133856,	0.655371,	0.730082,	-0.139829
1520352040491608521,	-0.730366,	2.37609,	-0.167432,	-0.0534312,	0.163917,	0.0648661,	0.0788637,	0.0106813,	0.0284947,	0.996421,	-0.841128,	2.51416,	0.131951,	-0.0252238,	0.0133974,	0.0177756,	-0.133959,	0.655116,	0.730235,	-0.140127
1520352040531593705,	-0.731826,	2.37905,	-0.166221,	-0.0374243,	0.0759791,	0.0310477,	0.0561088,	0.00693089,	0.038778,	0.997647,	-0.841815,	2.51341,	0.132061,	-0.0176243,	-0.019206,	0.00283646,	-0.134681,	0.655457,	0.729817,	-0.140016
1520352040571980076,	-0.730629,	2.37408,	-0.167081,	0.0299286,	-0.124364,	-0.021501,	0.105357,	0.0102824,	0.0451734,	0.993355,	-0.842834,	2.51314,	0.13269,	-0.0254791,	-0.00690614,	0.0157183,	-0.135322,	0.656096,	0.729205,	-0.139591
1520352040608486469,	-0.729395,	2.36773,	-0.167733,	0.0342725,	-0.176245,	-0.0181228,	0.129807,	0.0151078,	0.0286099,	0.991011,	-0.842834,	2.51314,	0.13269,	0,	0,	0,	-0.135322,	0.656096,	0.729205,	-0.139591
1520352040649060869,	-0.730204,	2.36938,	-0.167564,	-0.0202243,	0.0412379,	0.0042281,	0.125212,	0.0122064,	0.0416863,	0.991179,	-0.843358,	2.51259,	0.133368,	-0.0130847,	-0.0137268,	0.0169374,	-0.134922,	0.656244,	0.729203,	-0.139298
1520352040691638565,	-0.731163,	2.36963,	-0.166341,	-0.0228274,	0.00595137,	0.0291294,	0.118427,	0.0120633,	0.037985,	0.992163,	-0.844131,	2.51183,	0.13399,	-0.0184042,	-0.0181061,	0.0148197,	-0.13436,	0.656071,	0.729465,	-0.13928
1520352040735928083,	-0.733087,	2.37378,	-0.164849,	-0.0437342,	0.0943398,	0.0339072,	0.0786798,	0.00902531,	0.0290668,	0.996435,	-0.844242,	2.51016,	0.134555,	-0.00253942,	-0.0379874,	0.0128472,	-0.134534,	0.65709,	0.728546,	-0.139121
1520352040775771294,	-0.73424,	2.37328,	-0.164829,	-0.0295661,	-0.012963,	0.000518144,	0.0718561,	0.00701299,	0.0296747,	0.996949,	-0.845148,	2.50945,	0.135224,	-0.0232189,	-0.0181106,	0.0171402,	-0.134,	0.657933,	0.727937,	-0.13884
1520352040816026864,	-0.734611,	2.37255,	-0.163139,	-0.00927887,	-0.0181711,	0.0422503,	0.0600848,	0.00873223,	0.0271821,	0.997785,	-0.845743,	2.50801,	0.135804,	-0.0148697,	-0.0358699,	0.0145042,	-0.133477,	0.658775,	0.727116,	-0.139649
1520352040857528481,	-0.732728,	2.36396,	-0.165532,	0.0459437,	-0.209535,	-0.0583725,	0.0996811,	0.0114942,	0.00988576,	0.994904,	-0.845743,	2.50801,	0.135804,	0,	0,	0,	-0.133477,	0.658775,	0.727116,	-0.139649
1520352040897144172,	-0.735576,	2.37104,	-0.162117,	-0.073027,	0.18153,	0.0875625,	0.0572667,	0.00924025,	0.0264428,	0.997966,	-0.846638,	2.50609,	0.135894,	-0.0229518,	-0.0494197,	0.00230192,	-0.134158,	0.658278,	0.727335,	-0.140194
1520352040939398582,	-0.736511,	2.36785,	-0.161382,	-0.0222613,	-0.0758231,	0.0175019,	0.0543754,	0.00942279,	0.0268681,	0.998115,	-0.846737,	2.50288,	0.13655,	-0.00235667,	-0.0762643,	0.0156232,	-0.135006,	0.658105,	0.727319,	-0.140279
1520352040983361843,	-0.73529,	2.36368,	-0.161987,	0.0283842,	-0.0970712,	-0.0140757,	0.0984669,	0.00927632,	0.0457568,	0.994045,	-0.847284,	2.49938,	0.137162,	-0.0127272,	-0.0815159,	0.0142308,	-0.135342,	0.6566,	0.728579,	-0.140471
1520352041024545906,	-0.73725,	2.36472,	-0.161857,	-0.0478089,	0.0253897,	0.00316607,	0.0701084,	0.00788023,	0.0280226,	0.997115,	-0.847344,	2.49536,	0.137807,	-0.00145664,	-0.0979815,	0.0157495,	-0.135771,	0.657617,	0.727728,	-0.139706
1520352041071257543,	-0.737562,	2.36432,	-0.160062,	-0.0067879,	-0.00865725,	0.0390187,	0.0427751,	0.00621898,	0.0346699,	0.998464,	-0.847796,	2.49105,	0.138809,	-0.00984034,	-0.0937799,	0.0217732,	-0.135132,	0.656605,	0.728818,	-0.139405
1520352041109279839,	-0.73886,	2.36391,	-0.158805,	-0.0341335,	-0.0109319,	0.0330886,	0.012717,	0.0036639,	0.0415927,	0.999047,	-0.847796,	2.49105,	0.138809,	0,	0,	0,	-0.135132,	0.656605,	0.728818,	-0.139405
1520352041147162733,	-0.738496,	2.35608,	-0.159913,	0.00983361,	-0.211472,	-0.0299505,	0.0528487,	0.00614491,	0.030243,	0.998126,	-0.848256,	2.48618,	0.13951,	-0.0124251,	-0.131652,	0.0189363,	-0.135646,	0.657944,	0.727614,	-0.138877
1520352041191700050,	-0.737467,	2.34937,	-0.157919,	0.0233893,	-0.152628,	0.0453267,	0.0618788,	0.00962905,	0.0164361,	0.997902,	-0.849169,	2.48058,	0.14071,	-0.0207484,	-0.127231,	0.027269,	-0.135792,	0.657217,	0.728271,	-0.13874
1520352041232311408,	-0.739021,	2.35077,	-0.157163,	-0.0388653,	0.0350886,	0.0188953,	0.0381644,	0.00449368,	0.0341085,	0.998679,	-0.849652,	2.47381,	0.141237,	-0.0120756,	-0.169271,	0.0131859,	-0.137989,	0.659117,	0.726279,	-0.137994
1520352041272914820,	-0.740456,	2.34438,	-0.15476,	-0.0358629,	-0.159828,	0.0600772,	0.031711,	0.00640159,	0.0350227,	0.998863,	-0.850687,	2.46674,	0.142127,	-0.0258822,	-0.176789,	0.0222603,	-0.141213,	0.661075,	0.724121,	-0.136702
1520352041307942919,	-0.739619,	2.33793,	-0.155383,	0.0239153,	-0.1842,	-0.0177906,	0.0639222,	0.00648628,	0.0258264,	0.9976,	-0.850687,	2.46674,	0.142127,	0,	0,	0,	-0.141213,	0.661075,	0.724121,	-0.136702
