time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352058409043881,	-0.790555,	2.36092,	-0.205384,	-0.00589864,	-0.0145719,	-0.00606805,	-0.0187814,	0.0107305,	0.0424301,	0.998865,	-0.893304,	2.48418,	0.0879784,	-0.00412526,	-0.0209583,	-0.00722258,	-0.126577,	0.665091,	0.721353,	-0.145882
1520352058454703143,	-0.790564,	2.36115,	-0.202985,	-0.000185274,	0.00501695,	0.0533283,	-0.0249769,	0.0121079,	0.0466725,	0.998525,	-0.893859,	2.4858,	0.0888545,	-0.0123208,	0.0359111,	0.0194676,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058497326438,	-0.790254,	2.36129,	-0.202223,	0.00737479,	0.00335268,	0.0181381,	-0.00684179,	0.0107183,	0.0439739,	0.998952,	-0.894939,	2.48702,	0.0894343,	-0.0257111,	0.0291313,	0.0138062,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058547133666,	-0.790675,	2.3631,	-0.200495,	-0.00860165,	0.036975,	0.0352598,	-0.0337893,	0.00968286,	0.0494982,	0.998156,	-0.895598,	2.48753,	0.0899136,	-0.0134466,	0.0104018,	0.00978072,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058590543724,	-0.790956,	2.36309,	-0.201389,	-0.00651849,	-0.000230487,	-0.0207812,	-0.0231581,	0.00887125,	0.0468487,	0.998594,	-0.896463,	2.48813,	0.0904163,	-0.0201245,	0.0139551,	0.0116912,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058634438816,	-0.791297,	2.36274,	-0.201682,	-0.0079458,	-0.008146,	-0.00681472,	-0.0128633,	0.00928675,	0.0451872,	0.998853,	-0.896851,	2.48814,	0.0907207,	-0.00901569,	0.000133558,	0.00707931,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058678829279,	-0.792001,	2.36316,	-0.199532,	-0.0159854,	0.00948472,	0.0488492,	-0.0324505,	0.00889916,	0.0498062,	0.998192,	-0.89887,	2.48899,	0.0910204,	-0.0458923,	0.0194583,	0.00681113,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058724913278,	-0.792049,	2.36295,	-0.200233,	-0.00104796,	-0.00447445,	-0.0152204,	-0.0177078,	0.00797041,	0.0472613,	0.998694,	-0.901363,	2.49044,	0.0914507,	-0.0542034,	0.0314542,	0.00935416,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058767078117,	-0.793789,	2.36469,	-0.199497,	-0.0414417,	0.0413796,	0.0175169,	-0.0337223,	0.00711404,	0.0478519,	0.99826,	-0.90507,	2.49098,	0.0923008,	-0.0882474,	0.0128743,	0.0202399,	-0.130774,	0.666978,	0.719656,	-0.141892
1520352058811291528,	-0.795009,	2.36301,	-0.199439,	-0.0277239,	-0.0382228,	0.0013086,	-0.0181664,	0.00532404,	0.044566,	0.998827,	-0.90507,	2.49098,	0.0923008,	0,	0,	0,	-0.130774,	0.666978,	0.719656,	-0.141892
