time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352344333501600,	-0.734614,	2.50608,	-0.418859,	-0.00161631,	-0.000127182,	0.000897849,	-0.00134051,	0.0125046,	-0.023107,	0.999654,	-0.829706,	2.6181,	-0.129448,	-0.0016395,	-0.00042732,	0.000942127,	-0.0962876,	0.66422,	0.734375,	-0.101162
1520352344338204820,	-0.734614,	2.50608,	-0.418859,	0,	0,	0,	-0.00134051,	0.0125046,	-0.023107,	0.999654,	-0.829706,	2.6181,	-0.129448,	0,	0,	0,	-0.0962876,	0.66422,	0.734375,	-0.101162
1520352344343743825,	-0.734614,	2.50608,	-0.418859,	0,	0,	0,	-0.00134051,	0.0125046,	-0.023107,	0.999654,	-0.829706,	2.6181,	-0.129448,	0,	0,	0,	-0.0962876,	0.66422,	0.734375,	-0.101162
1520352344345651407,	-0.734614,	2.50608,	-0.418859,	0,	0,	0,	-0.00134051,	0.0125046,	-0.023107,	0.999654,	-0.829706,	2.6181,	-0.129448,	0,	0,	0,	-0.0962876,	0.66422,	0.734375,	-0.101162
1520352344352531202,	-0.734614,	2.50608,	-0.418859,	0,	0,	0,	-0.00134051,	0.0125046,	-0.023107,	0.999654,	-0.829706,	2.6181,	-0.129448,	0,	0,	0,	-0.0962876,	0.66422,	0.734375,	-0.101162
1520352344356688717,	-0.734614,	2.50608,	-0.418859,	0,	0,	0,	-0.00134051,	0.0125046,	-0.023107,	0.999654,	-0.829706,	2.6181,	-0.129448,	0,	0,	0,	-0.0962876,	0.66422,	0.734375,	-0.101162
1520352344364407625,	-0.735258,	2.50772,	-0.418126,	-0.092051,	0.234759,	0.104781,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	-0.167388,	0.128026,	0.10577,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344369191410,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344373703174,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344378104473,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344384687871,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344389440825,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344394071469,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344397431697,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344402688518,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344409801344,	-0.735258,	2.50772,	-0.418126,	0,	0,	0,	-0.00274136,	0.0117518,	-0.0209469,	0.999708,	-0.830878,	2.61899,	-0.128708,	0,	0,	0,	-0.0970481,	0.664602,	0.733939,	-0.101094
1520352344414757896,	-0.735595,	2.50684,	-0.417423,	-0.0842426,	-0.219085,	0.175727,	-0.00202419,	0.0111511,	-0.022005,	0.999694,	-0.831306,	2.61964,	-0.128078,	-0.106889,	0.162916,	0.157608,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344419363624,	-0.735598,	2.50685,	-0.417373,	-0.000679204,	0.000769016,	0.0124632,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344424384095,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344429254381,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344434448933,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344439279782,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344442492962,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344449182555,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344455635971,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344459933438,	-0.735598,	2.50685,	-0.417373,	0,	0,	0,	-0.00202684,	0.0111011,	-0.0219954,	0.999694,	-0.831306,	2.61964,	-0.128078,	0,	0,	0,	-0.0976222,	0.664671,	0.733808,	-0.101034
1520352344462354289,	-0.736289,	2.50895,	-0.416979,	-0.345448,	1.05098,	0.196776,	-0.00372485,	0.0107203,	-0.020705,	0.999721,	-0.832156,	2.62024,	-0.127585,	-0.424909,	0.29973,	0.246208,	-0.0982184,	0.664783,	0.733644,	-0.100912
1520352344466037036,	-0.736289,	2.50895,	-0.416979,	0,	0,	0,	-0.00372485,	0.0107203,	-0.020705,	0.999721,	-0.832156,	2.62024,	-0.127585,	0,	0,	0,	-0.0982184,	0.664783,	0.733644,	-0.100912
