time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352367556032075,	-0.752415,	2.53848,	-0.445627,	-0.0050599,	-0.000190159,	0.0018608,	-0.00483221,	0.0123082,	0.00284411,	0.999909,	-0.858067,	2.67846,	-0.157766,	-0.00348593,	0.000897292,	0.00120421,	-0.111358,	0.662559,	0.731131,	-0.118579
1520352367558906576,	-0.752415,	2.53848,	-0.445627,	0,	0,	0,	-0.00483221,	0.0123082,	0.00284411,	0.999909,	-0.858067,	2.67846,	-0.157766,	0,	0,	0,	-0.111358,	0.662559,	0.731131,	-0.118579
1520352367567870611,	-0.75297,	2.5398,	-0.445348,	-0.069318,	0.165919,	0.0348551,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	-0.109946,	0.0312993,	0.0966143,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367571032721,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367576491824,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367581745639,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367585286132,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367590150747,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367593756007,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367598749338,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367605883700,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367609674353,	-0.75297,	2.5398,	-0.445348,	0,	0,	0,	-0.00592249,	0.0114561,	0.00290624,	0.999913,	-0.858946,	2.67871,	-0.156993,	0,	0,	0,	-0.112079,	0.663098,	0.730643,	-0.1179
1520352367614579693,	-0.753376,	2.53929,	-0.444663,	-0.101563,	-0.128614,	0.171195,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	-0.187546,	-0.0691314,	0.181011,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367620034204,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367625494307,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367630642160,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367635297341,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367639801860,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367644867162,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367649923938,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
1520352367656706924,	-0.753376,	2.53929,	-0.444663,	0,	0,	0,	-0.00497917,	0.010847,	0.0024281,	0.999926,	-0.859696,	2.67843,	-0.156269,	0,	0,	0,	-0.111941,	0.662789,	0.73107,	-0.117118
