time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352399438951205,	-0.784242,	2.59458,	-0.414028,	-0.00312946,	0.00274146,	0.00245684,	-0.0315527,	-0.0110478,	-0.0101086,	0.99939,	-0.898611,	2.73623,	-0.124201,	-0.0062544,	0.00242642,	0.00325536,	-0.122014,	0.679581,	0.715604,	-0.105793
1520352399443649316,	-0.784242,	2.59458,	-0.414028,	0,	0,	0,	-0.0315527,	-0.0110478,	-0.0101086,	0.99939,	-0.898611,	2.73623,	-0.124201,	0,	0,	0,	-0.122014,	0.679581,	0.715604,	-0.105793
1520352399447585776,	-0.784242,	2.59458,	-0.414028,	0,	0,	0,	-0.0315527,	-0.0110478,	-0.0101086,	0.99939,	-0.898611,	2.73623,	-0.124201,	0,	0,	0,	-0.122014,	0.679581,	0.715604,	-0.105793
1520352399451527464,	-0.784242,	2.59458,	-0.414028,	0,	0,	0,	-0.0315527,	-0.0110478,	-0.0101086,	0.99939,	-0.898611,	2.73623,	-0.124201,	0,	0,	0,	-0.122014,	0.679581,	0.715604,	-0.105793
1520352399457884072,	-0.784242,	2.59458,	-0.414028,	0,	0,	0,	-0.0315527,	-0.0110478,	-0.0101086,	0.99939,	-0.898611,	2.73623,	-0.124201,	0,	0,	0,	-0.122014,	0.679581,	0.715604,	-0.105793
1520352399462839358,	-0.78436,	2.59418,	-0.413945,	-0.0294777,	-0.0989335,	0.0207767,	-0.031346,	-0.0110924,	-0.0103074,	0.999394,	-0.898859,	2.73652,	-0.124581,	-0.0618573,	0.0717893,	-0.0949721,	-0.12207,	0.679926,	0.715207,	-0.106199
1520352399469563673,	-0.78436,	2.59418,	-0.413945,	0,	0,	0,	-0.031346,	-0.0110924,	-0.0103074,	0.999394,	-0.898859,	2.73652,	-0.124581,	0,	0,	0,	-0.12207,	0.679926,	0.715207,	-0.106199
1520352399472870835,	-0.78436,	2.59418,	-0.413945,	0,	0,	0,	-0.031346,	-0.0110924,	-0.0103074,	0.999394,	-0.898859,	2.73652,	-0.124581,	0,	0,	0,	-0.12207,	0.679926,	0.715207,	-0.106199
1520352399477916559,	-0.78436,	2.59418,	-0.413945,	0,	0,	0,	-0.031346,	-0.0110924,	-0.0103074,	0.999394,	-0.898859,	2.73652,	-0.124581,	0,	0,	0,	-0.12207,	0.679926,	0.715207,	-0.106199
1520352399482725397,	-0.78436,	2.59418,	-0.413945,	0,	0,	0,	-0.031346,	-0.0110924,	-0.0103074,	0.999394,	-0.898859,	2.73652,	-0.124581,	0,	0,	0,	-0.12207,	0.679926,	0.715207,	-0.106199
