time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520351910194723176,	-0.904455,	2.06276,	-0.164925,	0.0132487,	0.0181969,	0.00273148,	-0.0289972,	0.0123861,	-0.128153,	0.991253,	-0.985753,	2.16195,	0.111802,	0.0118851,	0.0273303,	0.00299385,	-0.00927042,	0.696667,	0.717184,	-0.0146655
1520351910199612389,	-0.904455,	2.06276,	-0.164925,	0,	0,	0,	-0.0289972,	0.0123861,	-0.128153,	0.991253,	-0.985753,	2.16195,	0.111802,	0,	0,	0,	-0.00927042,	0.696667,	0.717184,	-0.0146655
1520351910203375741,	-0.904455,	2.06276,	-0.164925,	0,	0,	0,	-0.0289972,	0.0123861,	-0.128153,	0.991253,	-0.985753,	2.16195,	0.111802,	0,	0,	0,	-0.00927042,	0.696667,	0.717184,	-0.0146655
1520351910210241478,	-0.904455,	2.06276,	-0.164925,	0,	0,	0,	-0.0289972,	0.0123861,	-0.128153,	0.991253,	-0.985753,	2.16195,	0.111802,	0,	0,	0,	-0.00927042,	0.696667,	0.717184,	-0.0146655
1520351910212997105,	-0.903897,	2.0625,	-0.164192,	0.279075,	-0.132863,	0.366338,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0.000373229,	-0.206246,	0.070308,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910219942723,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910224553731,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910229452257,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910236583699,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910242444542,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910247397237,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910251595717,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910253682465,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910258886741,	-0.903897,	2.0625,	-0.164192,	0,	0,	0,	-0.0298423,	0.0117137,	-0.128944,	0.991134,	-0.985752,	2.16154,	0.111942,	0,	0,	0,	-0.00943788,	0.696674,	0.717178,	-0.0145455
1520351910262703631,	-0.904021,	2.06181,	-0.164412,	-0.041401,	-0.229247,	-0.0731429,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0.023208,	-0.213792,	0.12415,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910268785583,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910275248358,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910280260948,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910285074977,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910287138318,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910293981982,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910300187323,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910304007978,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910309046673,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910312654709,	-0.904021,	2.06181,	-0.164412,	0,	0,	0,	-0.0281971,	0.012204,	-0.128331,	0.991255,	-0.985683,	2.16089,	0.112315,	0,	0,	0,	-0.00989199,	0.696266,	0.717575,	-0.0142138
1520351910320885163,	-0.903936,	2.06182,	-0.164298,	0.0106319,	0.000561642,	0.0142393,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	-0.00502046,	-0.0587161,	0.0352872,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910327014068,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910332713290,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910335826650,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910337641333,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910345794140,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910348438664,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910353559919,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910360379032,	-0.903936,	2.06182,	-0.164298,	0,	0,	0,	-0.0274551,	0.0118322,	-0.127913,	0.991335,	-0.985723,	2.16042,	0.112597,	0,	0,	0,	-0.0108561,	0.695813,	0.717983,	-0.015033
1520351910362713668,	-0.903937,	2.06138,	-0.164053,	-0.000455761,	-0.218588,	0.12228,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	-0.0428843,	0.119738,	0.182524,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910368024294,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910375435393,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910380203215,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910383175532,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910387843458,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910397800569,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910401769430,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910403583781,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910411212643,	-0.903937,	2.06138,	-0.164053,	0,	0,	0,	-0.0278277,	0.0121481,	-0.126219,	0.991538,	-0.985809,	2.16066,	0.112962,	0,	0,	0,	-0.0112272,	0.696189,	0.717599,	-0.0156957
1520351910412726258,	-0.903925,	2.06144,	-0.163549,	0.0116532,	0.0590439,	0.504609,	-0.0298327,	0.0116098,	-0.125656,	0.991557,	-0.98588,	2.16151,	0.11333,	-0.071502,	0.843872,	0.367668,	-0.012004,	0.697592,	0.716195,	-0.0168985
1520351910419215094,	-0.903925,	2.06144,	-0.163549,	0,	0,	0,	-0.0298327,	0.0116098,	-0.125656,	0.991557,	-0.98588,	2.16151,	0.11333,	0,	0,	0,	-0.012004,	0.697592,	0.716195,	-0.0168985
1520351910425764928,	-0.903925,	2.06144,	-0.163549,	0,	0,	0,	-0.0298327,	0.0116098,	-0.125656,	0.991557,	-0.98588,	2.16151,	0.11333,	0,	0,	0,	-0.012004,	0.697592,	0.716195,	-0.0168985
1520351910430735154,	-0.903925,	2.06144,	-0.163549,	0,	0,	0,	-0.0298327,	0.0116098,	-0.125656,	0.991557,	-0.98588,	2.16151,	0.11333,	0,	0,	0,	-0.012004,	0.697592,	0.716195,	-0.0168985
1520351910433229518,	-0.903925,	2.06144,	-0.163549,	0,	0,	0,	-0.0298327,	0.0116098,	-0.125656,	0.991557,	-0.98588,	2.16151,	0.11333,	0,	0,	0,	-0.012004,	0.697592,	0.716195,	-0.0168985
1520351910438170989,	-0.903925,	2.06144,	-0.163549,	0,	0,	0,	-0.0298327,	0.0116098,	-0.125656,	0.991557,	-0.98588,	2.16151,	0.11333,	0,	0,	0,	-0.012004,	0.697592,	0.716195,	-0.0168985
1520351910445236520,	-0.903925,	2.06144,	-0.163549,	0,	0,	0,	-0.0298327,	0.0116098,	-0.125656,	0.991557,	-0.98588,	2.16151,	0.11333,	0,	0,	0,	-0.012004,	0.697592,	0.716195,	-0.0168985
