time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352058410914784,	-0.789987,	2.3602,	-0.201452,	-0.00551712,	-0.0165921,	-0.00694666,	-0.0425387,	0.00655456,	0.0408704,	0.998237,	-0.893304,	2.48418,	0.0879784,	-0.00414435,	-0.0210553,	-0.007256,	-0.126577,	0.665091,	0.721353,	-0.145882
1520352058415424495,	-0.789722,	2.36086,	-0.199635,	0.0663808,	0.165933,	0.454076,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	-0.138609,	0.404,	0.219011,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058421296734,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058424247139,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058430378349,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058435022003,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058442254560,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058447076734,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058450843084,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058455679014,	-0.789722,	2.36086,	-0.199635,	0,	0,	0,	-0.0432104,	0.00628078,	0.0413576,	0.99819,	-0.893859,	2.4858,	0.0888545,	0,	0,	0,	-0.127666,	0.666154,	0.720207,	-0.145749
1520352058462072825,	-0.789887,	2.3617,	-0.199164,	-0.0276127,	0.139638,	0.0785049,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	-0.179978,	0.203919,	0.0966435,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058467148396,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058470356709,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058473567023,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058480402204,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058485866334,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058490151642,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058496664112,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058501624798,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058506302610,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894343,	0,	0,	0,	-0.128979,	0.666897,	0.719212,	-0.146103
1520352058511414428,	-0.789887,	2.3617,	-0.199164,	0,	0,	0,	-0.0440689,	0.00455887,	0.0429944,	0.998092,	-0.894939,	2.48702,	0.0894344,	-1.2559e-05,	9.71524e-06,	9.13511e-06,	-0.128979,	0.666897,	0.719212,	-0.146104
1520352058516254659,	-0.790038,	2.36222,	-0.198119,	-0.03774,	0.131831,	0.261348,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	-0.164705,	0.127411,	0.119802,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058522043626,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058524183364,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058531950103,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058536108036,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058541066730,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058546404784,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058549146493,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058556763463,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058559807479,	-0.790038,	2.36222,	-0.198119,	0,	0,	0,	-0.0473178,	0.0040342,	0.0427429,	0.997957,	-0.895598,	2.48753,	0.0899136,	0,	0,	0,	-0.129394,	0.666033,	0.719759,	-0.146984
1520352058567298147,	-0.79067,	2.36204,	-0.198416,	-0.0902122,	-0.0262802,	-0.0424634,	-0.0435634,	0.00364552,	0.0436931,	0.998088,	-0.896463,	2.48813,	0.0904163,	-0.123622,	0.0857245,	0.0718176,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058570212175,	-0.790671,	2.36203,	-0.198416,	-0.000756181,	-0.00297697,	0.000294353,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058575349996,	-0.790671,	2.36203,	-0.198416,	0,	0,	0,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058581217864,	-0.790671,	2.36203,	-0.198416,	0,	0,	0,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058586963690,	-0.790671,	2.36203,	-0.198416,	0,	0,	0,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058592157897,	-0.790671,	2.36203,	-0.198416,	0,	0,	0,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058595810400,	-0.790671,	2.36203,	-0.198416,	0,	0,	0,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058600919915,	-0.790671,	2.36203,	-0.198416,	0,	0,	0,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058606619446,	-0.790671,	2.36203,	-0.198416,	0,	0,	0,	-0.0434948,	0.00363929,	0.0437351,	0.998089,	-0.896463,	2.48813,	0.0904163,	0,	0,	0,	-0.129399,	0.66461,	0.72098,	-0.147435
1520352058612227336,	-0.790927,	2.362,	-0.198115,	-0.0512434,	-0.00691331,	0.0601159,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	-0.0775349,	0.0011486,	0.0608821,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058616990407,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058620239652,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058624370722,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058632505129,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058637393499,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058642747617,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058645959117,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058648736489,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058655417675,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058661058511,	-0.790927,	2.362,	-0.198115,	0,	0,	0,	-0.0449647,	0.00266287,	0.0440584,	0.998013,	-0.896851,	2.48814,	0.0907207,	0,	0,	0,	-0.129059,	0.664595,	0.721311,	-0.146179
1520352058665701526,	-0.792031,	2.36298,	-0.197779,	-0.275831,	0.244227,	0.0840861,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	-0.504815,	0.214042,	0.0749224,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058671624250,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058675456432,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058682729316,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058687547283,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058691721439,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058695954410,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058700897858,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058707972595,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058711024559,	-0.792031,	2.36298,	-0.197779,	0,	0,	0,	-0.0454416,	0.00253956,	0.0433434,	0.998023,	-0.89887,	2.48899,	0.0910204,	0,	0,	0,	-0.128967,	0.666153,	0.720216,	-0.144558
1520352058716901377,	-0.793618,	2.36356,	-0.196548,	-0.317432,	0.11765,	0.246121,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	-0.498672,	0.289379,	0.0860583,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058720685969,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058723924683,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058731742184,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058736626318,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058741630686,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058747105262,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058749470072,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058755403442,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058761076308,	-0.793618,	2.36356,	-0.196548,	0,	0,	0,	-0.0505521,	0.00153342,	0.0415485,	0.997856,	-0.901363,	2.49044,	0.0914507,	0,	0,	0,	-0.129199,	0.667006,	0.719474,	-0.144111
1520352058766199608,	-0.795587,	2.36331,	-0.196815,	-0.393781,	-0.0517111,	-0.0533176,	-0.0486788,	-0.000975859,	0.0418883,	0.997935,	-0.90507,	2.49098,	0.0923008,	-0.741278,	0.108144,	0.170015,	-0.130774,	0.666978,	0.719656,	-0.141892
1520352058770847137,	-0.795587,	2.36331,	-0.196815,	0,	0,	0,	-0.0486788,	-0.000975859,	0.0418883,	0.997935,	-0.90507,	2.49098,	0.0923008,	0,	0,	0,	-0.130774,	0.666978,	0.719656,	-0.141892
1520352058774022223,	-0.795587,	2.36331,	-0.196815,	0,	0,	0,	-0.0486788,	-0.000975859,	0.0418883,	0.997935,	-0.90507,	2.49098,	0.0923008,	0,	0,	0,	-0.130774,	0.666978,	0.719656,	-0.141892
1520352058782822427,	-0.795587,	2.36331,	-0.196815,	0,	0,	0,	-0.0486788,	-0.000975859,	0.0418883,	0.997935,	-0.90507,	2.49098,	0.0923008,	0,	0,	0,	-0.130774,	0.666978,	0.719656,	-0.141892
1520352058785006672,	-0.795587,	2.36331,	-0.196815,	0,	0,	0,	-0.0486788,	-0.000975859,	0.0418883,	0.997935,	-0.90507,	2.49098,	0.0923008,	0,	0,	0,	-0.130774,	0.666978,	0.719656,	-0.141892
1520352058792915533,	-0.795587,	2.36331,	-0.196815,	0,	0,	0,	-0.0486788,	-0.000975859,	0.0418883,	0.997935,	-0.90507,	2.49098,	0.0923008,	0,	0,	0,	-0.130774,	0.666978,	0.719656,	-0.141892
