time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520352040320094520,	-0.730504,	2.3822,	-0.160612,	-0.00234137,	0.00291075,	8.26362e-05,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	-0.00271133,	0.00264836,	0.000212866,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040323869649,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040331285820,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040332911611,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040339216287,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040345065382,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040350729558,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040353537911,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040357726058,	-0.730504,	2.3822,	-0.160612,	0,	0,	0,	-0.0260452,	-0.000406681,	0.0411054,	0.998815,	-0.838762,	2.51244,	0.130909,	0,	0,	0,	-0.133366,	0.654827,	0.730811,	-0.139035
1520352040363704802,	-0.730439,	2.38228,	-0.159918,	0.0130616,	0.0149168,	0.138659,	-0.0253776,	-0.000632972,	0.0415013,	0.998816,	-0.839609,	2.51359,	0.131087,	-0.169349,	0.230022,	0.0355457,	-0.133309,	0.654683,	0.730826,	-0.139688
